"","diff","lwr","upr","p adj"
"CV-CV_LA1777",0.0629188015286086,-2.18068048377599,2.30651808683321,0.999999904143522
"F1-CV_LA1777",1.42046363079753,-0.823135654507068,3.66406291610213,0.371800895512435
"F1-LA1777-CV_LA1777",3.06001260877798,0.816413323473382,5.30361189408258,0.00525588404937405
"LA1777-CV_LA1777",4.10138488324457,1.85778559793997,6.34498416854917,0.000336804696237536
"PI127826-CV_LA1777",6.26703900952711,4.02343972422251,8.51063829483171,2.80040648770186e-06
"F1-hab-CV_LA1777",7.49523908839075,5.25163980308615,9.73883837369534,3.04424185526564e-07
"F1-CV",1.35754482926892,-0.886054456035676,3.60114411457352,0.420105678061062
"F1-LA1777-CV",2.99709380724937,0.753494521944774,5.24069309255397,0.00624941499206022
"LA1777-CV",4.03846608171596,1.79486679641137,6.28206536702056,0.000394556617701713
"PI127826-CV",6.2041202079985,3.9605209226939,8.4477194933031,3.16504710307086e-06
"F1-hab-CV",7.43232028686214,5.18872100155754,9.67591957216674,3.38555452117362e-07
"F1-LA1777-F1",1.63954897798045,-0.604050307324148,3.88314826328505,0.232147180740145
"LA1777-F1",2.68092125244704,0.437321967142444,4.92452053775164,0.0149981425852241
"PI127826-F1",4.84657537872958,2.60297609342498,7.09017466403418,5.62358266700258e-05
"F1-hab-F1",6.07477545759322,3.83117617228862,8.31837474289781,4.08227666681693e-06
"LA1777-F1-LA1777",1.04137227446659,-1.20222701083801,3.28497155977119,0.69334082199895
"PI127826-F1-LA1777",3.20702640074913,0.963427115444532,5.45062568605373,0.003515155781321
"F1-hab-F1-LA1777",4.43522647961277,2.19162719430817,6.67882576491736,0.000148162128611462
"PI127826-LA1777",2.16565412628254,-0.0779451590220601,4.40925341158714,0.0616899016040968
"F1-hab-LA1777",3.39385420514617,1.15025491984157,5.63745349045077,0.0021202383194433
"F1-hab-PI127826",1.22820007886363,-1.01539920644096,3.47179936416823,0.528335038850889
