sample,genotype,cutting,cage,survival
PI127826,PI127826,4,1,47.05882353
PI127826,PI127826,4,2,26.31578947
PI127826,PI127826,5,1,60
PI127826,PI127826,5,2,75
PI127826,PI127826,6,1,42.85714286
PI127826,PI127826,6,2,43.75
PI127826,PI127826,4,1,53.33333333
PI127826,PI127826,4,2,25
PI127826,PI127826,5,1,6.666666667
PI127826,PI127826,5,2,21.42857143
PI127826,PI127826,6,1,50
PI127826,PI127826,6,2,18.75
F1,F1,4,1,62.5
F1,F1,4,2,68.42105263
F1,F1,6,1,52.94117647
F1,F1,6,2,68.75
F1,F1,5,1,92.30769231
F1,F1,5,2,75
F1,F1,4,1,45.45454545
F1,F1,4,2,63.15789474
F1,F1,5,1,38.88888889
F1,F1,5,2,12.5
F1,F1,6,1,53.84615385
F1,F1,6,2,53.84615385
CV,CV,4,1,72.72727273
CV,CV,4,2,100
CV,CV,5,1,69.23076923
CV,CV,5,2,100
CV,CV,5,1,66.66666667
CV,CV,5,2,66.66666667
CV,CV,4,1,73.33333333
CV,CV,4,2,83.33333333
98,ZIS + 00205,3,1,53.33333333
98,ZIS + 00205,3,2,66.66666667
98,ZIS + 00205,6,1,90.90909091
98,ZIS + 00205,6,2,93.75
98,ZIS + 00205,4,1,73.33333333
98,ZIS + 00205,4,2,75
95,ZIS + 00205,5,1,40
95,ZIS + 00205,5,2,84.61538462
95,ZIS + 00205,4,1,50
95,ZIS + 00205,6,1,66.66666667
95,ZIS + 00205,6,2,63.63636364
76,ZIS + 00205,4,1,80
76,ZIS + 00205,4,2,70
76,ZIS + 00205,6,1,78.57142857
76,ZIS + 00205,6,2,62.5
76,ZIS + 00205,5,1,69.23076923
76,ZIS + 00205,5,2,75
60,ZIS + 00205,5,1,68.75
60,ZIS + 00205,5,2,73.33333333
60,ZIS + 00205,6,1,70
60,ZIS + 00205,6,2,75
60,ZIS + 00205,4,1,81.81818182
60,ZIS + 00205,4,2,100
58,ZIS + 00205,5,1,88.88888889
58,ZIS + 00205,5,2,92.85714286
58,ZIS + 00205,4,1,71.42857143
58,ZIS + 00205,4,2,91.66666667
58,ZIS + 00205,6,1,85.71428571
58,ZIS + 00205,6,2,91.66666667
39,ZIS + 00205,5,1,40
39,ZIS + 00205,5,2,72.72727273
39,ZIS + 00205,4,1,81.81818182
39,ZIS + 00205,4,2,88.88888889
39,ZIS + 00205,6,1,53.33333333
39,ZIS + 00205,6,2,78.57142857
93,ZIS,4,1,64.28571429
93,ZIS,4,2,64.28571429
93,ZIS,5,1,75
93,ZIS,5,2,57.14285714
93,ZIS,6,1,81.81818182
93,ZIS,6,2,76.92307692
92,ZIS,4,1,50
92,ZIS,4,2,80
92,ZIS,5,1,39.13043478
92,ZIS,5,2,36.84210526
92,ZIS,6,1,73.33333333
92,ZIS,6,2,84.61538462
92,ZIS,6,1,69.23076923
92,ZIS,6,2,40
72,ZIS,5,1,66.66666667
72,ZIS,5,2,63.63636364
55,ZIS,6,1,50
55,ZIS,6,2,82.35294118
55,ZIS,4,1,71.42857143
55,ZIS,4,2,64.28571429
55,ZIS,5,1,66.66666667
55,ZIS,5,2,78.26086957
32,ZIS,5,1,80
32,ZIS,5,2,68.42105263
32,ZIS,4,1,80
32,ZIS,4,2,73.68421053
32,ZIS,6,1,88.23529412
32,ZIS,6,2,75
27,ZIS,4,1,73.68421053
27,ZIS,4,2,62.5
14,ZIS,5,1,55.55555556
14,ZIS,5,2,65.2173913
14,ZIS,4,1,68.75
14,ZIS,4,2,71.42857143
88,PHS + 00205,6,1,42.85714286
88,PHS + 00205,6,2,91.30434783
88,PHS + 00205,5,1,54.54545455
88,PHS + 00205,5,2,70
87,PHS + 00205,5,1,81.25
87,PHS + 00205,5,2,64
87,PHS + 00205,4,1,78.57142857
87,PHS + 00205,4,2,69.23076923
87,PHS + 00205,6,1,91.66666667
87,PHS + 00205,6,2,84.61538462
69,PHS + 00205,4,1,69.56521739
69,PHS + 00205,4,2,80.95238095
69,PHS + 00205,5,1,63.15789474
69,PHS + 00205,5,2,100
69,PHS + 00205,6,1,62.5
69,PHS + 00205,6,2,75
30,PHS + 00205,5,1,77.77777778
30,PHS + 00205,5,2,53.84615385
30,PHS + 00205,4,1,86.66666667
30,PHS + 00205,4,2,73.33333333
30,PHS + 00205,6,1,73.33333333
30,PHS + 00205,6,2,84.61538462
29,PHS + 00205,6,1,64.70588235
29,PHS + 00205,6,2,94.44444444
29,PHS + 00205,5,1,64.28571429
29,PHS + 00205,5,2,90
29,PHS + 00205,4,1,100
29,PHS + 00205,4,2,80
85,PHS,5,1,78.57142857
85,PHS,5,2,72.72727273
85,PHS,6,1,54.54545455
85,PHS,6,2,81.25
85,PHS,4,1,84.61538462
85,PHS,4,2,70.58823529
67,PHS,3,1,55.55555556
67,PHS,3,2,66.66666667
66,PHS,5,1,75
66,PHS,5,2,33.33333333
66,PHS,4,1,69.23076923
66,PHS,4,2,85.71428571
66,PHS,6,1,100
66,PHS,6,2,66.66666667
27,PHS,4,1,93.33333333
27,PHS,4,2,85.71428571
27,PHS,5,1,33.33333333
27,PHS,5,2,42.85714286
27,PHS,6,1,81.81818182
27,PHS,6,2,87.5
8,PHS,4,1,84.21052632
8,PHS,4,2,73.33333333
8,PHS,5,1,66.66666667
8,PHS,5,2,76.19047619
8,PHS,6,1,50
8,PHS,6,2,45.45454545
