sample,cutting,BC1_progeny,genotype,zingiberene,zingiberenol,epoxy_zingiberenol
60_4_6,6,60,ZIS + 00205,0,0,0
60_4_5,5,60,ZIS + 00205,780.0832451,0,71.41708743
60_4_4,4,60,ZIS + 00205,0,0,0
58_4_6,6,58,ZIS + 00205,0,0,0
58_4_5,5,58,ZIS + 00205,0,0,0
58_4_4,4,58,ZIS + 00205,488.5605213,0,115.3221007
39_4_6,6,39,ZIS + 00205,3545.087341,0,768.9473728
39_4_5,5,39,ZIS + 00205,586.6670871,59.92635721,0
39_4_4,4,39,ZIS + 00205,0,0,0
98_4_6,6,98,ZIS + 00205,0,0,0
98_4_4_rep,4,98,ZIS + 00205,2241.055546,0,168.7307556
98_4_3,3,98,ZIS + 00205,0,0,0
95_4_6,6,95,ZIS + 00205,1523.687047,302.7347593,751.5350421
95_4_5,5,95,ZIS + 00205,2013.349251,0,546.947823
95_4_4,4,95,ZIS + 00205,1355.558131,0,288.7048224
76_4_6,6,76,ZIS + 00205,0,0,0
76_4_5,5,76,ZIS + 00205,0,0,0
76_4_4,4,76,ZIS + 00205,0,0,0
93_3_6,6,93,ZIS,342.175273,0,0
93_3_5,5,93,ZIS,1305.92574,0,0
93_3_4,4,93,ZIS,2106.987688,0,0
92_3_6,6,92,ZIS,451.5657806,0,0
92_3_5,5,92,ZIS,4467.192532,0,0
92_3_4,4,92,ZIS,4827.556394,0,0
72_3_6,6,72,ZIS,1850.01043,0,0
72_3_5,5,72,ZIS,0,0,0
72_3_4_rep,4,72,ZIS,36503.76547,0,0
55_3_6,6,55,ZIS,10185.84842,0,0
55_3_5,5,55,ZIS,21373.09276,0,0
55_3_4,4,55,ZIS,37410.65491,0,0
32_3_6,6,32,ZIS,8373.037062,0,0
32_3_5,5,32,ZIS,1764.05294,0,0
32_3_4,4,32,ZIS,3485.520508,0,0
14_3_6_rep,6,14,ZIS,33854.45116,0,0
14_3_5,5,14,ZIS,18580.36985,0,0
14_3_4,4,14,ZIS,1312.218438,0,0
81_PI127826_6,6,PI127826,PI127826,42648.28733,715.9483948,518.97888
81_PI127826_5,5,PI127826,PI127826,107501.4647,3702.698851,7804.175499
81_PI127826_4_rep,4,PI127826,PI127826,254268.3125,9259.247501,14330.09658
21_PI127826_6_rep,6,PI127826,PI127826,255921.7162,13237.97412,18307.68467
21_PI127826_5_rep,5,PI127826,PI127826,210970.1701,5927.255336,9398.059978
21_PI127826_4,4,PI127826,PI127826,83266.20471,2139.832353,537.7118688
88_2_6,6,88,PHS + 00205,0,0,0
88_2_5,5,88,PHS + 00205,0,0,0
87_2_6,6,87,PHS + 00205,0,0,0
87_2_5,5,87,PHS + 00205,0,0,0
87_2_4,4,87,PHS + 00205,0,0,0
69_2_6,6,69,PHS + 00205,441.1951692,0,0
69_2_5,5,69,PHS + 00205,0,0,0
69_2_4,4,69,PHS + 00205,0,0,0
30_2_6,6,30,PHS + 00205,0,0,0
30_2_5,5,30,PHS + 00205,0,0,0
30_2_4,4,30,PHS + 00205,0,0,0
29_2_6,6,29,PHS + 00205,0,0,0
29_2_5,5,29,PHS + 00205,0,0,0
29_2_4,4,29,PHS + 00205,0,0,0
85_1_6,6,85,PHS,0,0,0
85_1_5,5,85,PHS,0,0,0
85_1_4,4,85,PHS,0,0,0
8_1_6,6,8,PHS,0,0,0
8_1_5,5,8,PHS,0,0,0
8_1_4,4,8,PHS,0,0,0
67_1_3,3,67,PHS,0,0,0
66_1_6,6,66,PHS,0,0,0
66_1_5,5,66,PHS,0,0,0
66_1_4,4,66,PHS,0,0,0
27_1_6,6,27,PHS,0,0,0
27_1_5,5,27,PHS,0,0,0
27_1_4,4,27,PHS,0,0,0
84_F1_6,6,F1,F1,28651.81503,141.2387957,2314.46144
84_F1_5,5,F1,F1,1636.154006,0,0
84_F1_4,4,F1,F1,10249.12543,113.1283878,2725.367816
65_F1_6,6,F1,F1,1428.456573,220.335128,0
65_F1_5_rep,5,F1,F1,17375.51409,1677.395055,753.4171949
65_F1_4,4,F1,F1,41948.71121,6511.343096,8769.48524
82_lyco_5,5,CV,CV,0,0,0
82_lyco_4,4,CV,CV,0,0,0
24_lyco_5,5,CV,CV,0,0,0
24_lyco_4,4,CV,CV,0,0,0
