sample	genotype	Bpinene	2-carene	alpha-terpinene	alpha-phellandrene	beta-phellandrene_or_delta-limonene	beta-bergamotene	santalene	beta-caryophyllene	alpha-bergamotene	alpha-humulene	7-epizingiberene	zingiberenol	epoxy-zingiberenol	beta-bergamotoic_acid	santanaloic_acid	alpha-bergamotoic_acid
CV_PI127826_1	CV	37	136	59	76	601	0	0	56	0	24	0	0	0	0	0	0
CV_PI127826_2	CV	203	486	165	165	579	0	0	228	0	95	0	0	0	0	0	0
CV_PI127826_3	CV	55	77	96	138	625	0	0	206	0	79	0	0	0	0	0	0
F1_PI127826xCV_1	F1	14	142	280	1439	6783	27	79	175	103	10	1384	64	411	0	0	0
F1_PI127826xCV_2	F1	0	1085	225	340	848	30	72	310	50	675	2843	110	346	0	0	0
F1_PI127826xCV_3	F1	0	25	55	98	559	0	34	112	24	144	808	33	116	0	0	0
PI127826_1	PI127826	0	0	2076	1469	14068	727	1480	118896	12149	88043	2081756	129619	89078	0	0	0
PI127826_2	PI127826	0	0	0	0	3334	708	0	33198	2256	67295	245613	33328	52914	0	0	0
PI127826_3	PI127826	0	0	6274	2812	13678	978	0	30505	2605	43526	143126	12556	25322	0	0	0
LA1777_1	LA1777	0	0	0	0	0	20354	54196	2014	47472	9075	0	0	0	516.4	561.5	1173.9
LA1777_2	LA1777	0	0	0	0	0	3430	11778	0	3971	1993	0	0	0	44.8	0	37.7
LA1777_3	LA1777	0	0	0	0	2194	26981	63894	1025	18310	13372	0	0	0	23.2	5.2	57
F1_PI127826xLA1777 _1	F1_hab	0	0	0	724	5701	225628	934929	148398	151415	87989	2323175	65190	72519	148.4	20.2	17.1
F1_PI127826xLA1777 _2	F1_hab	0	0	0	978	5140	209875	660820	194895	130373	72697	2565137	170189	54368	108.9	0	42
F1_PI127826xLA1777 _3	F1_hab	0	1116	1547	0	1758	63487	173203	91123	16926	27978	316265	54514	16731	61.5	13.3	60.4
