"genotype"	"metabolite"	"mean_value"	"se"
"Elite"	"2-carene"	0.18	0.0888819441731559
"Elite"	"3_7_11_Selinadiene"	0.00666666666666667	0.00666666666666667
"Elite"	"7epiZ"	0.05	0.0251661147842358
"Elite"	"9H10epoZ"	0.00333333333333333	0.00333333333333333
"Elite"	"9HZ"	0	0
"Elite"	"a-bergamotene"	0	0
"Elite"	"a-bergamotoic_acid"	0	0
"Elite"	"a-humulene"	0.246666666666667	0.109898943478897
"Elite"	"a-phellandrene"	0.133333333333333	0.0504424865014052
"Elite"	"a-santalene"	0	0
"Elite"	"a-santanaloic_acid"	0	0
"Elite"	"a-terpinene"	0.08	0.0404145188432738
"Elite"	"B-bergamotene"	0	0
"Elite"	"B-bergamotoic_acid"	0	0
"Elite"	"B-caryophyllene"	0.44	0.176729548557488
"Elite"	"B-phellandrene"	0.466666666666667	0.108063767182982
"Elite"	"E-B-ocimene"	0	0
"Elite"	"Germacrene_B"	0	0
"Elite"	"Germacrene_D"	0	0
"Elite"	"summed_terpenes"	1.60666666666667	0.466666666666667
"Elite"	"terpinolene"	0	0
"F1"	"2-carene"	0.346666666666667	0.201687326765411
"F1"	"3_7_11_Selinadiene"	0.876666666666667	0.453075907302273
"F1"	"7epiZ"	1.11	0.110151410945722
"F1"	"9H10epoZ"	0.81	0.315647482697603
"F1"	"9HZ"	0.176666666666667	0.095277372853043
"F1"	"a-bergamotene"	0	0
"F1"	"a-bergamotoic_acid"	0.02	0.02
"F1"	"a-humulene"	3.39666666666667	1.40940097598629
"F1"	"a-phellandrene"	0.39	0.0873689494805411
"F1"	"a-santalene"	0.11	0.0305505046330389
"F1"	"a-santanaloic_acid"	0.00666666666666667	0.00666666666666667
"F1"	"a-terpinene"	0.376666666666667	0.276063599757576
"F1"	"B-bergamotene"	0.07	0.0602771377334171
"F1"	"B-bergamotoic_acid"	0.00666666666666667	0.00666666666666667
"F1"	"B-caryophyllene"	0.546666666666667	0.186666666666667
"F1"	"B-phellandrene"	2.54666666666667	1.96228041942135
"F1"	"E-B-ocimene"	0	0
"F1"	"Germacrene_B"	0.73	0.403608721412211
"F1"	"Germacrene_D"	0.703333333333333	0.461531267750205
"F1"	"summed_terpenes"	12.25	4.61257339598335
"F1"	"terpinolene"	0.0266666666666667	0.02185812841434
"PI127826"	"2-carene"	0.00333333333333333	0.00333333333333333
"PI127826"	"3_7_11_Selinadiene"	5.20666666666667	0.961705660676788
"PI127826"	"7epiZ"	69.6966666666667	57.0274414451304
"PI127826"	"9H10epoZ"	10.2366666666667	2.1885027860262
"PI127826"	"9HZ"	11.5766666666667	5.15452013069866
"PI127826"	"a-bergamotene"	0.453333333333333	0.226666666666667
"PI127826"	"a-bergamotoic_acid"	0	0
"PI127826"	"a-humulene"	55.0966666666667	2.49645971549935
"PI127826"	"a-phellandrene"	0.37	0.22300971578237
"PI127826"	"a-santalene"	0.196666666666667	0.167564249700757
"PI127826"	"a-santanaloic_acid"	0.0533333333333333	0.0533333333333333
"PI127826"	"a-terpinene"	0.08	0.08
"PI127826"	"B-bergamotene"	0.95	0.475709995690652
"PI127826"	"B-bergamotoic_acid"	0.03	0.03
"PI127826"	"B-caryophyllene"	14.36	2.77890266112363
"PI127826"	"B-phellandrene"	0.646666666666667	0.344593157860751
"PI127826"	"E-B-ocimene"	0.133333333333333	0.0371184290855335
"PI127826"	"Germacrene_B"	4.30333333333333	2.04268885975759
"PI127826"	"Germacrene_D"	2.64666666666667	0.434140274309788
"PI127826"	"summed_terpenes"	176.133333333333	66.7254010437138
"PI127826"	"terpinolene"	0.1	0.0709459888459759
"F1_hab"	"2-carene"	0	0
"F1_hab"	"3_7_11_Selinadiene"	18.78	0.348472858818779
"F1_hab"	"7epiZ"	247.383333333333	119.110547018772
"F1_hab"	"9H10epoZ"	11.2866666666667	3.9057066510997
"F1_hab"	"9HZ"	16.2466666666667	0.694510219107282
"F1_hab"	"a-bergamotene"	55.53	15.4752070530036
"F1_hab"	"a-bergamotoic_acid"	0.0233333333333333	0.0233333333333333
"F1_hab"	"a-humulene"	142.606666666667	59.9284947064231
"F1_hab"	"a-phellandrene"	0.02	0.0152752523165195
"F1_hab"	"a-santalene"	137.783333333333	71.8224499102552
"F1_hab"	"a-santanaloic_acid"	0.116666666666667	0.116666666666667
"F1_hab"	"a-terpinene"	0	0
"F1_hab"	"B-bergamotene"	12.8133333333333	1.23688228129349
"F1_hab"	"B-bergamotoic_acid"	0.02	0.0115470053837925
"F1_hab"	"B-caryophyllene"	23.55	7.43590164898201
"F1_hab"	"B-phellandrene"	0.213333333333333	0.112150692275071
"F1_hab"	"E-B-ocimene"	0.203333333333333	0.0166666666666667
"F1_hab"	"Germacrene_B"	11.03	1.83233002849741
"F1_hab"	"Germacrene_D"	13.8666666666667	5.24956294477084
"F1_hab"	"summed_terpenes"	691.476666666667	259.090043699955
"F1_hab"	"terpinolene"	0.00333333333333333	0.00333333333333333
"LA1777"	"2-carene"	0.0133333333333333	0.00881917103688197
"LA1777"	"3_7_11_Selinadiene"	21.6133333333333	6.09455859307665
"LA1777"	"7epiZ"	5.31333333333333	2.33992402535733
"LA1777"	"9H10epoZ"	0.09	0.055075705472861
"LA1777"	"9HZ"	0.04	0.0208166599946613
"LA1777"	"a-bergamotene"	7.45666666666667	3.16422361901164
"LA1777"	"a-bergamotoic_acid"	0.633333333333333	0.633333333333333
"LA1777"	"a-humulene"	12.55	5.46225533395623
"LA1777"	"a-phellandrene"	0.0133333333333333	0.0133333333333333
"LA1777"	"a-santalene"	14.2133333333333	5.55376548938746
"LA1777"	"a-santanaloic_acid"	0.213333333333333	0.127191893522259
"LA1777"	"a-terpinene"	0.02	0.02
"LA1777"	"B-bergamotene"	8.40666666666667	3.96367394106921
"LA1777"	"B-bergamotoic_acid"	0.0233333333333333	0.0233333333333333
"LA1777"	"B-caryophyllene"	0.12	0.12
"LA1777"	"B-phellandrene"	0.08	0.0611010092660779
"LA1777"	"E-B-ocimene"	0.156666666666667	0.02185812841434
"LA1777"	"Germacrene_B"	28.7666666666667	12.2389138043828
"LA1777"	"Germacrene_D"	26.9433333333333	8.52549965951817
"LA1777"	"summed_terpenes"	126.666666666667	42.6299215470907
"LA1777"	"terpinolene"	0	0
