sample,genotype,group,replicate,plate,emission
PI-14878,PI127826,PI127826,1,6,1043546.75
PI-14864,PI127826,PI127826,2,6,804016.25
PI-14852,PI127826,PI127826,3,6,495661.25
F1-14879,F1,F1,1,6,551276.75
F1-14865?,F1,F1,2,6,276402.25
F1-14865,F1,F1,3,6,85892.25
F1-14853,F1,F1,4,6,106573.75
Elite-14877,cultivar,cultivar,1,6,131971.75
Elite-14863,cultivar,cultivar,2,6,223307.75
Elite-14851,cultivar,cultivar,3,6,194851.25
451,451,F2,1,9,126864.25
450,450,F2,1,9,225951.75
449,449,F2,1,9,234432.25
448,448,F2,1,9,157134.75
447,447,F2,1,9,239582.75
446,446,F2,1,9,213813.75
445,445,F2,1,9,184725.25
444,444,F2,1,9,243439.25
443,443,F2,1,9,177557.75
441,441,F2,1,9,81595.25
440,440,F2,1,9,476972.25
439,439,F2,1,9,77503.75
438,438,F2,1,9,285014.75
437,437,F2,1,9,44858.75
436,436,F2,1,9,54535.25
435,435,F2,1,9,1376974.25
434,434,F2,1,9,109996.75
433,433,F2,1,9,385441.25
432,432,F2,1,9,177768.25
431,431,F2,1,9,253661.75
430,430,F2,1,9,136653.25
429,429,F2,1,9,33283.25
427,427,F2,1,9,188668.25
425,425,F2,1,9,78521.75
423,423,F2,1,9,466009.75
422,422,F2,1,8,175511
420.2,420,F2,2,8,172276.5
420,420,F2,1,8,164779.5
419,419,F2,1,8,1590205
418,418,F2,1,8,355732.5
417,417,F2,1,8,64748.5
416,416,F2,1,8,129329
415,415,F2,1,8,75329
414,414,F2,1,8,265069
413,413,F2,1,8,62324
411,411,F2,1,8,167941
410,410,F2,1,8,376202.5
409,409,F2,1,8,400233
408,408,F2,1,8,269802
407,407,F2,1,8,416745
406,406,F2,1,8,692438
405,405,F2,1,8,255965.5
404,404,F2,1,8,109743.5
403,403,F2,1,8,523000
402,402,F2,1,8,136853.5
401,401,F2,1,8,167644.5
400,400,F2,1,8,131746
399,399,F2,1,8,141598
398,398,F2,1,8,474711.5
397,397,F2,1,8,993251
396,396,F2,1,8,451132.5
394,394,F2,1,8,600230
392,392,F2,1,8,426790
391,391,F2,1,8,220280.5
