genotype	replicate	surface	type_VI_density_mm2
151	2	adaxial	2.4
151	2	abaxial	1.4
151	1	adaxial	1
151	1	abaxial	0.3
161	1	adaxial	5.3
161	2	adaxial	4.5
161	2	abaxial	4.2
161	1	abaxial	3.1
183	2	adaxial	5.1
183	1	adaxial	3
183	2	abaxial	2.9
183	1	abaxial	1.9
184	2	adaxial	6.3
184	1	adaxial	5.7
184	1	abaxial	4.1
184	2	abaxial	3.2
190	2	adaxial	2.7
190	1	adaxial	2.5
190	2	abaxial	1.7
190	1	abaxial	0.7
194	2	adaxial	6.1
194	2	abaxial	6.1
194	1	abaxial	4.8
194	1	adaxial	3.7
200	2	adaxial	3.8
200	1	adaxial	3.7
200	2	abaxial	2.9
200	1	abaxial	1.4
201	2	adaxial	13.2
201	2	abaxial	7.6
201	1	abaxial	7.2
201	1	adaxial	6.4
211	2	adaxial	10
211	1	adaxial	6.6
211	2	abaxial	3.8
211	1	abaxial	2.9
225	2	adaxial	9.2
225	1	adaxial	7.6
225	2	abaxial	2.2
225	1	abaxial	1.5
232	2	adaxial	17.7
232	1	adaxial	7.1
232	2	abaxial	4.2
232	1	abaxial	1.4
250	2	adaxial	11.9
250	1	adaxial	9.1
250	2	abaxial	4.9
250	1	abaxial	3
255	1	abaxial	4.9
255	1	adaxial	3.7
255	2	adaxial	3.6
255	2	abaxial	3.1
258	1	adaxial	4.9
258	2	adaxial	4.3
258	1	abaxial	4.3
258	2	abaxial	3.7
273	2	adaxial	3.6
273	1	adaxial	2.3
273	1	abaxial	1.2
273	2	abaxial	1
279	2	adaxial	4.2
279	2	abaxial	4
279	1	abaxial	3.5
279	1	adaxial	2.4
280	2	adaxial	5.1
280	1	adaxial	4.7
280	1	abaxial	3.7
280	2	abaxial	3.3
286	2	adaxial	13.6
286	1	adaxial	10
286	2	abaxial	4.5
286	1	abaxial	3.3
290	2	abaxial	4.5
290	1	abaxial	3
290	2	adaxial	2.9
290	1	adaxial	2.1
292	2	adaxial	11
292	1	adaxial	8.5
292	2	abaxial	6.1
292	1	abaxial	5.6
294	2	adaxial	18.2
294	1	adaxial	13.9
294	2	abaxial	9.6
294	1	abaxial	6.4
295	2	adaxial	8.7
295	2	abaxial	5.4
295	1	adaxial	4.7
295	1	abaxial	4.1
296	2	adaxial	19.9
296	1	adaxial	17.4
296	2	abaxial	3.5
296	1	abaxial	2.7
303	2	adaxial	7.4
303	1	adaxial	6.6
303	2	abaxial	4.9
303	1	abaxial	4.1
314	2	adaxial	28.3
314	1	adaxial	15.9
314	2	abaxial	12.7
314	1	abaxial	9.1
324	2	adaxial	10.6
324	2	abaxial	5.4
324	1	adaxial	5.1
324	1	abaxial	3.5
327	2	adaxial	16.2
327	2	abaxial	7.2
327	1	adaxial	6.7
327	1	abaxial	5.3
332	2	adaxial	2.4
332	1	abaxial	2.2
332	2	abaxial	2
332	1	adaxial	0.6
337	2	adaxial	6.3
337	1	adaxial	4.9
337	2	abaxial	2.5
337	1	abaxial	1.9
341	1	adaxial	4.8
341	2	adaxial	4.6
341	2	abaxial	1.2
