genotype	replicate	surface	type_VI_counts	diameter	type_VI_mm2
161	1	adaxial	66	4	5.25
184	1	adaxial	71	4	5.65
194	1	adaxial	47	4	3.74
255	1	adaxial	46	4	3.66
273	1	adaxial	29	4	2.31
279	1	adaxial	30	4	2.39
280	1	adaxial	59	4	4.70
292	1	adaxial	107	4	8.52
296	1	adaxial	219	4	17.44
346	1	adaxial	26	4	2.07
364	1	adaxial	19	4	1.51
365	1	adaxial	42	4	3.34
387	1	adaxial	93	4	7.40
396	1	adaxial	43	4	3.42
400	1	adaxial	130	4	10.35
434	1	adaxial	127	4	10.11
376	1	adaxial	58	4	4.62
376	1	adaxial	92	4	7.32
151	1	adaxial	12	4	0.96
190	1	adaxial	31	4	2.47
250	1	adaxial	114	4	9.08
211	1	adaxial	83	4	6.61
327	1	adaxial	84	4	6.69
411	1	adaxial	25	4	1.99
183	1	adaxial	38	4	3.03
258	1	adaxial	61	4	4.86
341	1	adaxial	60	4	4.78
366	1	adaxial	145	4	11.54
295	1	adaxial	59	4	4.70
294	1	adaxial	174	4	13.85
324	1	adaxial	64	4	5.10
200	1	adaxial	46	4	3.66
286	1	adaxial	125	4	9.95
432	1	adaxial	53	4	4.22
337	1	adaxial	61	4	4.86
445	1	adaxial	52	4	4.14
290	1	adaxial	26	4	2.07
332	1	adaxial	8	4	0.64
314	1	adaxial	200	4	15.92
303	1	adaxial	83	4	6.61
232	1	adaxial	89	4	7.09
225	1	adaxial	95	4	7.56
201	1	adaxial	81	4	6.45
449	1	adaxial	80	4	6.37
161	2	adaxial	57	4	4.54
184	2	adaxial	79	4	6.29
194	2	adaxial	77	4	6.13
255	2	adaxial	45	4	3.58
273	2	adaxial	45	4	3.58
279	2	adaxial	53	4	4.22
280	2	adaxial	64	4	5.10
292	2	adaxial	138	4	10.99
296	2	adaxial	250	4	19.90
346	2	adaxial	33	4	2.63
364	2	adaxial	11	4	0.88
365	2	adaxial	61	4	4.86
387	2	adaxial	143	4	11.39
396	2	adaxial	53	4	4.22
400	2	adaxial	141	4	11.23
434	2	adaxial	149	4	11.86
376	2	adaxial	85	4	6.77
376	2	adaxial	102	4	8.12
151	2	adaxial	30	4	2.39
190	2	adaxial	34	4	2.71
250	2	adaxial	149	4	11.86
211	2	adaxial	126	4	10.03
327	2	adaxial	204	4	16.24
411	2	adaxial	15	4	1.19
183	2	adaxial	64	4	5.10
258	2	adaxial	54	4	4.30
341	2	adaxial	58	4	4.62
366	2	adaxial	204	4	16.24
295	2	adaxial	109	4	8.68
294	2	adaxial	229	4	18.23
324	2	adaxial	133	4	10.59
200	2	adaxial	48	4	3.82
286	2	adaxial	171	4	13.61
432	2	adaxial	70	4	5.57
337	2	adaxial	79	4	6.29
445	2	adaxial	48	4	3.82
290	2	adaxial	36	4	2.87
332	2	adaxial	30	4	2.39
314	2	adaxial	355	4	28.26
303	2	adaxial	93	4	7.40
232	2	adaxial	222	4	17.68
225	2	adaxial	116	4	9.24
201	2	adaxial	166	4	13.22
449	2	adaxial	116	4	9.24
161	1	abaxial	39	4	3.11
184	1	abaxial	52	4	4.14
194	1	abaxial	60	4	4.78
255	1	abaxial	62	4	4.94
273	1	abaxial	15	4	1.19
279	1	abaxial	44	4	3.50
280	1	abaxial	46	4	3.66
292	1	abaxial	70	4	5.57
296	1	abaxial	34	4	2.71
346	1	abaxial	23	4	1.83
364	1	abaxial	6	4	0.48
365	1	abaxial	31	4	2.47
387	1	abaxial	60	4	4.78
396	1	abaxial	36	4	2.87
400	1	abaxial	48	4	3.82
434	1	abaxial	48	4	3.82
376	1	abaxial	51	4	4.06
376	1	abaxial	88	4	7.01
151	1	abaxial	4	4	0.32
190	1	abaxial	9	4	0.72
250	1	abaxial	38	4	3.03
211	1	abaxial	37	4	2.95
327	1	abaxial	67	4	5.33
411	1	abaxial	50	4	3.98
183	1	abaxial	24	4	1.91
258	1	abaxial	54	4	4.30
341	1	abaxial	15	4	1.19
366	1	abaxial	63	4	5.02
295	1	abaxial	51	4	4.06
294	1	abaxial	81	4	6.45
324	1	abaxial	44	4	3.50
200	1	abaxial	18	4	1.43
286	1	abaxial	41	4	3.26
432	1	abaxial	32	4	2.55
337	1	abaxial	24	4	1.91
445	1	abaxial	19	4	1.51
290	1	abaxial	38	4	3.03
332	1	abaxial	28	4	2.23
314	1	abaxial	114	4	9.08
303	1	abaxial	52	4	4.14
232	1	abaxial	18	4	1.43
225	1	abaxial	19	4	1.51
201	1	abaxial	90	4	7.17
449	1	abaxial	24	4	1.91
161	2	abaxial	53	4	4.22
184	2	abaxial	40	4	3.18
194	2	abaxial	76	4	6.05
255	2	abaxial	39	4	3.11
273	2	abaxial	13	4	1.04
279	2	abaxial	50	4	3.98
280	2	abaxial	41	4	3.26
292	2	abaxial	76	4	6.05
296	2	abaxial	44	4	3.50
346	2	abaxial	29	4	2.31
364	2	abaxial	11	4	0.88
365	2	abaxial	38	4	3.03
387	2	abaxial	65	4	5.18
396	2	abaxial	38	4	3.03
400	2	abaxial	55	4	4.38
434	2	abaxial	53	4	4.22
376	2	abaxial	87	4	6.93
376	2	abaxial	81	4	6.45
151	2	abaxial	17	4	1.35
190	2	abaxial	21	4	1.67
250	2	abaxial	61	4	4.86
211	2	abaxial	48	4	3.82
327	2	abaxial	90	4	7.17
411	2	abaxial	52	4	4.14
183	2	abaxial	36	4	2.87
258	2	abaxial	47	4	3.74
341	2	abaxial	15	4	1.19
366	2	abaxial	118	4	9.39
295	2	abaxial	68	4	5.41
294	2	abaxial	120	4	9.55
324	2	abaxial	68	4	5.41
200	2	abaxial	36	4	2.87
286	2	abaxial	57	4	4.54
432	2	abaxial	46	4	3.66
337	2	abaxial	32	4	2.55
445	2	abaxial	11	4	0.88
290	2	abaxial	56	4	4.46
332	2	abaxial	25	4	1.99
314	2	abaxial	160	4	12.74
303	2	abaxial	62	4	4.94
232	2	abaxial	53	4	4.22
225	2	abaxial	28	4	2.23
201	2	abaxial	95	4	7.56
449	2	abaxial	43	4	3.42
28	1	adaxial	111	4	8.84
28	2	adaxial	133	4	10.59
28	1	abaxial	87	4	6.93
28	2	abaxial	68	4	5.41
28	3	adaxial	124	4	9.87
28	4	adaxial	120	4	9.55
28	3	abaxial	61	4	4.86
28	4	abaxial	84	4	6.69
28	5	adaxial	136	4	10.83
28	6	adaxial	132	4	10.51
28	5	abaxial	68	4	5.41
28	6	abaxial	84	4	6.69
73	1	adaxial	206	4	16.40
73	2	adaxial	214	4	17.04
73	1	abaxial	154	4	12.26
73	2	abaxial	148	4	11.78
73	3	adaxial	123	4	9.79
73	4	adaxial	126	4	10.03
73	3	abaxial	52	4	4.14
73	4	abaxial	40	4	3.18
73	5	adaxial	129	4	10.27
73	6	adaxial	128	4	10.19
73	5	abaxial	98	4	7.80
73	6	abaxial	89	4	7.09
127	1	adaxial	170	4	13.54
127	2	adaxial	195	4	15.53
127	1	abaxial	126	4	10.03
127	2	abaxial	131	4	10.43
127	3	adaxial	166	4	13.22
127	4	adaxial	100	4	7.96
127	3	abaxial	110	4	8.76
127	4	abaxial	153	4	12.18
127	5	adaxial	234	4	18.63
127	6	adaxial	144	4	11.46
127	5	abaxial	152	4	12.10
