genotype	group	replicatie	surface	type_VI_density_mm2
151	F2	2	adaxial	2.4
151	F2	2	abaxial	1.4
151	F2	1	adaxial	1
151	F2	1	abaxial	0.3
161	F2	1	adaxial	5.3
161	F2	2	adaxial	4.5
161	F2	2	abaxial	4.2
161	F2	1	abaxial	3.1
183	F2	2	adaxial	5.1
183	F2	1	adaxial	3
183	F2	2	abaxial	2.9
183	F2	1	abaxial	1.9
184	F2	2	adaxial	6.3
184	F2	1	adaxial	5.7
184	F2	1	abaxial	4.1
184	F2	2	abaxial	3.2
190	F2	2	adaxial	2.7
190	F2	1	adaxial	2.5
190	F2	2	abaxial	1.7
190	F2	1	abaxial	0.7
194	F2	2	adaxial	6.1
194	F2	2	abaxial	6.1
194	F2	1	abaxial	4.8
194	F2	1	adaxial	3.7
200	F2	2	adaxial	3.8
200	F2	1	adaxial	3.7
200	F2	2	abaxial	2.9
200	F2	1	abaxial	1.4
201	F2	2	adaxial	13.2
201	F2	2	abaxial	7.6
201	F2	1	abaxial	7.2
201	F2	1	adaxial	6.4
211	F2	2	adaxial	10
211	F2	1	adaxial	6.6
211	F2	2	abaxial	3.8
211	F2	1	abaxial	2.9
225	F2	2	adaxial	9.2
225	F2	1	adaxial	7.6
225	F2	2	abaxial	2.2
225	F2	1	abaxial	1.5
232	F2	2	adaxial	17.7
232	F2	1	adaxial	7.1
232	F2	2	abaxial	4.2
232	F2	1	abaxial	1.4
250	F2	2	adaxial	11.9
250	F2	1	adaxial	9.1
250	F2	2	abaxial	4.9
250	F2	1	abaxial	3
255	F2	1	abaxial	4.9
255	F2	1	adaxial	3.7
255	F2	2	adaxial	3.6
255	F2	2	abaxial	3.1
258	F2	1	adaxial	4.9
258	F2	2	adaxial	4.3
258	F2	1	abaxial	4.3
258	F2	2	abaxial	3.7
273	F2	2	adaxial	3.6
273	F2	1	adaxial	2.3
273	F2	1	abaxial	1.2
273	F2	2	abaxial	1
279	F2	2	adaxial	4.2
279	F2	2	abaxial	4
279	F2	1	abaxial	3.5
279	F2	1	adaxial	2.4
280	F2	2	adaxial	5.1
280	F2	1	adaxial	4.7
280	F2	1	abaxial	3.7
280	F2	2	abaxial	3.3
286	F2	2	adaxial	13.6
286	F2	1	adaxial	10
286	F2	2	abaxial	4.5
286	F2	1	abaxial	3.3
290	F2	2	abaxial	4.5
290	F2	1	abaxial	3
290	F2	2	adaxial	2.9
290	F2	1	adaxial	2.1
292	F2	2	adaxial	11
292	F2	1	adaxial	8.5
292	F2	2	abaxial	6.1
292	F2	1	abaxial	5.6
294	F2	2	adaxial	18.2
294	F2	1	adaxial	13.9
294	F2	2	abaxial	9.6
294	F2	1	abaxial	6.4
295	F2	2	adaxial	8.7
295	F2	2	abaxial	5.4
295	F2	1	adaxial	4.7
295	F2	1	abaxial	4.1
296	F2	2	adaxial	19.9
296	F2	1	adaxial	17.4
296	F2	2	abaxial	3.5
296	F2	1	abaxial	2.7
303	F2	2	adaxial	7.4
303	F2	1	adaxial	6.6
303	F2	2	abaxial	4.9
303	F2	1	abaxial	4.1
314	F2	2	adaxial	28.3
314	F2	1	adaxial	15.9
314	F2	2	abaxial	12.7
314	F2	1	abaxial	9.1
324	F2	2	adaxial	10.6
324	F2	2	abaxial	5.4
324	F2	1	adaxial	5.1
324	F2	1	abaxial	3.5
327	F2	2	adaxial	16.2
327	F2	2	abaxial	7.2
327	F2	1	adaxial	6.7
327	F2	1	abaxial	5.3
332	F2	2	adaxial	2.4
332	F2	1	abaxial	2.2
332	F2	2	abaxial	2
332	F2	1	adaxial	0.6
337	F2	2	adaxial	6.3
337	F2	1	adaxial	4.9
337	F2	2	abaxial	2.5
337	F2	1	abaxial	1.9
341	F2	1	adaxial	4.8
341	F2	2	adaxial	4.6
341	F2	2	abaxial	1.2
341	F2	1	abaxial	1.2
346	F2	2	adaxial	2.6
346	F2	2	abaxial	2.3
346	F2	1	adaxial	2.1
346	F2	1	abaxial	1.8
364	F2	1	adaxial	1.5
364	F2	2	adaxial	0.9
364	F2	2	abaxial	0.9
364	F2	1	abaxial	0.5
365	F2	2	adaxial	4.9
365	F2	1	adaxial	3.3
365	F2	2	abaxial	3
365	F2	1	abaxial	2.5
366	F2	2	adaxial	16.2
366	F2	1	adaxial	11.5
366	F2	2	abaxial	9.4
366	F2	1	abaxial	5
376	F2	2	adaxial	8.1
376	F2	1	adaxial	7.3
376	F2	1	abaxial	7
376	F2	2	abaxial	6.9
376	F2	2	adaxial	6.8
376	F2	2	abaxial	6.4
376	F2	1	adaxial	4.6
376	F2	1	abaxial	4.1
387	F2	2	adaxial	11.4
387	F2	1	adaxial	7.4
387	F2	2	abaxial	5.2
387	F2	1	abaxial	4.8
396	F2	2	adaxial	4.2
396	F2	1	adaxial	3.4
396	F2	2	abaxial	3
396	F2	1	abaxial	2.9
400	F2	2	adaxial	11.2
400	F2	1	adaxial	10.4
400	F2	2	abaxial	4.4
400	F2	1	abaxial	3.8
411	F2	2	abaxial	4.1
411	F2	1	abaxial	4
411	F2	1	adaxial	2
411	F2	2	adaxial	1.2
432	F2	2	adaxial	5.6
432	F2	1	adaxial	4.2
432	F2	2	abaxial	3.7
432	F2	1	abaxial	2.5
434	F2	2	adaxial	11.9
434	F2	1	adaxial	10.1
434	F2	2	abaxial	4.2
434	F2	1	abaxial	3.8
445	F2	1	adaxial	4.1
445	F2	2	adaxial	3.8
445	F2	1	abaxial	1.5
445	F2	2	abaxial	0.9
449	F2	2	adaxial	9.2
449	F2	1	adaxial	6.4
449	F2	2	abaxial	3.4
449	F2	1	abaxial	1.9
Cultivar	Elite	1	abaxial	2.4
Cultivar	Elite	2	abaxial	0.1
Cultivar	Elite	3	abaxial	1.7
Cultivar	Elite	4	abaxial	2.1
Cultivar	Elite	5	abaxial	1.4
Cultivar	Elite	6	abaxial	0
Cultivar	Elite	7	abaxial	0.5
Cultivar	Elite	8	abaxial	0.6
Cultivar	Elite	9	abaxial	0.4
Cultivar	Elite	10	abaxial	0.2
Cultivar	Elite	1	adaxial	1.3
Cultivar	Elite	2	adaxial	0.4
Cultivar	Elite	3	adaxial	2.7
Cultivar	Elite	4	adaxial	2.9
Cultivar	Elite	5	adaxial	0.3
Cultivar	Elite	6	adaxial	0.3
Cultivar	Elite	7	adaxial	2.1
Cultivar	Elite	8	adaxial	0.2
Cultivar	Elite	9	adaxial	0.2
Cultivar	Elite	10	adaxial	0.7
F1	F1	1	abaxial	2.2
F1	F1	2	abaxial	2.4
F1	F1	3	abaxial	2.5
F1	F1	4	abaxial	1
F1	F1	1	adaxial	2.3
F1	F1	2	adaxial	1.8
F1	F1	3	adaxial	3.1
F1	F1	4	adaxial	2.1
PI127826	PI127826	1	abaxial	2.5
PI127826	PI127826	2	abaxial	2.2
PI127826	PI127826	3	abaxial	9.4
PI127826	PI127826	4	abaxial	1
PI127826	PI127826	5	abaxial	1
PI127826	PI127826	6	abaxial	0.9
