sample,group,B_pinene,carene,A_terpinene,A_phellandrene,B_phellandrene,B_caryophyllene ,A_humulene ,zingiberene,Zingiberenol,epoxy_zingiberenol,total_volatiles,Type_VI_mm2_Adaxial,Type_VI_mm2_Abaxial,Type_VI_mm
151,F2,0,0,0.939736921,1.139220718,1.196301925,0,1.213726714,0.343088096,0,1.051495916,5.88357029,1.7,0.8,2.5
183,F2,0.342884221,0,0.834100802,0.830338749,1.520406681,1.55211541,15.41742893,7.077495786,1.418293825,9.478222772,38.47128718,4.1,2.4,6.5
184,F2,0.268871025,0,0.783050043,0.584026577,1.168473923,10.76325637,94.34259295,41.9068523,15.20320482,20.71653352,185.7368615,6,3.7,9.7
194,F2,0,0,1.307849616,1.259020677,2.842610184,10.71843079,66.64767177,26.29294741,11.21725191,12.95020052,133.2359829,4.9,5.4,10.3
200,F2,0.250172854,0.885676883,1.017586206,1.252163869,0.489624014,0.259594948,5.168181281,0.218982472,0,1.570565683,11.11254821,3.7,2.1,5.8
201,F2,0.255106862,0,0.834603206,0.884615162,1.078698261,0.470295924,10.60804074,3.936721003,0.293189361,3.727037845,22.08830837,9.8,7.4,17.2
211,F2,0,0,0.70716591,0.62567432,1.060748865,0.288389683,2.410792875,0.689056668,0.548257309,0.513849749,6.84393538,8.3,3.4,11.7
250,F2,0.164971197,0,0.633012711,0.626002603,0.924633185,0.711292245,333.1904114,101.7591884,0.355412452,0.991930217,439.3568544,10.5,3.9,14.4
258,F2,0.449950247,0,1.433277858,1.265311264,3.310387975,14.22043007,169.6190073,77.08665548,18.96020264,51.2275865,337.5728093,4.6,4,8.6
280,F2,0.070061721,0.055180394,0.567554249,0.567554249,1.026159806,0.583630427,38.77943394,8.815176556,0.585802883,5.946556431,56.99711066,4.9,3.5,8.4
286,F2,0,0,1.25641078,1.227384788,0,0,6.182536214,1.462702649,0,0.585703045,10.71473748,11.8,3.9,15.7
290,F2,0,0,0.789751597,0.644601277,0.965856164,0.854169894,8.013803543,3.170300504,0.504470564,2.602248243,17.54520179,2.5,3.7,6.2
292,F2,0.332609129,0,1.102689378,0.782095686,1.022404416,5.418415711,57.19948552,27.16307886,7.393862706,5.618308883,106.0329503,9.8,5.8,15.6
294,F2,0.589488782,0,1.865065692,1.030587002,2.902053856,7.005780303,104.1468976,49.12775069,7.141950466,25.98638801,199.7959624,16,8,24
295,F2,0.157968895,0,0.649963622,0.890896333,0.380331217,0.392389912,199.0113845,2.494220324,0,0.396731042,204.3738859,6.7,4.7,11.4
324,F2,0,0,1.190356897,0.716707032,1.796441757,0.50117557,104.8916322,38.81799545,0.354198693,0.665810446,148.9343181,7.8,4.5,12.3
327,F2,0.237070191,0,0.65832284,0.753372823,0.761509398,0.551067995,5.498844936,1.533004591,0.367625226,0.669048325,11.02986633,11.5,6.3,17.8
346,F2,0,0,0.747430431,0.849749789,1.788093168,4.498308354,82.58357585,39.02235704,4.984325303,14.8718691,149.345709,2.3,2.1,4.4
366,F2,0.283192021,0,0.908971203,0.4059921,1.604170021,14.01850625,236.0265149,81.3422716,16.8331342,12.28351655,363.7062689,13.9,7.2,21.1
373,F2,0,0,0.787926309,0.750738047,1.723443535,6.558305023,42.23075834,18.57088853,7.527136734,6.875567386,85.0247639,3.7,0.3,3.968253968
376,F2,0.173871411,0,1.118745296,1.177818946,1.673245891,4.851651826,63.18231296,21.14745294,6.405532405,8.01635511,107.7469868,5.7,5.5,11.2
396,F2,0.138398491,0,0.816706021,0.798631591,1.382952086,1.917180589,30.65371653,10.62750652,2.400284277,5.489978948,54.22535505,3.8,2.9,6.7
400,F2,0.39984679,0,1.163355139,1.75245068,3.767606129,1.045753142,736.8423678,175.0894715,0.320962989,0.234480289,920.6162945,10.8,4.1,14.9
445,F2,0,0,0.654328708,0.566177086,0.983284762,0.438249732,1.671297423,0.722771634,0.453300009,0.74248033,6.231889684,4,1.2,5.2
CV,CV,0.524280673,16.02108928,7.393863571,25.43901003,34.23414396,0,0.480115725,0.125982041,0,0.225912868,84.44439815,1.294,3.571,4.865
F1,F1,0.288103482,28.50518276,13.23618569,32.95884336,53.32888076,0.659566855,6.013124283,2.104471628,0.505034192,3.471378843,141.0707718,0.542,2.315,2.857
PI127826,PI127826,1.177029829,0.220821031,2.015279768,2.061849209,6.644845135,14.89633599,424.8650369,214.8025703,17.3000356,65.63015974,749.6139635,5.524,3.905,9.429
