sample,genotype,untreated,cavity
PI_cont_1,PI127826,Control,8312.626667
PI_cont_2,PI127826,Control,12756.25
PI_cont_3,PI127826,Control,17642.61333
PI_cont_4,PI127826,Control,13083.33333
PI_cont_5,PI127826,Control,26618.82667
PI_cont_6,PI127826,Control,17232.32
PI_cont_7,PI127826,Control,20245.67333
PI_cont_8,PI127826,Control,10616.34
PI_cont_9,PI127826,Control,19297.91667
PI_cont_10,PI127826,Control,32668.56
PI_cont_11,PI127826,Control,22631.55
PI_cont_12,PI127826,Control,14858.48
PI_cont_13,PI127826,Control,16273.57333
PI_cont_14,PI127826,Control,11454.72
PI_cont_15,PI127826,Control,6162.773333
PI_cont_16,PI127826,Control,13797.16
PI_cont_17,PI127826,Control,16956
PI_fos_1,PI127826,Fosmidomycin,1709.73
PI_fos_2,PI127826,Fosmidomycin,2562.24
PI_fos_3,PI127826,Fosmidomycin,3095.516667
PI_fos_4,PI127826,Fosmidomycin,2786.226667
PI_fos_5,PI127826,Fosmidomycin,3282.346667
PI_fos_6,PI127826,Fosmidomycin,8138.88
PI_fos_7,PI127826,Fosmidomycin,641.0833333
PI_fos_8,PI127826,Fosmidomycin,468.9066667
PI_fos_9,PI127826,Fosmidomycin,339.12
PI_fos_10,PI127826,Fosmidomycin,235.5
PI_fos_11,PI127826,Fosmidomycin,340.1666667
PI_fos_12,PI127826,Fosmidomycin,4687.496667
PI_fos_13,PI127826,Fosmidomycin,2939.04
250_fos_1,F2_250,Fosmidomycin,718.0133333
250_fos_2,F2_250,Fosmidomycin,209.3333333
250_fos_3,F2_250,Fosmidomycin,47.1
250_fos_4,F2_250,Fosmidomycin,159.0933333
250_fos_5,F2_250,Fosmidomycin,820.5866667
250_fos_6,F2_250,Fosmidomycin,1570
250_fos_7,F2_250,Fosmidomycin,1017.36
250_fos_8,F2_250,Fosmidomycin,820.5866667
250_fos_9,F2_250,Fosmidomycin,235.5
250_fos_10,F2_250,Fosmidomycin,222.4166667
250_fos_11,F2_250,Fosmidomycin,971.3066667
250_fos_12,F2_250,Fosmidomycin,320.28
250_cont_1,F2_250,Control,1700.529069
250_cont_2,F2_250,Control,18985.55011
250_cont_3,F2_250,Control,22078.12624
250_cont_4,F2_250,Control,20308.55076
250_cont_5,F2_250,Control,30730.04391
250_cont_6,F2_250,Control,24078.23006
250_cont_7,F2_250,Control,29076.38399
250_cont_8,F2_250,Control,22122.63224
250_cont_9,F2_250,Control,27976.61017
250_cont_10,F2_250,Control,36742.44381
250_cont_11,F2_250,Control,39235.23419
250_cont_12,F2_250,Control,23079.73843
