"diff"	"lwr"	"upr"	"p adj"
"PI127826-CV"	34.9962418818143	24.6153724912364	45.3771112723921	0
"F1-CV"	1.9907649391779	-8.97421713414823	12.955747012504	0.999661622793865
"F2-151-CV"	3.67414698409998	-8.44809680596534	15.7963907741653	0.98772492992089
"F2-411-CV"	0.612806574480947	-12.0044247930283	13.2300379419902	0.999999988307151
"F2-445-CV"	0.161037297314278	-12.456194070195	12.7782686648235	1
"F2-28-CV"	15.5762626556324	4.61128058230632	26.5412447289586	0.000676502980405891
"F2-73-CV"	13.4501192261	2.95194815303524	23.9482902991647	0.00322481198405622
"F2-127-CV"	21.0623202301476	9.633359180612	32.4912812796832	3.45436063409199e-06
"F1-PI127826"	-33.0054769426364	-42.0079480848741	-24.0030058003987	0
"F2-151-PI127826"	-31.3220948977143	-41.7029642882922	-20.9412255071364	0
"F2-411-PI127826"	-34.3834353073333	-45.3382599147708	-23.4286106998958	0
"F2-445-PI127826"	-34.8352045845	-45.7900291919375	-23.8803799770625	0
"F2-28-PI127826"	-19.4199792261818	-28.4224503684195	-10.4175080839441	4.86365097085439e-08
"F2-73-PI127826"	-21.5461226557143	-29.9737706477576	-13.1184746636709	9.93430893103664e-11
"F2-127-PI127826"	-13.9339216516667	-23.496076506628	-4.37176679670528	0.000440757392212276
"F2-151-F1"	1.68338204492209	-9.28160002840404	12.6483641182482	0.999903820464309
"F2-411-F1"	-1.37795836469695	-12.887804790425	10.1318880610311	0.999985707437551
"F2-445-F1"	-1.82972764186362	-13.3395740675917	9.68011878386443	0.999874800353456
"F2-28-F1"	13.5854977164545	3.91529248435377	23.2557029485553	0.000810734604748675
"F2-73-F1"	11.4593542869221	2.32186922581697	20.5968393480272	0.00430883248902714
"F2-127-F1"	19.0715552909697	8.87826396606449	29.2648466158749	2.38042412559203e-06
"F2-411-F2-151"	-3.06134040961904	-15.6785717771283	9.55589095789019	0.997257046860135
"F2-445-F2-151"	-3.51310968678571	-16.1303410542949	9.10412168072352	0.992971052914744
"F2-28-F2-151"	11.9021156715325	0.937133598206337	22.8670977448586	0.0232615519652983
"F2-73-F2-151"	9.77597224199999	-0.722198831064743	20.2741433150647	0.0879761001625217
"F2-127-F2-151"	17.3881732460476	5.95921219651201	28.8171342955832	0.000204782697052597
"F2-445-F2-411"	-0.451769277166669	-13.5452890582164	12.6417505038831	0.999999999233427
"F2-28-F2-411"	14.9634560811515	3.45360965542345	26.4733025068796	0.00262785822245204
"F2-73-F2-411"	12.837312651619	1.77126869929286	23.9033566039452	0.0113315124164548
"F2-127-F2-411"	20.4495136556667	8.49682008696494	32.4022072243684	1.92818656320481e-05
"F2-28-F2-445"	15.4152253583182	3.90537893259012	26.9250717840462	0.00170458485172653
"F2-73-F2-445"	13.2890819287857	2.22303797645953	24.3551258811119	0.00750541061917021
"F2-127-F2-445"	20.9012829328333	8.94858936413161	32.8539765015351	1.18492214878918e-05
"F2-73-F2-28"	-2.12614342953248	-11.2636284906376	7.01134163157263	0.997955475389251
"F2-127-F2-28"	5.48605757451516	-4.70723375039006	15.6793488994204	0.733849275846784
"F2-127-F2-73"	7.61220100404764	-2.07717214623189	17.3015741543272	0.244832280121962
