"sample"	"genotype"	"phenotype"	"treatment"	"day"	"metabolite"	"level"
"411-C-1-d14"	"411"	"lazy"	"control"	"14"	"total_MVA_terpenes"	0.07
"411-C-2-d14"	"411"	"lazy"	"control"	"14"	"total_MVA_terpenes"	0.08
"411-C-3-d14"	"411"	"lazy"	"control"	"14"	"total_MVA_terpenes"	0.07
"411-F-1-d14"	"411"	"lazy"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.08
"411-F-2-d14"	"411"	"lazy"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.03
"411-F-3-d14"	"411"	"lazy"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.02
"411-M-1-d14"	"411"	"lazy"	"mevastatin"	"14"	"total_MVA_terpenes"	0.11
"411-M-2-d14"	"411"	"lazy"	"mevastatin"	"14"	"total_MVA_terpenes"	0.13
"411-M-3-d14"	"411"	"lazy"	"mevastatin"	"14"	"total_MVA_terpenes"	0.07
"CV-C-1-d14"	"CV"	"lazy"	"control"	"14"	"total_MVA_terpenes"	0
"CV-C-2-d14"	"CV"	"lazy"	"control"	"14"	"total_MVA_terpenes"	0.07
"CV-C-3-d14"	"CV"	"lazy"	"control"	"14"	"total_MVA_terpenes"	0.03
"CV-F-1-d14"	"CV"	"lazy"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.06
"CV-F-2-d14"	"CV"	"lazy"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.04
"CV-F-3-d14"	"CV"	"lazy"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.02
"CV-M-1-d14"	"CV"	"lazy"	"mevastatin"	"14"	"total_MVA_terpenes"	0.02
"CV-M-2-d14"	"CV"	"lazy"	"mevastatin"	"14"	"total_MVA_terpenes"	0.05
"PI-C-1-d14"	"PI127826"	"active"	"control"	"14"	"total_MVA_terpenes"	3.4
"PI-C-2-d14"	"PI127826"	"active"	"control"	"14"	"total_MVA_terpenes"	8.45
"PI-C-3-d14"	"PI127826"	"active"	"control"	"14"	"total_MVA_terpenes"	3.78
"PI-F-1-d14"	"PI127826"	"active"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.07
"PI-F-2-d14"	"PI127826"	"active"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.06
"PI-M-1-d14"	"PI127826"	"active"	"mevastatin"	"14"	"total_MVA_terpenes"	3.22
"PI-M-2-d14"	"PI127826"	"active"	"mevastatin"	"14"	"total_MVA_terpenes"	3.68
"PI-M-3-d14"	"PI127826"	"active"	"mevastatin"	"14"	"total_MVA_terpenes"	2.83
"73_Control_14days_1"	"73"	"active"	"control"	"14"	"total_MVA_terpenes"	0.992055333
"73_Control_14days_2"	"73"	"active"	"control"	"14"	"total_MVA_terpenes"	1.626463964
"73_Control_14days_3"	"73"	"active"	"control"	"14"	"total_MVA_terpenes"	1.465184091
"73_Fos_14days_1"	"73"	"active"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0
"73_Fos_14days_2"	"73"	"active"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0
"73_Fos_14days_3"	"73"	"active"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0
"73_Mev_14days_1"	"73"	"active"	"mevastatin"	"14"	"total_MVA_terpenes"	1.194384696
"73_Mev_14days_2"	"73"	"active"	"mevastatin"	"14"	"total_MVA_terpenes"	1.054142784
"73_Mev_14days_3"	"73"	"active"	"mevastatin"	"14"	"total_MVA_terpenes"	1.271160872
"411-C-1-d14"	"411"	"lazy"	"control"	"14"	"total_MEP_terpenes"	0.21
"411-C-2-d14"	"411"	"lazy"	"control"	"14"	"total_MEP_terpenes"	0.12
"411-C-3-d14"	"411"	"lazy"	"control"	"14"	"total_MEP_terpenes"	0.16
"411-F-1-d14"	"411"	"lazy"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.05
"411-F-2-d14"	"411"	"lazy"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.07
"411-F-3-d14"	"411"	"lazy"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.06
"411-M-1-d14"	"411"	"lazy"	"mevastatin"	"14"	"total_MEP_terpenes"	0.2
"411-M-2-d14"	"411"	"lazy"	"mevastatin"	"14"	"total_MEP_terpenes"	0.22
"411-M-3-d14"	"411"	"lazy"	"mevastatin"	"14"	"total_MEP_terpenes"	0.09
"CV-C-1-d14"	"CV"	"lazy"	"control"	"14"	"total_MEP_terpenes"	0.1
"CV-C-2-d14"	"CV"	"lazy"	"control"	"14"	"total_MEP_terpenes"	0.15
"CV-C-3-d14"	"CV"	"lazy"	"control"	"14"	"total_MEP_terpenes"	0.15
"CV-F-1-d14"	"CV"	"lazy"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.11
"CV-F-2-d14"	"CV"	"lazy"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.09
"CV-F-3-d14"	"CV"	"lazy"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.05
"CV-M-1-d14"	"CV"	"lazy"	"mevastatin"	"14"	"total_MEP_terpenes"	0.1
"CV-M-2-d14"	"CV"	"lazy"	"mevastatin"	"14"	"total_MEP_terpenes"	0.15
"PI-C-1-d14"	"PI127826"	"active"	"control"	"14"	"total_MEP_terpenes"	4.43
"PI-C-2-d14"	"PI127826"	"active"	"control"	"14"	"total_MEP_terpenes"	11.59
"PI-C-3-d14"	"PI127826"	"active"	"control"	"14"	"total_MEP_terpenes"	5.35
"PI-F-1-d14"	"PI127826"	"active"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.2
"PI-F-2-d14"	"PI127826"	"active"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.08
"PI-M-1-d14"	"PI127826"	"active"	"mevastatin"	"14"	"total_MEP_terpenes"	4.59
"PI-M-2-d14"	"PI127826"	"active"	"mevastatin"	"14"	"total_MEP_terpenes"	5.63
"PI-M-3-d14"	"PI127826"	"active"	"mevastatin"	"14"	"total_MEP_terpenes"	3.88
"73_Control_14days_1"	"73"	"active"	"control"	"14"	"total_MEP_terpenes"	4.68878892
"73_Control_14days_2"	"73"	"active"	"control"	"14"	"total_MEP_terpenes"	6.052077467
"73_Control_14days_3"	"73"	"active"	"control"	"14"	"total_MEP_terpenes"	5.623609286
"73_Fos_14days_1"	"73"	"active"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.246970459
"73_Fos_14days_2"	"73"	"active"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.024237193
"73_Fos_14days_3"	"73"	"active"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.07620335
"73_Mev_14days_1"	"73"	"active"	"mevastatin"	"14"	"total_MEP_terpenes"	3.653495087
"73_Mev_14days_2"	"73"	"active"	"mevastatin"	"14"	"total_MEP_terpenes"	3.948555213
"73_Mev_14days_3"	"73"	"active"	"mevastatin"	"14"	"total_MEP_terpenes"	4.889705593
