sample,genotype,phenotype,treatment,day,B_pinene,carene,A_phellandrene,A_terpinene,B_phellandreneD_limonene,trans_B_ocimene,Terpinolene,Linalool,Geraniol,TMA,B_caryophyllene,RF_candidate,A_humulene,zingiberene,R-curcumene ,Cuparene,Nerolidol,Zingiberenol,epoxy_zingiberenol,Total_Monoterpenes,Total_sesquiterpenes,Total_zingiberene_and_derivatives,total_MVA_terpenes,total_MEP_terpenes
411-F-1,411,lazy,fosmidomycin,7,-100,0,-33.33333333,0,-100,0,-100,0,-100,-83.14150305,-100,-66.66666667,-90.90909091,-89.09090909,0,0,-100,-100,-100,-47.05882353,-92.10526316,-88,-97.95918367,-83.24225865
411-F-2,411,lazy,fosmidomycin,7,-7.692307692,0,-33.33333333,0,-25,0,0,0,-100,-91.46919431,-40,-33.33333333,-63.63636364,-61.81818182,0,0,-9.174311927,0,-100,-29.41176471,-68.42105263,-64,-22.44897959,-87.43169399
411-F-3,411,lazy,fosmidomycin,7,-53.84615385,0,-33.33333333,0,-25,0,0,0,-100,-95.32836831,-100,-66.66666667,-81.81818182,-75.45454545,0,0,-100,-100,-75,-11.76470588,-76.31578947,-76,-95.91836735,-92.34972678
411-M-1,411,lazy,mevastatin,7,-30.76923077,0,-66.66666667,0,-25,0,-100,0,-100,-84.76641842,-40,-66.66666667,-63.63636364,-70,0,0,-53.21100917,-100,-75,-47.05882353,-68.42105263,-71.2,-55.10204082,-82.69581056
411-M-2,411,lazy,mevastatin,7,-30.76923077,0,-33.33333333,0,-25,0,0,0,-100,-84.76641842,-40,-66.66666667,-63.63636364,-59.09090909,0,0,-50.4587156,-100,-25,-29.41176471,-68.42105263,-59.2,-53.06122449,-81.23861566
411-M-3,411,lazy,mevastatin,7,-30.76923077,-50,-33.33333333,0,-25,0,0,0,-100,-59.37711578,-40,-33.33333333,-54.54545455,-53.63636364,0,0,-14.67889908,-100,-75,-29.41176471,-52.63157895,-56.8,-24.48979592,-58.46994536
CV-F-1,CV,lazy,fosmidomycin,7,140.9090909,12.19512195,38.46153846,0,57.57575758,100,0,0,0,0,188.8888889,175,200,0,0,0,0,0,0,52.94117647,194.1176471,0,194.1176471,72.78911565
CV-F-2,CV,lazy,fosmidomycin,7,-63.63636364,-70.73170732,-7.692307692,-100,-81.81818182,0,0,0,0,0,11.11111111,-100,25,0,0,0,0,0,0,-56.8627451,29.41176471,100,17.64705882,-63.26530612
CV-F-3,CV,lazy,fosmidomycin,7,-54.54545455,173.1707317,84.61538462,100,45.45454545,0,0,0,0,0,11.11111111,0,0,0,0,0,0,300,0,60.78431373,5.882352941,300,5.882352941,55.10204082
CV-M-1,CV,lazy,mevastatin,7,-68.18181818,-60.97560976,-53.84615385,-100,-63.63636364,0,0,0,0,0,-77.77777778,-100,-50,0,0,0,0,-100,0,-52.94117647,-64.70588235,-100,-64.70588235,-64.62585034
CV-M-2,CV,lazy,mevastatin,7,-22.72727273,-21.95121951,-38.46153846,0,-15.15151515,0,0,0,0,0,-33.33333333,0,-25,0,0,0,0,-100,0,-17.64705882,-29.41176471,-100,-29.41176471,-21.08843537
CV-M-3,CV,lazy,mevastatin,7,-59.09090909,-65.85365854,-69.23076923,-100,-69.6969697,-100,0,0,0,0,-55.55555556,-25,-50,0,0,0,0,0,0,-68.62745098,-41.17647059,0,-52.94117647,-61.9047619
PI127826-F-1,PI127826,active,fosmidomycin,7,0,-100,-33.33333333,-100,-42.85714286,0,0,0,0,-64.11311054,-93.22033898,-25.92592593,-83.04093567,-95.11025887,0,0,174,-98.54014599,-84.74576271,-41.17647059,-84.53865337,-94.78632479,-32.93413174,-68.02228412
PI127826-F-2,PI127826,active,fosmidomycin,7,0,-100,0,-100,14.28571429,0,0,0,0,-21.09254499,-81.3559322,-18.51851852,-54.97076023,-69.70278044,0,0,229,-91.24087591,-44.06779661,-5.882352941,-58.60349127,-69.57264957,-1.397205589,-27.43175487
PI127826-M-1,PI127826,active,mevastatin,7,0,-100,33.33333333,100,71.42857143,0,200,0,0,117.6606684,-37.28813559,100,18.12865497,13.03930968,0,0,-92,-59.12408759,28.81355932,76.47058824,9.975062344,9.658119658,-10.37924152,103.5431755
PI127826-M-2,PI127826,active,mevastatin,7,0,0,100,-100,71.42857143,0,100,0,0,92.48071979,-47.45762712,18.51851852,-67.25146199,-29.05081496,0,0,366,-64.96350365,-10.16949153,76.47058824,-64.58852868,-30.17094017,21.55688623,76.33426184
PI127826-M-3,PI127826,active,mevastatin,7,0,-100,0,-100,42.85714286,0,0,0,0,-1.722365039,-72.88135593,-25.92592593,-60.81871345,-55.99232982,0,0,89,-81.02189781,-57.62711864,17.64705882,-62.84289277,-57.52136752,-32.33532934,-9.058495822
411-F-1-d14,411,lazy,fosmidomycin,14,0,-100,200,0,0,0,0,0,50,-100,0,200,-4.545454545,-100,0,0,0,-100,-100,33.33333333,-52.94117647,-100,9.090909091,-69.3877551
411-F-2-d14,411,lazy,fosmidomycin,14,0,-100,200,0,0,0,0,0,-100,-100,0,200,-59.09090909,-57.14285714,0,0,0,-100,-100,-33.33333333,-52.94117647,-60,-59.09090909,-57.14285714
411-F-3-d14,411,lazy,fosmidomycin,14,0,50,200,0,0,0,0,0,50,-100,0,-100,-72.72727273,-78.57142857,0,0,0,-100,-100,33.33333333,-76.47058824,-80,-72.72727273,-63.26530612
411-M-1-d14,411,lazy,mevastatin,14,0,50,200,0,0,0,0,0,-100,-66.66666667,0,200,36.36363636,39.28571429,0,0,0,200,-100,33.33333333,41.17647059,40,50,22.44897959
411-M-2-d14,411,lazy,mevastatin,14,0,50,200,0,0,0,0,0,-100,-66.66666667,0,200,77.27272727,82.14285714,0,0,0,-100,-100,33.33333333,82.35294118,70,77.27272727,34.69387755
411-M-3-d14,411,lazy,mevastatin,14,0,50,-100,0,-100,0,0,0,-100,-66.66666667,0,-100,-4.545454545,-25,0,0,0,-100,-100,-66.66666667,-11.76470588,-30,-4.545454545,-44.89795918
CV-F-1-d14,CV,lazy,fosmidomycin,14,0,200,0,-100,-75,-100,50,-100,0,0,50,20,125,80,0,0,0,-100,-100,-59.09090909,57.89473684,28.57142857,80,-17.5
CV-F-2-d14,CV,lazy,fosmidomycin,14,0,200,0,-100,-75,-100,-100,-100,0,0,0,-10,50,80,0,0,0,-100,-100,-45.45454545,26.31578947,28.57142857,20,-32.5
CV-F-3-d14,CV,lazy,fosmidomycin,14,0,200,-100,-100,-100,-100,-100,-100,0,0,-50,-40,-25,-40,0,0,0,200,-100,-72.72727273,-52.63157895,-14.28571429,-40,-62.5
CV-M-1-d14,CV,lazy,mevastatin,14,0,200,0,-100,0,-100,-100,-100,0,0,-50,-40,-25,-40,0,0,0,-100,50,-4.545454545,-36.84210526,-14.28571429,-40,-25
CV-M-2-d14,CV,lazy,mevastatin,14,0,500,0,-100,0,-100,50,-100,0,0,50,-10,50,80,0,0,0,200,-100,-4.545454545,26.31578947,71.42857143,50,12.5
PI-F-1-d14,PI127826,active,fosmidomycin,14,0,0,200,-100,-72.72727273,-100,-25,0,0,-94.91525424,-95.98214286,-82.85714286,-99.10380881,-98.03386128,0,200,0,-100,-100,-47.05882353,-98.22263798,-98.1688708,-98.65642994,-97.19232569
PI-F-2-d14,PI127826,active,fosmidomycin,14,0,0,-100,-100,-72.72727273,-100,-25,0,0,-100,-100,-82.85714286,-98.65571322,-99.34462043,0,-100,0,-100,-100,-64.70588235,-98.97100094,-99.3896236,-98.84836852,-98.87693028
PI-M-1-d14,PI127826,active,mevastatin,14,0,0,500,-100,-18.18181818,-100,-25,0,0,-3.389830508,-71.875,-57.14285714,-32.56161314,-34.62588749,0,-100,0,-90,-46.66666667,-11.76470588,-34.0505145,-37.28382503,-38.19577735,-35.56387459
PI-M-2-d14,PI127826,active,mevastatin,14,0,0,200,200,36.36363636,-100,-25,0,0,22.03389831,-62.5,-14.28571429,-23.82374907,-23.32058984,0,-100,0,-76.66666667,33.33333333,58.82352941,-23.57343312,-24.61851475,-29.36660269,-20.96396818
PI-M-3-d14,PI127826,active,mevastatin,14,0,0,200,-100,-72.72727273,-100,-25,0,0,-94.91525424,-90.625,-65.71428571,-38.16280807,-38.39432004,0,200,0,-90,-100,-47.05882353,-38.63423761,-42.16683622,-45.68138196,-45.53111839
73_Fos_14days_1,73,active,fosmidomycin,14,0,0,-2.550699231,0,-100,0,0,0,0,-92.50837157,-100,-100,-100,-95.67786484,-95.36091173,0,-100,-100,-100,-47.42125537,-96.86948817,-95.87253075,-100,-95.47244048
