target_id	annotation	localisation
Solyc04g039670	alpha chain of ATP-dependent citrate lyase complex	cytosol
Solyc05g005160	alpha chain of ATP-dependent citrate lyase complex	cytosol
Solyc01g101040	alpha chain of ATP-dependent citrate lyase complex	cytosol
Solyc01g059880	beta chain of ATP-dependent citrate lyase complex	cytosol
Solyc12g099260	beta chain of ATP-dependent citrate lyase complex	cytosol
Solyc09g090140	cytosolic NAD-dependent malate dehydrogenase	cytosol
Solyc01g090710	cytosolic NAD-dependent malate dehydrogenase	cytosol
Solyc05g050120	cytosolic NADP-dependent malic enzyme	cytosol
Solyc08g066360	cytosolic NADP-dependent malic enzyme	cytosol
Solyc12g008430	cytosolic NADP-dependent malic enzyme	cytosol
Solyc12g044600	cytosolic NADP-dependent malic enzyme	cytosol
Solyc03g120990	cytosolic NADP-dependent malic enzyme	cytosol
Solyc01g005620	mitochondrial dicarboxylate transporter	mitochondria
Solyc08g008420	mitochondrial pyruvate transporter	mitochondria
Solyc08g082755	mitochondrial pyruvate transporter	mitochondria
Solyc06g071890	mitochondrial pyruvate transporter	mitochondria
Solyc10g051120	mitochondrial pyruvate transporter	mitochondria
Solyc11g012080	mitochondrial pyruvate transporter	mitochondria
Solyc04g005080	subunit alpha of pyruvate dehydrogenase E1 component subcomplex	mitochondria
Solyc05g006520	subunit alpha of pyruvate dehydrogenase E1 component subcomplex	mitochondria
Solyc06g072580	subunit beta of pyruvate dehydrogenase E1 component subcomplex	mitochondria
Solyc05g024160	subunit beta of pyruvate dehydrogenase E1 component subcomplex	mitochondria
Solyc03g097680	subunit beta of pyruvate dehydrogenase E1 component subcomplex	mitochondria
Solyc07g006790	component E2 of mitochondrial pyruvate dehydrogenase complex	mitochondria
Solyc11g007720	component E2 of mitochondrial pyruvate dehydrogenase complex	mitochondria
Solyc05g053300	component E3 of mitochondrial pyruvate dehydrogenase complex	mitochondria
Solyc12g099100	component E3 of mitochondrial pyruvate dehydrogenase complex	mitochondria
Solyc12g098930	pyruvate dehydrogenase kinase	mitochondria
Solyc01g057210	pyruvate dehydrogenase kinase	mitochondria
