"Sequence_ID"	"Functional.annotation"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Solyc02g071030"	"Chlorophyll a/b binding protein "	158.881621442481	-10.7713138515596	3.02640409810304	-3.55911289517191	0.000372109562420391	0.0323404874520579
"Solyc11g066430"	"Histone H2B "	39.942794263347	-8.77971622705616	1.78085022044418	-4.93006998919107	8.22001621005934e-07	0.000519869973976778
"Solyc01g106600"	"Pathogenesis-related protein 1 "	324.449267503557	-8.41676518719248	2.5333537979324	-3.32238047210849	NA	NA
"Solyc12g006975"	NA	143.628235353348	-8.25811231792463	2.96129983802629	-2.78867820538858	0.00529236218803949	0.136389746418404
"Solyc11g006635"	NA	23.3586270444745	-7.42274481313906	1.78402138559346	-4.16068152157821	3.17299305080717e-05	0.00673812014845937
"Solyc03g083660"	"Pectinesterase "	12.6194385406114	-7.1184603066422	1.61624933526002	-4.40430826565321	1.06121951038689e-05	0.00310234430893622
"Solyc08g082030"	"Unknown Protein "	98.9559761767392	-7.10520607136997	1.48347171565093	-4.78957973812956	1.67130975822134e-06	0.000917589820916157
"Solyc02g092860"	"Cytochrome P450"	5574.20565963337	-6.98351790333781	1.31658624381331	-5.30426163584318	1.13129959399219e-07	0.000134029230846128
"Solyc12g009350"	"Kinase family protein "	9.76305655001981	-6.74650930521664	1.89489583424812	-3.56035893017498	0.000370348228714105	0.0323121652261803
"Solyc11g008860"	"Laccase-2 "	12.1937838349036	-6.48014174064858	1.51220531990601	-4.28522612329611	1.8255341388711e-05	0.00451568939186688
"Solyc06g054520"	"3-hydroxyisobutyryl-CoA hydrolase "	117.484421274974	-6.34818042892798	1.48513467150268	-4.27448133205644	1.91582755527102e-05	0.0046371266956076
"Solyc08g006850"	"Patatin-like phospholipase family protein "	607.715090900322	-6.20833450712045	2.2048756865967	-2.8157299501557	NA	NA
"Solyc01g099060"	"GDSL esterase/lipase At1g28590 "	137.100744840524	-6.04783335547264	1.70294785622348	-3.55139080352381	NA	NA
"Solyc10g074945"	NA	25.9204787886349	-6.01067689239283	1.20982829779269	-4.96820656564177	6.75749583672418e-07	0.00046888551049038
"Solyc02g067640"	"Polygalacturonase 1 "	594.259455108379	-5.95694296290391	2.88923272734128	-2.06177332359986	NA	NA
"Solyc07g055790"	"Os06g0207500 protein "	23.6133918119372	-5.8056081945241	1.89775331190022	-3.05920066539679	0.00221928444110621	0.0920001708458579
"Solyc11g006630"	"Cc-nbs-lrr, resistance protein"	97.4243458423513	-5.78918234716112	1.11774944699347	-5.17932025171911	2.22695874737838e-07	0.000227858370015852
"Solyc08g066240"	"Decarboxylase family protein "	63.9283649389308	-5.40376896616858	1.7558217669592	-3.07762955663036	NA	NA
"Solyc08g076980"	"Acetylornithine deacetylase or succinyl-diaminopimelate desuccinylase "	99.2123364451573	-5.36862381564006	2.69404323060442	-1.99277567436644	NA	NA
"Solyc11g042855"	NA	5.64316623979387	-5.3466140844121	1.70397353359703	-3.13773305687769	0.00170259859329342	NA
"Solyc01g089920"	"Bax inhibitor "	22.1030811960642	-5.32661521826317	1.48892564884381	-3.57748905890594	0.000346910735467892	0.031235842621529
"Solyc02g067630"	"Polygalacturonase 1 "	810.139641501908	-5.25955844427565	2.88714729236623	-1.82171462404505	NA	NA
"Solyc08g074650"	"Polyphenol oxidase "	23.2901422630818	-4.97499715121586	1.94843308456132	-2.55333231129975	0.0106697642560671	0.183902292039871
"Solyc10g006870"	"Pto-like, Serine/threonine kinase protein, resistance protein"	148.937377197309	-4.93621196677056	1.27174824082936	-3.88143801445439	0.000103840620781162	0.0147006425618135
"Solyc08g068720"	"Tyramine hydroxycinnamoyl transferase "	79.9732464711789	-4.9280484613091	2.89990204494615	-1.69938445676037	NA	NA
"Solyc03g083710"	"Pectinesterase/pectinesterase inhibitor U1 "	343.034234364417	-4.8049037556109	1.29424753141467	-3.71250756828483	0.000205215922271427	0.0219970147848115
"Solyc03g031870"	"Acyl-CoA synthetase/AMP-acid ligase "	39.038119594742	-4.76731356260666	2.1964473004856	-2.17046571595534	NA	NA
"Solyc12g096740"	"Polygalacturonase 5 "	108.114063597129	-4.7295719174676	2.89483151871741	-1.63379868116231	NA	NA
"Solyc09g089540"	"Proteinase inhibitor I "	105.0523929691	-4.71715955674986	1.72741925084501	-2.73075546335515	NA	NA
"Solyc03g098720"	"Kunitz trypsin inhibitor "	93.0316353298714	-4.69685597172885	1.31604732492851	-3.56891114989653	0.000358467959395541	0.0316435833960535
"Solyc04g005250"	"DNA "	179.85250932745	-4.63185720475359	1.73739855581405	-2.66597274946126	0.00767659151757441	0.160000069500556
"Solyc02g076910"	"Cathepsin B-like cysteine proteinase "	1154.16710044624	-4.59966326258225	1.33696608648265	-3.44037392502846	NA	NA
"Solyc01g049820"	"Unknown Protein "	33.8985113379417	-4.58799210762819	1.32803509222052	-3.45472204349428	0.000550860410697757	0.0418128305129579
"Solyc12g088090"	"MADS-box transcription factor-like protein "	50.5054370211256	-4.57764521135782	1.31870955270457	-3.47130662849104	0.000517932211716675	0.040132138673289
"Solyc04g080690"	"SEC14-like protein "	38.1191458689878	-4.50738111893161	1.13867089336633	-3.95845818593477	7.54351437471104e-05	0.0121288934696247
"Solyc04g072065"	NA	86.8742789006606	-4.36782228386754	1.42520201864869	-3.06470396948279	0.00217885544902748	0.0917121807695399
"Solyc04g074330"	"UDP-glucuronosyltransferase "	21.8912453120796	-4.2398437495066	1.28217791944519	-3.30675149306988	0.000943845833962873	0.0574215397905521
"Solyc04g011767"	NA	58.4425548894417	-4.23878992302026	0.854867353679857	-4.95841829118165	7.10694171738996e-07	0.00047052134723073
"Solyc02g087070"	"Peroxidase family protein "	472.876572685552	-4.23755120490719	1.37214843991826	-3.08826004652939	0.00201332209922243	0.0880665418840662
"Solyc06g059700"	"Acyl- "	941.188282987848	-4.0827584896134	1.75531177390272	-2.32594491207445	NA	NA
"Solyc01g067520"	"Cellulose synthase D-like protein "	20.1710166747608	-4.05683217077039	1.19419798729118	-3.39711857995389	0.000680994501391563	0.0467353238607442
"Solyc06g054670"	"Stearoyl-acyl carrier protein desaturase "	643.751364276708	-4.00642501243734	1.77843393435464	-2.25278259430603	NA	NA
"Solyc01g095960"	"Diacylglycerol O-acyltransferase "	960.827510596132	-3.993047853688	2.70606172007817	-1.47559378415532	NA	NA
"Solyc11g007460"	"UDP-glucosyltransferase "	29.9915255711208	-3.96465823787791	1.45608510857218	-2.72282040008335	NA	NA
"Solyc11g050938"	NA	4.444050600859	-3.85483768313029	1.60504661393108	-2.40169827447505	0.016319162570194	NA
"Solyc02g089075"	NA	1584.84128593774	-3.84686656033817	1.318501118385	-2.91760583794581	0.00352729919798345	0.114834660210986
"Solyc09g042290"	"Pentatricopeptide repeat-containing protein "	25.871667662126	-3.84069917897629	1.41216703832792	-2.71972017101029	0.00653371820466471	0.147680724916399
"Solyc02g089920"	"Receptor-like protein kinase At3g21340 "	26.9172234592527	-3.83297463029031	1.68586514662378	-2.27359503692598	0.0229903461472524	0.260056629032489
"Solyc06g035600"	"Pentatricopeptide repeat-containing protein "	11.9882808096246	-3.82024826179783	1.23343710112906	-3.09723800127373	0.00195332978072366	0.0868961528934576
"Solyc08g077870"	"Unknown Protein "	77.7924345817254	-3.804753376212	1.32745165740898	-2.86620861481194	0.0041542039270929	0.122006797807384
