"Sequence_ID"	"Functional.annotation"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CV"	"F1"	"F1_hab"	"F2_127"	"F2_151"	"F2_28"	"F2_411"	"F2_445"	"F2_73"	"PI127826"
"Solyc01g008890"	"Ethylene responsive transcription factor 2a "	507.04819595637	0.950313008262716	0.165817436255332	5.73108009461313	9.97931275668696e-09	2.43551373329209e-05	849	820	293	397	552	331	637	565	373	344
"Solyc10g086250"	"MYB transcription factor "	176.461641887321	2.14321540136476	0.511722440356859	4.18823806098898	2.81128537496486e-05	0.00620412095984893	726	117	42	80	157	72	148	378	44	95
"Solyc01g008910"	"Scarecrow transcription factor family protein "	41.4914094450316	2.95489668992962	0.822446440225329	3.59281352001482	0.000327126699677318	0.0303029712334832	104	176	5	12	30	21	47	34	9	0
"Solyc07g052700"	"MADS-box transcription factor 1 "	25.8722625471432	6.45986896818339	1.80145572963077	3.58591602442954	0.000335897044605342	0.0306448784437747	118	68	0	0	77	3	0	3	0	0
"Solyc10g079150"	"Nuclear transcription factor Y subunit A-1 "	174.409947096302	3.17116302298535	0.90280844950151	3.5125535485809	0.000443822558815247	0.0360665913318817	15	207	14	70	734	39	447	51	33	15
"Solyc12g088090"	"MADS-box transcription factor-like protein "	50.5054370211256	-4.57764521135782	1.31870955270457	-3.47130662849104	0.000517932211716675	0.040132138673289	8	7	277	2	6	11	0	0	17	198
"Solyc04g078840"	"BZIP transcription factor "	1594.07778315061	2.04859877230039	0.597716330295288	3.42737627946074	0.000609443943043596	0.043551057644163	901	1336	401	807	6184	657	2535	956	617	639
"Solyc07g040680"	"Heat stress transcription factor A3 "	294.891000818171	1.31738290546822	0.390113176510817	3.37692491510011	0.000733010566725016	0.0488167688076335	604	674	117	143	395	152	371	137	214	234
"Solyc09g075420"	"Ethylene responsive transcription factor 2b "	491.482847926572	0.931522036414981	0.277654292561754	3.35497077254009	0.000793733701824518	0.0510484160801997	842	712	242	488	545	305	494	696	380	266
"Solyc01g109880"	"BZIP transcription factor "	439.682670965251	1.9792254001845	0.591224946487926	3.34766895737699	0.00081494294756439	0.0519407046091491	667	299	50	85	899	484	991	607	145	153
"Solyc07g065500"	"Nuclear transcription factor Y subunit B-3 "	964.520065884957	-0.905958417057233	0.286407746847784	-3.1631770684566	0.0015605738159951	0.0773755872203737	508	1092	1705	1003	524	1395	756	529	910	1366
"Solyc10g049780"	"BHLH transcription factor "	67.5162949762011	-2.54062492846054	0.810685346799533	-3.13392235161343	0.00172486492740084	0.0813977138695866	4	9	145	23	15	43	53	17	79	324
"Solyc04g049910"	"Nuclear transcription factor Y subunit B-3 "	549.839444651466	-0.680147456822034	0.219367850128463	-3.10048831870184	0.00193201834253249	0.0865530335992045	464	554	855	513	341	527	446	353	586	976
"Solyc08g082210"	"Ethylene responsive transcription factor 2b "	1259.71827050787	2.12570812378703	0.685756958907089	3.0997981080277	0.00193652592838458	0.0865530335992045	499	476	622	122	4369	556	1936	2184	402	728
"Solyc04g054700"	"General transcription factor IIH subunit 2 "	647.357436254708	0.841115174224519	0.275067076834152	3.05785477457071	0.00222927584155589	0.0922444838114395	688	728	396	393	858	731	831	1021	424	403
"Solyc03g098320"	"MYB transcription factor "	387.812312630498	2.72939946052995	0.906166079184615	3.01203004970779	0.00259506907196388	0.0980117530367567	1466	1613	27	276	65	15	367	208	33	157
"Solyc06g009710"	"Myb 12 transcription factor "	246.472557104935	2.50011108355012	0.862418256653308	2.89895426524483	0.00374409503508562	0.117767601417532	1541	72	40	49	354	94	220	110	171	9
"Solyc05g007690"	"MYB transcription factor "	15.8688616198893	1.9355464480354	0.674583671883271	2.86924591968233	0.00411451757193523	0.12170537522242	79	17	7	6	12	5	17	13	4	12
"Solyc06g065040"	"BHLH transcription factor "	422.293016177445	0.97934062657779	0.344276579488953	2.84463331206419	0.00444625756996359	0.126051962090529	463	781	160	428	448	258	529	609	350	214
"Solyc12g099370"	"GATA transcription factor 22 "	403.851412963783	1.05248647411561	0.374535401325876	2.81011212929339	0.00495242426141238	0.132397945515906	314	630	218	345	640	334	437	655	252	158
"Solyc02g088340"	"WRKY transcription factor-c "	513.066463302543	-1.21948583479699	0.435131580484401	-2.80256798056215	0.00506975306019302	0.134101223719089	526	287	1423	371	223	546	311	256	299	1042
"Solyc01g102300"	"BHLH transcription factor "	397.422737531514	1.75260574072868	0.628663713109897	2.78782710721257	0.00530628543521086	0.136389746418404	158	608	54	343	1055	160	517	576	237	98
"Solyc03g116100"	"MYB transcription factor "	3379.52751971522	1.19733629500442	0.431273593581568	2.77628009881381	0.00549848161777892	0.137370500794898	2670	2544	2213	1996	8388	1414	4929	3944	2551	2120
"Solyc11g065700"	"Nuclear transcription factor Y subunit A-1 "	865.860006663457	0.636070549632354	0.229187965429646	2.77532264157042	0.00551469688704687	0.137622867990493	938	1222	813	547	1153	528	911	1038	627	937
"Solyc08g081650"	"Ethylene-responsive transcription factor 4 "	163.342492859011	1.05996846688421	0.383416738111292	2.76453363018423	0.00570042307870844	0.140107339042257	274	241	63	117	165	179	232	218	122	47
"Solyc04g081000"	"MADS box transcription factor "	70.561162647082	-2.04317133036243	0.740298678842013	-2.75992837587984	0.00578140351674053	0.140662471171838	7	61	279	22	19	88	14	37	102	78
"Solyc09g005610"	"BZIP transcription factor "	76.9759993729392	3.03358380628617	1.10591751754818	2.74304707010303	0.00608719591744649	0.14376171623981	17	445	10	54	155	8	69	5	6	2
"Solyc04g005320"	"MADS-box transcription factor "	27.7348073327226	-2.40872194197517	0.904794902689399	-2.66217452686296	0.00776376120390741	0.161071211705028	8	10	62	22	2	9	24	2	14	143
"Solyc04g078420"	"MYB transcription factor "	2924.62427782994	0.941408254989784	0.355575418635816	2.64756281129204	0.0081074297104119	0.163275358595043	2230	3474	1498	2720	4197	1186	4594	4435	1842	2896
"Solyc06g075660"	"MYB transcription factor "	47.7074612594245	2.76673685917783	1.0474559582221	2.6413872941006	0.0082567273556436	0.164627233508945	6	177	3	15	123	22	75	25	20	0
"Solyc03g115450"	"Cys2/His2 zinc-finger transcription factor "	215.391314482048	-1.27744184552241	0.489010533207575	-2.61229924260172	0.00899354956856913	0.168985643396069	203	115	554	71	85	211	152	99	240	497
"Solyc07g053290"	"BHLH transcription factor "	574.527531323321	0.75207253021926	0.288555673312351	2.60633423556074	0.00915171094020491	0.169528953997359	894	1004	280	460	541	534	662	607	568	295
"Solyc08g080290"	"Ethylene-responsive transcription factor 1 "	1116.86430086563	-1.44073292320841	0.564022091556085	-2.5543909445702	0.0106373746268535	0.183649891225938	699	393	2418	319	632	810	850	456	1042	4038
"Solyc03g093540"	"Ethylene responsive transcription factor 1a "	222.866213132507	1.95069998904935	0.763679379194124	2.55434419495238	0.0106388031167758	0.183649891225938	35	303	45	164	282	71	142	936	120	49
"Solyc11g020670"	"TCP family transcription factor "	647.650276214218	1.68027159487077	0.668072246938219	2.51510462015369	0.0118997066032777	0.192568221164472	241	859	85	553	1625	229	879	1086	514	118
"Solyc04g054880"	"BZIP transcription factor "	188.792025484014	1.22245308956192	0.498797213000373	2.45080176412495	0.0142538429376343	0.209708499690292	263	312	114	126	295	236	236	220	58	32
"Solyc05g055480"	"NAC-domain transcription factor "	635.995323416014	0.69585635889021	0.286393326791216	2.429722670869	0.015110379940027	0.216771992650341	977	774	303	518	656	711	778	819	576	322
