target_id	CV	F1	F1_hab	F2_127	F2_151	F2_28	F2_411	F2_445	F2_73	PI127826
Solyc00g005000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g005040	78.1731	100.664	123	59.4216	37	55.1775	84.2254	54	47.1701	211
Solyc00g005050	1426	1574	1467	840	708	791	846	1011	875	1781
Solyc00g005060	0	0	0	0	0	0	0	0	0	0
Solyc00g005080	0	0	0	1	0	0	0	0	0	0
Solyc00g005084	0	0	0	0	0	0	0	0	0	0
Solyc00g005090	0	0	0	0	0	0	0	0	0	0
Solyc00g005092	0	54	68	87	40	65	64	83	35	88
Solyc00g005094	0	5.87785	22.8995	0	4.80181	1	0	0	4.81696	63
Solyc00g005096	50	0	0	1	0	0	1	0	0	0
Solyc00g005280	0	0	0	0	0	0	0	0	0	0
Solyc00g005283	0	0	0	0	0	0	0	0	0	0
Solyc00g005285	14	5	0	10	9	6	0	4	6	0
Solyc00g005287	0	0	0	0	0	0	0	0	0	0
Solyc00g005430	0	0	0	0	0	3	0	0	5	0
Solyc00g005440	0	0	0	2	0	0	0	0	0	0
Solyc00g005445	0	2	0	0	0	0	0	0	0	0
Solyc00g005450	0	0	0	0	0	0	0	0	0	0
Solyc00g005460	0	0	0	0	0	0	0	0	0	0
Solyc00g005470	0	0	0	0	0	0	0	0	0	0
Solyc00g005480	0	0	0	0	0	0	0	0	0	0
Solyc00g005840	1187	1266	1109	1061	394	981	1045	842	638	1877
Solyc00g005850	0	0	0	0	0	0	0	0	0	0
Solyc00g005890	1	1	10	10	8	5	1	6	7	0
Solyc00g005900	0	0	0	0	0	0	0	0	0	0
Solyc00g005903	0	0	0	0	0	0	0	0	0	0
Solyc00g005907	0	0	0	0	2.02348	0	0	2	0	0
Solyc00g006020	0	0	0	0	0	0	0	0	0	0
Solyc00g006090	0	0	0	0	0	0	0	0	0	0
Solyc00g006170	0	27	77	106	1	38	62	38	50	58
Solyc00g006480	0	0	0	0	0	0	0	0	0	0
Solyc00g006483	0	0	9	0	0	3	0	0	0	0
Solyc00g006487	0	2	11	1	1	23	2	0	1	1
Solyc00g006490	1116	1451	1871	1752	1537	1191	1420	1415	1252	1613
Solyc00g006500	0	0	0	0	0	0	0	0	0	0
Solyc00g006510	0	0	0	0	0	0	0	0	0	0
Solyc00g006520	0	0	0	0	0	0	0	0	0	0
Solyc00g006530	0	0	0	0	0	0	0	0	0	0
Solyc00g006540	0	0	0	0	0	0	0	0	0	0
Solyc00g006550	0	0	0	0	0	0	0	0	0	0
Solyc00g006560	0	0	0	0	0	0	0	0	0	0
Solyc00g006590	0	6	1	3	0	1	8	1	8	0
Solyc00g006650	0	0	0	0	0	0	0	0	0	0
Solyc00g006655	0	0	1	0	0	0	0	0	0	0
Solyc00g006660	0	0	0	0	0	0	0	0	0	0
Solyc00g006680	335	131.649	223	156	75	123	168	276	101	141
Solyc00g006683	0	0	0	0	0	0	0	0	0	0
Solyc00g006800	5922.81	4677.3	9527.84	3791.93	2277.76	4915.11	3978.5	3065.91	4088.1	10598.6
Solyc00g006805	26.1853	7.69711	1.16047	1.07366	33.2374	24.8903	40.5019	32.086	28.8961	7.3642
Solyc00g006810	883	710	716	463	508	824	623	492	789	716
Solyc00g006820	2505	1047	1495	689	1511	2089	2068	2254	1566	1539
Solyc00g006830	1364	778	870	1041	1062	1233	1264	1381	948	1222
Solyc00g006840	0	2	0	0	1	0	3	9	6	0
Solyc00g006850	0	0	0	0	0	0	0	0	0	0
Solyc00g006860	0	0	0	0	0	0	0	0	0	0
Solyc00g006867	31	5	0	0	53	0	16	73	8	0
Solyc00g006870	0	0	0	0	0	0	0	0	0	0
Solyc00g006880	0	0	0	0	0	0	0	0	0	0
Solyc00g006890	0	0	0	0	0	1	0	0	0	0
Solyc00g006900	0	0	0	0	0	0	1.83814	1.31335	0	0
Solyc00g006903	0	0	0	0	0	0	0	0	0	0
Solyc00g006907	0	0	0	0	0	0	0	0	0	0
Solyc00g007010	1012	981	1237	914	542	783	674	706	730	1808
Solyc00g007020	0	0	0	0	0	0	0	0	0	0
Solyc00g007030	0	0	0	0	0	0	0	0	0	0
Solyc00g007040	0	0	0	0	0	0	0	0	0	0
Solyc00g007050	0	0	0	0	0.896474	4	0	0.921238	2	0
Solyc00g007060	791	727	858	842	686	755	776	991	900	1101
Solyc00g007070	2326	2651	2102	1820	2203	1706	2126	1760	1831	2065
Solyc00g007080	41	18	28	8	12	53	22	12	25	9
Solyc00g007090	524	257	360	171	105	229	222	184	160	470
Solyc00g007100	939	691	1076	841.402	548	720	747	1029	600	2476
Solyc00g007110	144	102	114	131	84	98	80	86	48	193
Solyc00g007120	356	200	208	343	215	286	223	257	218	378
Solyc00g007130	13	37	11	41	74	40	46	69	50	15
Solyc00g007150	84	113	48	39	82	73.4984	80	101	53	47
Solyc00g007160	7	53.5616	118.645	83	93	35	88	22	40	94
Solyc00g007170	0	3	6	6	2	4	0	0	2	0
Solyc00g007180	0	0	0	0	0	0	0	0	0	0
