genotype,plant,surface,leafdisc,non_glandular,sum_glandular,type_VI,type_I_IV,date,person
Cultivar,i,abaxial,1,11.6,2.5,2.4,0.1,12/5/'17,Lissy
Cultivar,i,abaxial,2,4.9,0.1,0.1,0.0,12/5/'17,Lissy
Cultivar,K,abaxial,1,5.1,1.7,1.7,0.0,17/5/'17,Aleksandra
Cultivar,K,abaxial,2,44.3,2.1,2.1,0.0,17/5/'17,Aleksandra
Cultivar,C,abaxial,1,27.6,1.4,1.4,0.0,17/5/'17,Lissy
Cultivar,C,abaxial,2,32.2,0.2,0.0,0.0,17/5/'17,Lissy
Cultivar,B,abaxial,1,41.6,1.3,0.5,0.0,16/5/'17,Lissy
Cultivar,B,abaxial,2,41.0,0.6,0.6,0.0,16/5/'17,Lissy
Cultivar,A,abaxial,1,31.8,0.4,0.4,0.0,16/5/'17,Lissy
Cultivar,A,abaxial,2,39.0,0.2,0.2,0.0,16/5/'17,Lissy
Cultivar,i,adaxial,1,8.0,1.9,1.3,0.1,12/5/'17,Lissy
Cultivar,i,adaxial,2,6.6,0.4,0.4,0.0,12/5/'17,Lissy
Cultivar,K,adaxial,1,9.9,2.7,2.7,0.0,17/5/'17,Aleksandra
Cultivar,K,adaxial,2,16.6,3.3,2.9,0.0,17/5/'17,Aleksandra
Cultivar,C,adaxial,1,12.5,0.5,0.3,0.1,17/5/'17,Lissy
Cultivar,C,adaxial,2,12.3,0.3,0.3,0.0,17/5/'17,Lissy
Cultivar,B,adaxial,1,13.9,2.5,2.1,0.0,16/5/'17,Lissy
Cultivar,B,adaxial,2,17.2,0.5,0.2,0.0,16/5/'17,Lissy
Cultivar,A,adaxial,1,17.0,0.4,0.2,0.0,16/5/'17,Lissy
Cultivar,A,adaxial,2,11.0,1.3,0.7,0.0,16/5/'17,Lissy
F1,1,abaxial,1,14.9,2.5,2.2,0.3,15/5/'17,Lissy
F1,1,abaxial,2,12.0,2.6,2.4,0.2,15/5/'17,Lissy
F1,2,abaxial,1,6.0,7.7,2.5,6.8,15/5/'17,Lissy
F1,2,abaxial,2,5.1,9.3,1.0,8.4,15/5/'17,Lissy
