sample,genotype,group,pinene,ocymene,carene,B_phellandrene,elemene,zingiberene,caryophyllene,zingiberenol,epoxy-zingiberenol
C1,cultivar,cultivar,56072,89025,451050,2489052,1570,0,80,0,0
C10,cultivar,cultivar,91,308,2097,19184,4819,0,6334,0,0
C13,cultivar,cultivar,2767,8924,81099,438313,12159,0,5757,0,0
C4,cultivar,cultivar,24969,156315,542933,3377978,8087,0,205,0,0
C7,cultivar,cultivar,1442,3514,31397,188759,28582,0,3532,0,0
C12,F1,F1,2169,300,63282,209704,30021,0,226,0,0
C15,F1,F1,69430,31708,1099774,4404954,354662,0,1425,0,0
C3,F1,F1,13010,2130,189058,860192,36341,324848,8370,324848,0
C6,F1,F1,51095,4401,344858,1623249,20701,0,10420,0,2832
C9,F1,F1,4772,1307,88797,344526,57056,0,1298,0,0
14830-001,14830-001,F2,144,0,0,6497,327465,197484,36288,197484,7008
14830-002,14830-002,F2,237,0,55,6754,64478,324974,20288,324974,0
14830-003,14830-003,F2,71,0,38,413,120013,291016,53222,291016,5344
14830-004,14830-004,F2,33,0,0,3475,64352,0,4752,0,0
14830-005,14830-005,F2,102,0,0,1174,411249,0,3873,0,4476
14830-006,14830-006,F2,86,0,49,8824,7632,0,9340,0,0
14830-007,14830-007,F2,41,0,0,1803,193261,0,5350,0,6713
14830-008,14830-008,F2,40,0,0,9031,69826,0,268,0,0
14830-009,14830-009,F2,82,4,253,137172,315670,261777,60069,261777,8051
14830-010,14830-010,F2,33,0,0,4355,204385,275931,22684,275931,6369
14830-011,14830-011,F2,236,0,47,66591,125503,0,14617,0,13379
14830-012,14830-012,F2,202,0,0,12638,32124,0,1628,0,0
14830-013,14830-013,F2,61,0,38,3697,88050,219923,7020,219923,10308
14830-014,14830-014,F2,206,0,66,5255,137490,534305,31447,534305,14387
14830-015,14830-015,F2,29,0,0,1087,29818,0,1834,0,0
14830-016,14830-016,F2,4,34,0,2943,163367,0,8318,0,2517
14830-018,14830-018,F2,71,0,36,6665,12654,0,1287,0,0
14830-019,14830-019,F2,80,0,0,8141,357155,484976,45826,484976,14848
14830-020,14830-020,F2,142,0,49,8276,179162,237206,31804,237206,10089
14830-021,14830-021,F2,312,0,38,851,285138,0,47749,0,0
14830-022,14830-022,F2,48,0,0,3343,390224,0,3600,0,6993
14830-023,14830-023,F2,145,0,33,1159,213103,0,34546,0,3016
14830-024,14830-024,F2,51,0,0,357,67612,0,438,0,0
14830-025,14830-025,F2,56,0,0,1851,106857,0,37622,0,6257
14830-026,14830-026,F2,32,0,0,295,3779,0,8381,0,5339
14830-027,14830-027,F2,88,0,33,4844,289894,0,13572,0,26164
14830-028,14830-028,F2,71,0,43,2376,242511,298024,33935,298024,5004
14830-029,14830-029,F2,208,0,0,1447,15947,181422,13889,181422,0
14830-030,14830-030,F2,82,0,0,1364,21137,0,3148,0,0
14830-031,14830-031,F2,111,0,0,268,2607,0,2475,0,0
14830-032,14830-032,F2,52,0,0,592,4441,0,3883,0,0
14830-033,14830-033,F2,42,0,34,1006,237805,184765,18121,184765,0
14830-034,14830-034,F2,40,0,66,4179,189819,305204,54334,305204,14359
14830-036,14830-036,F2,37,0,27,508,194310,0,3635,0,0
14830-037,14830-037,F2,0,0,0,128,15988,0,88,0,0
14830-038,14830-038,F2,56,0,59,1714,344333,213250,24292,213250,16691
14830-040,14830-040,F2,41,0,0,1232,204620,0,10329,0,3810
14830-041,14830-041,F2,83,0,0,662,4564,0,1491,0,0
14830-042,14830-042,F2,99,0,0,394,102027,0,4701,0,0
14830-043,14830-043,F2,0,0,109,4991,434933,730531,70688,730531,14140
14830-044,14830-044,F2,239,0,128,1985,274200,472707,23433,472707,8374
14830-045,14830-045,F2,124,0,0,980,96265,0,5854,0,0
14830-046,14830-046,F2,48,0,0,2514,112459,0,27252,0,0
14830-047,14830-047,F2,40,0,0,1020,210000,0,4576,0,0
14830-048,14830-048,F2,40,0,0,1957,214848,0,10097,0,3257
14830-049,14830-049,F2,57,0,0,963,174566,0,8070,0,0
14830-050,14830-050,F2,72,0,83,386,118686,0,7979,0,3616
14830-051,14830-051,F2,0,0,0,1414,132564,503338,17778,503338,3027
14830-052,14830-052,F2,49,0,0,134,71379,183471,38968,183471,2692
14830-053,14830-053,F2,32,0,0,523,82622,0,9407,0,0
14830-054,14830-054,F2,37,0,0,1099,13767,216676,4678,216676,0
14830-055,14830-055,F2,43,0,0,392,55350,224292,15647,224292,3797
14830-056,14830-056,F2,33,0,0,2561,557218,0,5677,0,0
14830-057,14830-057,F2,68,0,0,491,103562,0,725,0,0
14830-058,14830-058,F2,39,0,0,1211,260583,0,2665,0,0
14830-059,14830-059,F2,38,0,0,875,309485,0,73482,0,3195
14830-060,14830-060,F2,47,0,32,1319,150445,311173,20559,311173,4223
14830-061,14830-061,F2,81,0,0,304,33702,0,6662,0,2419
14830-062,14830-062,F2,30279,11663,435653,1981414,93334,0,666,0,0
14830-063,14830-063,F2,196,233,4487,23866,31849,0,637,0,0
14830-064,14830-064,F2,35,0,166,3521,147642,0,13832,0,0
14830-066,14830-066,F2,74,0,209,20528,249028,1337830,115767,1337830,30132
14830-067,14830-067,F2,192,0,34,3106,297241,234928,14714,234928,3233
14830-068,14830-068,F2,97,0,40,1330,172125,0,17036,0,5983
14830-069,14830-069,F2,40,0,0,1533,281356,0,2958,0,0
14830-070,14830-070,F2,98,0,0,3082,358816,0,19539,0,2917
14830-071,14830-071,F2,129,0,0,8537,546766,0,34935,0,15313
14830-072,14830-072,F2,0,1,0,991,59894,0,11159,0,2446
14830-073,14830-073,F2,38,0,19,3982,106901,372217,29211,372217,13983
14830-074,14830-074,F2,66,0,0,1796,159995,0,7746,0,0
14830-075,14830-075,F2,144,0,33,4696,1346389,218461,57941,218461,16306
14830-076,14830-076,F2,160,0,0,2963,264922,270468,20135,270468,9712
14830-077,14830-077,F2,37,0,39,2312,15841,0,40055,0,5099
14830-078,14830-078,F2,125,0,34,8559,648550,477640,44189,477640,53615
14830-080,14830-080,F2,135,0,0,2786,330001,0,10904,0,5377
14830-081,14830-081,F2,101,0,0,959,116453,0,6438,0,0
14830-082,14830-082,F2,102,0,40,1176,221740,280761,21977,280761,6641
14830-083,14830-083,F2,42,0,0,157,68108,0,1296,0,0
14830-084,14830-084,F2,99,0,0,6250,1760564,274680,28493,274680,18735
14830-085,14830-085,F2,79,0,0,741,240791,0,1044,0,0
14830-089,14830-089,F2,42,0,0,1263,266113,266118,17330,266118,5730
14830-090,14830-090,F2,200,0,0,2426,450270,0,27866,0,4716
14830-091,14830-091,F2,191,0,51,11578,389155,478584,59031,478584,31338
14830-092,14830-092,F2,32,0,0,1992,154352,247133,10797,247133,4968
14830-093,14830-093,F2,42,0,33,2145,265044,0,20278,0,4213
