plant;background;surface;name;date;NonGlandular;TypeVI_L;TypeVI_H;TypeVI_I;TypeIandIV;TypeVII;sum_type_VI;sum_glandular;avg_type_VI
2;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;2;0;4;6;1,333333333
2;F2;abaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
3;F2;adaxial;Sanne;28-mrt;2;0;0;2;2;0;2;4;0,666666667
3;F2;abaxial;Sanne;28-mrt;4;0;0;1;4;1;1;6;0,333333333
4;F2;adaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
4;F2;abaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
5;F2;adaxial;Aleksandra;28-mrt;4;0;4;0;3;0;4;7;1,333333333
5;F2;abaxial;Aleksandra;28-mrt;4;0;2;0;4;0;2;6;0,666666667
6;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
6;F2;abaxial;Aleksandra;28-mrt;1;0;3;0;4;0;3;7;1
7;F2;adaxial;Sanne;28-mrt;3;0;4;0;0;0;4;4;1,333333333
7;F2;abaxial;Sanne;28-mrt;4;0;4;0;0;0;4;4;1,333333333
8;F2;abaxial;Michelle;28-mrt;2;0;3;0;2;0;3;5;1
8;F2;adaxial;Michelle;28-mrt;2;0;1;0;2;0;1;3;0,333333333
9;F2;abaxial;Sanne;28-mrt;2;0;0;4;4;0;4;8;1,333333333
9;F2;adaxial;Sanne;28-mrt;2;0;0;3;1;0;3;4;1
10;F2;adaxial;Sanne;28-mrt;1;0;0;4;2;1;4;7;1,333333333
10;F2;abaxial;Sanne;28-mrt;1;0;0;4;4;1;4;9;1,333333333
11;F2;abaxial;Marc;28-mrt;1;0;0;2;2;0;2;4;0,666666667
11;F2;adaxial;Marc;28-mrt;1;0;0;0;2;0;0;2;0
12;F2;abaxial;Michelle;28-mrt;3;0;3;0;1;0;3;4;1
12;F2;adaxial;Michelle;28-mrt;3;0;2;0;1;0;2;3;0,666666667
13;F2;adaxial;Sanne;28-mrt;1;0;4;0;3;0;4;7;1,333333333
13;F2;abaxial;Sanne;28-mrt;1;0;0;4;4;2;4;10;1,333333333
14;F2;adaxial;Sanne;28-mrt;1;0;0;4;1;1;4;6;1,333333333
14;F2;abaxial;Sanne;28-mrt;1;0;0;1;4;1;1;6;0,333333333
15;F2;adaxial;Sanne;28-mrt;3;0;4;0;0;1;4;5;1,333333333
15;F2;abaxial;Sanne;28-mrt;4;0;0;3;0;1;3;4;1
16;F2;abaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
16;F2;adaxial;Michelle;28-mrt;1;0;3;0;4;0;3;7;1
17;F2;adaxial;Sanne;28-mrt;1;1;0;0;1;0;1;2;0,333333333
17;F2;abaxial;Sanne;28-mrt;1;1;0;0;1;0;1;2;0,333333333
18;F2;abaxial;Sanne;28-mrt;2;0;0;4;4;2;4;10;1,333333333
18;F2;adaxial;Sanne;28-mrt;1;0;0;3;4;1;3;8;1
19;F2;adaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
19;F2;abaxial;Michelle;28-mrt;2;0;3;0;4;0;3;7;1
20;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
20;F2;abaxial;Aleksandra;28-mrt;1;0;3;0;4;0;3;7;1
21;F2;abaxial;Sanne;28-mrt;1;0;0;3;4;0;3;7;1
21;F2;adaxial;Sanne;28-mrt;1;0;0;1;4;0;1;5;0,333333333
22;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;2;0;4;6;1,333333333
22;F2;abaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
23;F2;adaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
23;F2;abaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
24;F2;adaxial;Aleksandra;28-mrt;2;0;4;0;0;0;4;4;1,333333333
24;F2;abaxial;Aleksandra;28-mrt;4;0;3;0;1;0;3;4;1
25;F2;adaxial;Sanne;28-mrt;1;0;0;2;4;0;2;6;0,666666667
25;F2;abaxial;Sanne;28-mrt;1;0;0;2;4;0;2;6;0,666666667
26;F2;adaxial;Sanne;28-mrt;1;0;0;4;0;2;4;6;1,333333333
26;F2;abaxial;Sanne;28-mrt;3;0;0;4;2;2;4;8;1,333333333
27;F2;adaxial;Aleksandra;28-mrt;2;0;0;4;2;0;4;6;1,333333333
27;F2;abaxial;Aleksandra;28-mrt;4;0;0;4;3;0;4;7;1,333333333
28;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;2;0;4;6;1,333333333
28;F2;abaxial;Aleksandra;28-mrt;2;0;4;0;4;0;4;8;1,333333333
29;F2;adaxial;Aleksandra;28-mrt;0;0;4;0;2;0;4;6;1,333333333
29;F2;abaxial;Aleksandra;28-mrt;1;0;3;0;4;0;3;7;1
30;F2;adaxial;Sanne;28-mrt;2;0;0;4;0;0;4;4;1,333333333
30;F2;abaxial;Sanne;28-mrt;2;0;0;4;3;3;4;10;1,333333333
31;F2;adaxial;Aleksandra;28-mrt;2;0;0;4;2;0;4;6;1,333333333
31;F2;abaxial;Aleksandra;28-mrt;4;0;0;4;3;0;4;7;1,333333333
32;F2;adaxial;Sanne;28-mrt;1;0;0;4;1;1;4;6;1,333333333
32;F2;abaxial;Sanne;28-mrt;1;0;0;4;4;1;4;9;1,333333333
33;F2;abaxial;Aleksandra;28-mrt;3;0;4;0;2;0;4;6;1,333333333
33;F2;adaxial;Aleksandra;28-mrt;1;0;3;0;2;0;3;5;1
34;F2;adaxial;Aleksandra;28-mrt;3;0;0;3;0;0;3;3;1
34;F2;abaxial;Aleksandra;28-mrt;4;0;0;2;1;0;2;3;0,666666667
35;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
35;F2;abaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
36;F2;adaxial;Sanne;28-mrt;1;0;0;4;0;0;4;4;1,333333333
36;F2;abaxial;Sanne;28-mrt;2;0;0;3;4;0;3;7;1
37;F2;adaxial;Aleksandra;28-mrt;1;0;3;0;2;0;3;5;1
37;F2;abaxial;Aleksandra;28-mrt;1;0;3;0;4;0;3;7;1
38;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;2;0;4;6;1,333333333
39;F2;abaxial;Aleksandra;28-mrt;3;0;4;0;4;0;4;8;1,333333333
40;F2;adaxial;Sanne;28-mrt;2;4;0;0;2;0;4;6;1,333333333
40;F2;abaxial;Sanne;28-mrt;3;3;0;0;4;0;3;7;1
41;F2;adaxial;Sanne;28-mrt;1;0;0;2;0;1;2;3;0,666666667
41;F2;abaxial;Sanne;28-mrt;3;0;0;1;0;1;1;2;0,333333333
42;F2;adaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
42;F2;abaxial;Michelle;28-mrt;2;0;3;0;4;0;3;7;1
43;F2;adaxial;Michelle;28-mrt;1;0;4;0;3;0;4;7;1,333333333
43;F2;abaxial;Michelle;28-mrt;1;0;3;0;4;0;3;7;1
44;F2;adaxial;Michelle;28-mrt;1;0;3;0;2;0;3;5;1
44;F2;abaxial;Michelle;28-mrt;2;0;3;0;2;0;3;5;1
45;F2;adaxial;Sanne;28-mrt;2;4;0;0;4;1;4;9;1,333333333
45;F2;abaxial;Sanne;28-mrt;4;4;0;0;4;3;4;11;1,333333333
46;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;3;0;4;7;1,333333333
46;F2;abaxial;Aleksandra;28-mrt;3;0;4;0;4;0;4;8;1,333333333
47;F2;abaxial;Marc;28-mrt;1;0;0;3;3;0;3;6;1
47;F2;adaxial;Marc;28-mrt;1;0;0;0;2;0;0;2;0
48;F2;abaxial;Sanne;28-mrt;1;0;0;4;4;2;4;10;1,333333333
48;F2;adaxial;Sanne;28-mrt;1;0;0;3;4;2;3;9;1
49;F2;adaxial;Aleksandra;28-mrt;2;0;4;0;4;0;4;8;1,333333333
49;F2;abaxial;Aleksandra;28-mrt;2;0;4;0;4;0;4;8;1,333333333
50;F2;adaxial;Michelle;28-mrt;1;0;3;0;3;0;3;6;1
50;F2;abaxial;Michelle;28-mrt;1;0;1;0;3;0;1;4;0,333333333
51;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;3;0;4;7;1,333333333
51;F2;abaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
52;F2;adaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
52;F2;abaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
53;F2;adaxial;Aleksandra;28-mrt;0;0;4;0;4;0;4;8;1,333333333
53;F2;abaxial;Aleksandra;28-mrt;0;0;4;0;4;0;4;8;1,333333333
54;F2;abaxial;Sanne;28-mrt;2;0;0;3;0;0;3;3;1
54;F2;adaxial;Sanne;28-mrt;1;0;0;1;0;0;1;1;0,333333333
55;F2;adaxial;Sanne;28-mrt;2;0;0;4;0;0;4;4;1,333333333
55;F2;abaxial;Sanne;28-mrt;3;0;0;4;3;2;4;9;1,333333333
56;F2;adaxial;Aleksandra;28-mrt;2;0;4;0;2;0;4;6;1,333333333
56;F2;abaxial;Aleksandra;28-mrt;4;0;4;0;4;0;4;8;1,333333333
57;F2;adaxial;Sanne;28-mrt;1;0;0;4;1;1;4;6;1,333333333
57;F2;abaxial;Sanne;28-mrt;2;0;0;3;4;1;3;8;1
58;F2;adaxial;Aleksandra;28-mrt;3;0;4;0;2;0;4;6;1,333333333
58;F2;abaxial;Aleksandra;28-mrt;4;0;4;0;4;0;4;8;1,333333333
59;F2;abaxial;Michelle;28-mrt;2;0;4;0;1;0;4;5;1,333333333
59;F2;adaxial;Michelle;28-mrt;2;0;3;0;1;0;3;4;1
60;F2;adaxial;Michelle;28-mrt;0;0;4;0;4;0;4;8;1,333333333
60;F2;abaxial;Michelle;28-mrt;0;0;4;0;4;0;4;8;1,333333333
61;F2;adaxial;Michelle;28-mrt;1;0;3;0;2;0;3;5;1
61;F2;abaxial;Michelle;28-mrt;1;0;3;0;3;0;3;6;1
62;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
62;F2;abaxial;Aleksandra;28-mrt;0;0;4;0;4;0;4;8;1,333333333
63;F2;abaxial;Sanne;28-mrt;3;0;0;2;4;0;2;6;0,666666667
63;F2;adaxial;Sanne;28-mrt;2;0;0;1;2;0;1;3;0,333333333
64;F2;abaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
64;F2;adaxial;Michelle;28-mrt;1;0;3;0;4;0;3;7;1
66;F2;adaxial;Sanne;28-mrt;1;0;0;4;2;1;4;7;1,333333333
66;F2;abaxial;Sanne;28-mrt;3;0;0;4;2;1;4;7;1,333333333
67;F2;abaxial;Sanne;28-mrt;4;0;0;4;4;2;4;10;1,333333333
67;F2;adaxial;Sanne;28-mrt;1;0;0;3;1;1;3;5;1
68;F2;adaxial;Sanne;28-mrt;2;0;0;4;0;0;4;4;1,333333333
68;F2;abaxial;Sanne;28-mrt;3;0;0;2;2;0;2;4;0,666666667
69;F2;abaxial;Michelle;28-mrt;2;0;4;0;3;0;4;7;1,333333333
69;F2;adaxial;Michelle;28-mrt;1;0;1;0;2;0;1;3;0,333333333
70;F2;adaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
70;F2;abaxial;Aleksandra;28-mrt;1;0;4;0;4;0;4;8;1,333333333
71;F2;adaxial;Michelle;28-mrt;2;0;4;0;2;0;4;6;1,333333333
71;F2;abaxial;Michelle;28-mrt;3;0;4;0;2;0;4;6;1,333333333
72;F2;adaxial;Sanne;28-mrt;1;0;0;3;2;1;3;6;1
72;F2;abaxial;Sanne;28-mrt;2;0;0;1;4;1;1;6;0,333333333
73;F2;abaxial;Aleksandra;28-mrt;3;0;4;0;4;0;4;8;1,333333333
73;F2;adaxial;Aleksandra;28-mrt;1;0;3;0;2;0;3;5;1
74;F2;abaxial;Michelle;28-mrt;2;0;3;0;2;0;3;5;1
74;F2;adaxial;Michelle;28-mrt;1;0;1;0;1;0;1;2;0,333333333
76;F2;abaxial;Sanne;28-mrt;4;0;4;0;4;3;4;11;1,333333333
76;F2;adaxial;Sanne;28-mrt;3;0;3;0;3;1;3;7;1
77;F2;adaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
77;F2;abaxial;Michelle;28-mrt;1;0;4;0;4;0;4;8;1,333333333
78;F2;abaxial;Michelle;28-mrt;2;0;4;0;4;0;4;8;1,333333333
78;F2;adaxial;Michelle;28-mrt;2;0;3;0;4;0;3;7;1
80;F2;adaxial;Sanne;28-mrt;2;0;4;0;4;0;4;8;1,333333333
80;F2;abaxial;Sanne;28-mrt;4;0;4;0;4;0;4;8;1,333333333
81;F2;adaxial;Sanne;28-mrt;1;0;0;4;1;2;4;7;1,333333333
81;F2;abaxial;Sanne;28-mrt;4;0;0;1;4;3;1;8;0,333333333
82;F2;adaxial;Sanne;28-mrt;2;0;0;4;2;0;4;6;1,333333333
82;F2;abaxial;Sanne;28-mrt;2;0;0;3;2;0;3;5;1
83;F2;adaxial;Michelle;28-mrt;2;0;4;0;3;0;4;7;1,333333333
83;F2;abaxial;Michelle;28-mrt;3;0;1;0;1;0;1;2;0,333333333
84;F2;adaxial;Aleksandra;28-mrt;3;0;0;4;1;0;4;5;1,333333333
84;F2;abaxial;Aleksandra;28-mrt;3;0;0;4;4;0;4;8;1,333333333
85;F2;abaxial;Michelle;28-mrt;2;0;3;0;3;0;3;6;1
85;F2;adaxial;Michelle;28-mrt;1;0;1;0;2;0;1;3;0,333333333
86;F2;abaxial;Sanne;28-mrt;1;2;0;0;4;0;2;6;0,666666667
86;F2;adaxial;Sanne;28-mrt;1;1;0;0;4;0;1;5;0,333333333
87;F2;abaxial;Sanne;28-mrt;3;0;0;2;2;2;2;6;0,666666667
87;F2;adaxial;Sanne;28-mrt;1;0;0;1;1;1;1;3;0,333333333
88;F2;adaxial;Sanne;28-mrt;3;0;0;4;1;1;4;6;1,333333333
