sample,genotype,group,B-phellandrene/D-limonene ,B-caryophyllene ,zingiberene ,zingiberenol ,epoxy-zingiberenol ,total_volatiles
14_10x,14,F2,0.129524101,0.136122529,11.380524,0.236859872,0.271644517,12.15467502
20_10x,20,F2,0.091264576,0.049607683,8.601663642,0.131487379,0.426848713,9.300871992
25,25,F2,1.358735871,0.403492809,7.023333042,0.498261293,1.130826388,10.4146494
28_10x,28,F2,0.072818589,0.436648519,17.30923573,0.3171005,0.332663261,18.4684666
28,28,F2,1.585679211,2.991457676,14.46742351,0.45522182,1.127418527,20.62720074
73,73,F2,1.309577747,0.777386557,7.354841467,0,0.898709835,10.34051561
120,120,F2,0.954854971,0.256119953,7.354656741,0.14031537,0.282762112,8.988709147
127,127,F2,1.136362738,1.666144679,15.1313272,0.421092034,0.868217579,19.22314423
142_10x,142,F2,0.103951067,0.441868723,11.65695802,0.138691841,0.362280592,12.70375024
148,148,F2,0.904553586,0,0,0,0.051506345,0.956059931
151,151,F2,0.054094237,0.015722826,0.448978306,0.018739724,0.073560052,0.611095144
161,161,F2,0.023325636,0.430255439,14.32588374,0.451347705,0.091695977,15.3225085
183,183,F2,0.073849051,0.079289341,0.878568342,0.015461819,0.558864458,1.606033011
190,190,F2,0.116368201,0.041361642,1.063441762,0.059352768,0.060950395,1.341474767
200,200,F2,0.470855219,0.171562071,0.657214108,0.068155697,0.284777385,1.652564479
201,201,F2,0,0.049579953,0.696993821,0,0.170062984,0.916636758
211,211,F2,0,0,0.030172392,0.017832631,0,0.048005023
225,225,F2,0.159138145,0.22110344,0.617125726,0.118107679,0.727409819,1.84288481
232,232,F2,0.19808831,0.076627071,0.567294979,0,0.141853061,0.983863422
232a,232,F2,0.369997634,0.16515719,1.4765373,0.014059947,0.197581049,2.223333119
255,255,F2,0.417561408,0.042887617,0.325820493,0.013007396,0.091770276,0.89104719
258,258,F2,0.102208012,0.564131123,2.602195151,0.048137796,0.245363837,3.562035918
279,279,F2,0.013991242,0.046890303,1.901434103,0.009732552,0.105740706,2.077788906
280,280,F2,0.014934514,0.047615665,1.658547548,0.011540662,0.200899863,1.933538252
286,286,F2,0.069064682,0.221142024,0.924058431,0.048673805,0.459973503,1.722912445
290,290,F2,0.09024709,0.510017594,3.104708231,0.240132352,0.833576435,4.778681702
294,294,F2,0.177253155,0.784810143,4.964708848,0.095121109,0.670097255,6.691990509
296,296,F2,0.021616715,0.378902656,16.5367338,0.37613208,0.528348742,17.84173399
314,314,F2,0.084941842,0.972268665,0.856942222,0.543802472,0.882475123,3.340430324
327,327,F2,0.049695704,0.077302285,21.30890433,0.02230625,0.019148824,21.47735739
332,332,F2,0.115172109,0.559018793,4.12709702,0.024223516,0.273238991,5.098750428
341,341,F2,0.139499082,0.291287047,1.129496921,0.071248061,1.000046225,2.631577335
346,346,F2,0.013159032,0,0.373144063,0.014802053,0.001345641,0.402450789
364,364,F2,0.01522672,0.038486551,2.382639044,0,0.101312715,2.53766503
365,365,F2,0.035650617,0.016683371,0.028382209,0.010294302,0.003734184,0.094744683
366,366,F2,0,0.317504617,2.339865112,0.03630435,0.461669669,3.155343748
373,373,F2,0.0603062,0.406922159,0.828351759,0.108377041,0.45151499,1.855472149
376_2,376,F2,0.041207816,0.627797455,13.56100717,0.272406527,0.133613138,14.63603211
376,376,F2,0.01663699,0.340745761,14.96717114,0.59143809,0.561303987,16.47729597
387,387,F2,0.018540812,0.453703955,16.4333771,0.62628693,0.428896271,17.96080507
411,411,F2,0.082125237,0.045200712,0.879899477,0.051580627,0.327918034,1.386724087
432,432,F2,0.093391655,0.921164659,5.825683059,0.062816215,0.508715964,7.411771553
434,434,F2,0.024685394,0.008142096,6.564344944,0.00371156,0.003996405,6.604880399
