genotype,surface,name,date,type_VI
14830-002,adaxial,Aleksandra,28-Mar,5
14830-002,abaxial,Aleksandra,28-Mar,5
14830-003,adaxial,Sanne,28-Mar,3
14830-003,abaxial,Sanne,28-Mar,2
14830-004,adaxial,Michelle,28-Mar,5
14830-004,abaxial,Michelle,28-Mar,5
14830-005,adaxial,Aleksandra,28-Mar,5
14830-005,abaxial,Aleksandra,28-Mar,3
14830-006,adaxial,Aleksandra,28-Mar,5
14830-006,abaxial,Aleksandra,28-Mar,4
14830-007,adaxial,Sanne,28-Mar,5
14830-007,abaxial,Sanne,28-Mar,5
14830-008,abaxial,Michelle,28-Mar,4
14830-008,adaxial,Michelle,28-Mar,2
14830-009,abaxial,Sanne,28-Mar,5
14830-009,adaxial,Sanne,28-Mar,4
14830-010,adaxial,Sanne,28-Mar,5
14830-010,abaxial,Sanne,28-Mar,5
14830-011,abaxial,Marc,28-Mar,3
14830-011,adaxial,Marc,28-Mar,1
14830-012,abaxial,Michelle,28-Mar,4
14830-012,adaxial,Michelle,28-Mar,3
14830-013,adaxial,Sanne,28-Mar,5
14830-013,abaxial,Sanne,28-Mar,5
14830-014,adaxial,Sanne,28-Mar,5
14830-014,abaxial,Sanne,28-Mar,2
14830-015,adaxial,Sanne,28-Mar,5
14830-015,abaxial,Sanne,28-Mar,4
14830-016,abaxial,Michelle,28-Mar,5
14830-016,adaxial,Michelle,28-Mar,4
14830-017,adaxial,Sanne,28-Mar,2
14830-017,abaxial,Sanne,28-Mar,2
14830-018,abaxial,Sanne,28-Mar,5
14830-018,adaxial,Sanne,28-Mar,4
14830-019,adaxial,Michelle,28-Mar,5
14830-019,abaxial,Michelle,28-Mar,4
14830-020,adaxial,Aleksandra,28-Mar,5
14830-020,abaxial,Aleksandra,28-Mar,4
14830-021,abaxial,Sanne,28-Mar,4
14830-021,adaxial,Sanne,28-Mar,2
14830-022,adaxial,Aleksandra,28-Mar,5
14830-022,abaxial,Aleksandra,28-Mar,5
14830-023,adaxial,Michelle,28-Mar,5
14830-023,abaxial,Michelle,28-Mar,5
14830-024,adaxial,Aleksandra,28-Mar,5
14830-024,abaxial,Aleksandra,28-Mar,4
14830-025,adaxial,Sanne,28-Mar,3
14830-025,abaxial,Sanne,28-Mar,3
14830-026,adaxial,Sanne,28-Mar,5
14830-026,abaxial,Sanne,28-Mar,5
14830-027,adaxial,Aleksandra,28-Mar,5
14830-027,abaxial,Aleksandra,28-Mar,5
14830-028,adaxial,Aleksandra,28-Mar,5
14830-028,abaxial,Aleksandra,28-Mar,5
14830-029,adaxial,Aleksandra,28-Mar,5
14830-029,abaxial,Aleksandra,28-Mar,4
14830-030,adaxial,Sanne,28-Mar,5
14830-030,abaxial,Sanne,28-Mar,5
14830-031,adaxial,Aleksandra,28-Mar,5
14830-031,abaxial,Aleksandra,28-Mar,5
14830-032,adaxial,Sanne,28-Mar,5
14830-032,abaxial,Sanne,28-Mar,5
14830-033,abaxial,Aleksandra,28-Mar,5
14830-033,adaxial,Aleksandra,28-Mar,4
14830-034,adaxial,Aleksandra,28-Mar,4
14830-034,abaxial,Aleksandra,28-Mar,3
14830-035,adaxial,Aleksandra,28-Mar,5
14830-035,abaxial,Aleksandra,28-Mar,5
14830-036,adaxial,Sanne,28-Mar,5
14830-036,abaxial,Sanne,28-Mar,4
14830-037,adaxial,Aleksandra,28-Mar,4
14830-037,abaxial,Aleksandra,28-Mar,4
14830-038,adaxial,Aleksandra,28-Mar,5
14830-039,abaxial,Aleksandra,28-Mar,5
14830-040,adaxial,Sanne,28-Mar,5
14830-040,abaxial,Sanne,28-Mar,4
14830-041,adaxial,Sanne,28-Mar,3
14830-041,abaxial,Sanne,28-Mar,2
