genotype,group,surface,name,date,type_VI
14830-002,F2,adaxial,Aleksandra,28-Mar,5
14830-002,F2,abaxial,Aleksandra,28-Mar,5
14830-003,F2,adaxial,Sanne,28-Mar,3
14830-003,F2,abaxial,Sanne,28-Mar,2
14830-004,F2,adaxial,Michelle,28-Mar,5
14830-004,F2,abaxial,Michelle,28-Mar,5
14830-005,F2,adaxial,Aleksandra,28-Mar,5
14830-005,F2,abaxial,Aleksandra,28-Mar,3
14830-006,F2,adaxial,Aleksandra,28-Mar,5
14830-006,F2,abaxial,Aleksandra,28-Mar,4
14830-007,F2,adaxial,Sanne,28-Mar,5
14830-007,F2,abaxial,Sanne,28-Mar,5
14830-008,F2,abaxial,Michelle,28-Mar,4
14830-008,F2,adaxial,Michelle,28-Mar,2
14830-009,F2,abaxial,Sanne,28-Mar,5
14830-009,F2,adaxial,Sanne,28-Mar,4
14830-010,F2,adaxial,Sanne,28-Mar,5
14830-010,F2,abaxial,Sanne,28-Mar,5
14830-011,F2,abaxial,Marc,28-Mar,3
14830-011,F2,adaxial,Marc,28-Mar,1
14830-012,F2,abaxial,Michelle,28-Mar,4
14830-012,F2,adaxial,Michelle,28-Mar,3
14830-013,F2,adaxial,Sanne,28-Mar,5
14830-013,F2,abaxial,Sanne,28-Mar,5
14830-014,F2,adaxial,Sanne,28-Mar,5
14830-014,F2,abaxial,Sanne,28-Mar,2
14830-015,F2,adaxial,Sanne,28-Mar,5
14830-015,F2,abaxial,Sanne,28-Mar,4
14830-016,F2,abaxial,Michelle,28-Mar,5
14830-016,F2,adaxial,Michelle,28-Mar,4
14830-017,F2,adaxial,Sanne,28-Mar,2
14830-017,F2,abaxial,Sanne,28-Mar,2
14830-018,F2,abaxial,Sanne,28-Mar,5
14830-018,F2,adaxial,Sanne,28-Mar,4
14830-019,F2,adaxial,Michelle,28-Mar,5
14830-019,F2,abaxial,Michelle,28-Mar,4
14830-020,F2,adaxial,Aleksandra,28-Mar,5
14830-020,F2,abaxial,Aleksandra,28-Mar,4
14830-021,F2,abaxial,Sanne,28-Mar,4
14830-021,F2,adaxial,Sanne,28-Mar,2
14830-022,F2,adaxial,Aleksandra,28-Mar,5
14830-022,F2,abaxial,Aleksandra,28-Mar,5
14830-023,F2,adaxial,Michelle,28-Mar,5
14830-023,F2,abaxial,Michelle,28-Mar,5
14830-024,F2,adaxial,Aleksandra,28-Mar,5
14830-024,F2,abaxial,Aleksandra,28-Mar,4
14830-025,F2,adaxial,Sanne,28-Mar,3
14830-025,F2,abaxial,Sanne,28-Mar,3
14830-026,F2,adaxial,Sanne,28-Mar,5
