genotype	group	2-carene 	A-terpinene 	A-phellandrene 	B-phellandrene/D-limonene 	B-caryophyllene 	A-humulene 	7-epizingiberene 	9HZ	9H10epoZ	total_terpenes
102	F2	0.027473121	0.108091839	0.080695682	0.107048759	0	1.754195823	0.259047599	0	0.1952821	2.531834924
151	F2	0	0.113327183	0.153149864	0.181148638	0	1.393914147	0.169196481	0	0.559223974	2.569960285
183	F2	0	0.100588039	0.111625661	0.230225826	0.765437417	17.7062695	3.490320412	0.747443236	5.040865421	28.19277551
184	F2	0	0.094431594	0.07851296	0.176934814	5.307981036	108.348505	20.66668019	8.012114557	11.01780998	153.7029701
194	F2	0	0.15771958	0.169255037	0.430438965	5.28587496	76.54205138	12.96656527	5.911510656	6.887390133	108.350806
200	F2	0.106151493	0.122715385	0.16833325	0.074140751	0.128021206	5.935439103	0.107992857	0	0.835284254	7.4780783
201	F2	0	0.100648626	0.11892225	0.163340639	0.231929981	12.18288919	1.941423646	0.154511287	1.982174997	16.87584061
211	F2	0	0.085280378	0.084111828	0.160622672	0.142221547	2.768694348	0.339813491	0.288932526	0.273284084	4.142960874
255	F2	0.209498098	0.173518107	0.385036374	0.531902743	0.587084199	9.026409135	1.531224304	0.331470818	3.983982857	16.76012664
255	F2	0	0.10527377	0.101351932	0.173717439	0.762307542	15.73437856	3.173951853	1.032698084	3.306937721	24.39061691
256	F2	0	0.136840884	0.12247783	0	0.924548098	11.02902688	1.01278567	0.73215813	1.865030099	15.82286759
258	F2	0	0.172845546	0.170100705	0.501271676	7.012912311	194.8003047	38.01586539	9.992058736	27.24470353	277.9100626
280	F2	0.006613565	0.068443968	0.076298521	0.155385064	0.287821745	44.53655089	4.347270786	0.308719106	3.162596133	52.94969978
286	F2	0	0.151516335	0.165002102	0	0	7.100383134	0.72134284	0	0.311498294	8.449742705
290	F2	0	0.095239765	0.086656252	0.146253654	0.421240324	9.203516736	1.563457598	0.265856837	1.383970761	13.16619193
292	F2	0	0.132978366	0.105140159	0.154816408	2.672132563	65.69120636	13.39567715	3.896578104	2.988022085	89.0365512
294	F2	0	0.22491682	0.138545811	0.439440154	3.45495338	119.6083371	24.22772068	3.763819929	13.82051128	165.6782451
324	F2	0	0.143550594	0.096349709	0.272024119	0.247158511	120.4636335	19.14338715	0.186663308	0.354102339	140.9068692
327	F2	0	0.079390169	0.101278833	0.115310681	0.271763337	6.315192421	0.756012773	0.193739114	0.355824361	8.18851169
346	F2	0	0.090136061	0.114235163	0.270759943	2.218374682	94.8437678	19.24416961	2.626747833	7.909403746	127.3175948
366	F2	0	0.109617003	0.054579094	0.242909593	6.913332056	271.0665377	40.11455457	8.871090086	6.532823221	333.9054433
373	F2	0	0.095019645	0.10092463	0.260970447	3.234277572	48.50025198	9.158373704	3.966813742	3.656678126	68.97330985
376	F2	0	0.134914623	0.158338773	0.253369327	2.39262868	72.56223235	10.42902587	3.375726371	4.263390748	93.56962674
376	F2	0	0.134461784	0.189961283	0.213392372	0.144574484	33.56959845	4.303437875	0	0.207692035	38.76311828
396	F2	0	0.098490322	0.107363145	0.209411923	0.945472063	35.20450577	5.24103497	1.264953859	2.919771534	45.99100359
400	F2	0	0.140294328	0.235588748	0.570505407	0.515721047	846.2325071	86.34669308	0.169148036	0.124705191	934.335163
432	F2	0.017409649	0.075723744	0.093450171	0.146471047	0.885087689	29.47408962	3.756872617	0.936411319	4.074635549	39.46015141
445	F2	0	0.078908498	0.076113384	0.14889276	0.21612616	1.919414885	0.356440281	0.238889868	0.394878187	3.429664022
CV-1	Elite	1.920183973	0.891659897	3.419864873	5.183865717	0	0.551392742	0.062128993	0	0.120148723	12.14924492
F1	F1	3.416446541	1.596212299	4.430785259	8.075264186	0.325270368	6.905820648	1.037836051	0.26615387	1.846206192	27.89999541
PI-W	PI127826	0.026466178	0.243031824	0.277182393	1.006188001	7.346240411	487.9396477	105.9315072	9.11714791	34.90451858	646.7919301
127	F2	0	0	1.803148248	2.256466952	15.09253636	0	217.9240346	17.23855327	62.18748557	316.502225
28	F2	0	0	1.0914884	1.121187659	2.809121327	10.37015627	28.32499748	3.045524964	11.04370808	57.80618418
73	F2	0	0	1.047998866	0.889063275	0	0	6.788554406	0	0	8.725616546
