genotype,replicatie,surface,type_VI_mm2
Cultivar,6,abaxial,0
Cultivar,2,abaxial,0.079617834
Cultivar,10,abaxial,0.238853503
Cultivar,8,adaxial,0.238853503
Cultivar,9,adaxial,0.238853503
PI127826,10,abaxial,0.3
151,1,abaxial,0.318471338
Cultivar,5,adaxial,0.318471338
Cultivar,6,adaxial,0.318471338
Cultivar,9,abaxial,0.398089172
Cultivar,2,adaxial,0.398089172
364,1,abaxial,0.477707006
Cultivar,7,abaxial,0.477707006
Cultivar,8,abaxial,0.557324841
332,1,adaxial,0.636942675
190,1,abaxial,0.71656051
Cultivar,10,adaxial,0.71656051
364,2,adaxial,0.875796178
364,2,abaxial,0.875796178
445,2,abaxial,0.875796178
PI127826,6,abaxial,0.9
151,1,adaxial,0.955414013
F1,4,abaxial,0.955414013
PI127826,4,abaxial,1
PI127826,5,abaxial,1
273,2,abaxial,1.035031847
273,1,abaxial,1.194267516
341,2,abaxial,1.194267516
341,1,abaxial,1.194267516
411,2,adaxial,1.194267516
Cultivar,1,adaxial,1.27388535
151,2,abaxial,1.353503185
Cultivar,5,abaxial,1.353503185
PI127826,9,abaxial,1.4
200,1,abaxial,1.433121019
232,1,abaxial,1.433121019
225,1,abaxial,1.512738854
364,1,adaxial,1.512738854
445,1,abaxial,1.512738854
190,2,abaxial,1.671974522
Cultivar,3,abaxial,1.671974522
F1,2,adaxial,1.751592357
346,1,abaxial,1.831210191
PI127826,10,adaxial,1.9
183,1,abaxial,1.910828025
337,1,abaxial,1.910828025
449,1,abaxial,1.910828025
332,2,abaxial,1.99044586
411,1,adaxial,1.99044586
290,1,adaxial,2.070063694
346,1,adaxial,2.070063694
Cultivar,4,abaxial,2.149681529
Cultivar,7,adaxial,2.149681529
F1,4,adaxial,2.149681529
PI127826,2,abaxial,2.2
225,2,abaxial,2.229299363
332,1,abaxial,2.229299363
F1,1,abaxial,2.229299363
273,1,adaxial,2.308917197
346,2,abaxial,2.308917197
F1,1,adaxial,2.308917197
151,2,adaxial,2.388535032
279,1,adaxial,2.388535032
332,2,adaxial,2.388535032
Cultivar,1,abaxial,2.388535032
F1,2,abaxial,2.388535032
190,1,adaxial,2.468152866
365,1,abaxial,2.468152866
F1,3,abaxial,2.468152866
PI127826,1,abaxial,2.5
337,2,abaxial,2.547770701
432,1,abaxial,2.547770701
