sample,genotype,phenotype,Data_Origin,P450_marker,Good_dataset,B-phellandrene/D-limonene ,B-caryophyllene ,7-epizingiberene ,Zingiberenol ,epoxy-zingiberenol ,total_terpenes
PI127826,PI127826,active,20180512,B,Yes,1.575509013,2.174683031,22.33503427,1.218198613,1.240661109,28.54408604
PI127826_1,PI127826,active,20170622,B,Yes,0.304680813,1.750379226,15.71002172,0.019850571,0.210721445,17.99565378
PI127826_2,PI127826,active,20170622,B,Yes,0.890014319,0.460453088,4.916902996,0.033395263,0.193340559,6.494106225
PI127826_3,PI127826,active,20170622,B,Yes,0.315313095,1.392938763,16.01866744,0.009170058,0.118222966,17.85431232
28,28,active,20180512,B,Yes,1.585679211,2.991457676,14.46742351,0.45522182,1.127418527,20.62720074
28_10x,28,active,20180820,B,Yes,0.072818589,0.436648519,17.30923573,0.3171005,0.332663261,18.4684666
73,73,active,20180512,B,Yes,1.309577747,0.777386557,7.354841467,0,0.898709835,10.34051561
127,127,active,20180512,B,Yes,1.136362738,1.666144679,15.1313272,0.421092034,0.868217579,19.22314423
151,151,lazy,20170721,B,Yes,0.054094237,0.015722826,0.448978306,0.018739724,0.073560052,0.611095144
411,411,lazy,20170721,B,Yes,0.082125237,0.045200712,0.879899477,0.051580627,0.327918034,1.386724087
445,445,lazy,20170721,B,Yes,0.057315969,0.016841751,0.046473971,0.020986842,0,0.141618533
PI127826_CV_1,CV,lazy,20170622,A,Yes,0.44724927,0.010491889,0,0.035687286,0.007506593,0.500935038
PI127826_CV_2,CV,lazy,20170622,A,Yes,0.355474686,0.014344916,0,0.042678863,0,0.412498465
PI127826_CV_3,CV,lazy,20170622,A,Yes,0.602131464,0.017480516,0,0.005699244,0.006507345,0.631818569
F1,F1,lazy,20180512,C,Yes,2.383581594,0.625155496,4.644952339,0.222329737,0.326679,8.202698166
PI127826_F1_1,F1,lazy,20170622,C,Yes,0.826125391,0.037070574,0.27963498,0.015101606,0.020231541,1.178164092
PI127826_F1_14853,F1,lazy,20170622,C,Yes,0.216745467,0.0495705,0.345483268,0.006004081,0.007122939,0.624926255
PI127826_F1_14879,F1,lazy,20170622,C,Yes,0.632397524,0.021472393,0.140603963,0.003974637,0.008314006,0.806762523
PI127826_F1_2,F1,lazy,20170622,C,Yes,0.762301436,0.03204861,0.220869162,0.003652639,0.006815693,1.02568754
PI127826xLA1777_1,F1_hab,active,20170622,B,Yes,0.068087932,3.849129216,9.853146695,0.014969086,0.032489518,13.81782245
PI127826xLA1777_2,F1_hab,active,20170622,B,Yes,0.042641203,1.51948359,6.420786792,0.040467709,0.073091937,8.096471231
PI127826xLA1777_3,F1_hab,active,20170622,B,Yes,0.089290214,0.673687608,7.235295531,0.008371377,0.068415519,8.075060249
127-1,127,,20200828,B,Yes,0.003484631,0.196164118,7.067678528,0.259457692,0.120445969,7.647230937
127-2,127,,20200828,B,Yes,0.006159151,0.239846703,12.97103146,0.552752097,0.359879203,14.12966861
127-3,127,,20200828,B,Yes,0.003520929,0.147387542,4.628780391,0.17827531,0.049249974,5.007214146
151-1,151,,20200828,B,no,0.033023148,0.151922277,4.150257517,0.229309137,0.119249083,4.683761163
151-2,151,,20200828,B,no,0.091620056,0.208879582,6.286520653,0.331805647,0.407151511,7.32597745
151-3,151,,20200828,B,no,0.031168638,0.123044775,3.345727985,0.115019096,0.03968424,3.654644734
441-1,441,,20200828,B,Yes,0.002413833,0.00300437,0.119559186,0.029376615,0.00552157,0.159875573
441-2,441,,20200828,B,Yes,0.00186441,0.008518885,0.08922502,0.041170146,0,0.14077846
441-3,441,,20200828,B,Yes,0.002196043,0,0.113082232,0,0,0.115278276
445-1,445,,20200828,B,Yes,0.001913907,0.002466792,0.003975479,0,0,0.008356178
445-2,445,,20200828,B,Yes,0.002017852,0,0.003663337,0,0,0.005681189
445-3,445,,20200828,B,Yes,0.001565774,0.002601186,0.016157701,0,0,0.020324661
73-1,73,,20200828,B,Yes,0.004687423,0.211593487,4.94591267,0.899224609,0.983938186,7.045356373
73-2,73,,20200828,B,Yes,0.00370407,0.220697638,7.145766136,1.111679717,1.698151645,10.17999921
73-3,73,,20200828,B,Yes,0.007563233,0.250515902,7.644946762,1.056657532,1.403872061,10.36355549
