trichome,cutting,genotype,group,treatment,width_px,lenght_px,width_um,lenght_um,volume_um
PI_C_1_1,1,PI127826,active,Control,82,79,32,31,16094
PI_C_1_2,1,PI127826,active,Control,99,109,38,42,32366
PI_C_1_3,1,PI127826,active,Control,106,118,41,46,40169
PI_C_1_4,1,PI127826,active,Control,105,103,41,40,34404
PI_C_1_5,1,PI127826,active,Control,93,122,36,47,31969
PI_C_1_6,1,PI127826,active,Control,89,106,34,41,25438
PI_C_1_7,1,PI127826,active,Control,93,98,36,38,25680
PI_C_1_8,1,PI127826,active,Control,73,104,28,40,16791
PI_C_1_9,1,PI127826,active,Control,69,101,27,39,14569
PI_C_1_10,1,PI127826,active,Control,101,99,39,38,30597
PI_C_1_11,1,PI127826,active,Control,103,103,40,40,33106
PI_C_1_12,1,PI127826,active,Control,88,88,34,34,20646
PI_C_1_13,1,PI127826,active,Control,91,108,35,42,27096
PI_C_1_14,1,PI127826,active,Control,64,92,25,36,11417
PI_C_1_15,1,PI127826,active,Control,92,94,36,36,24105
PI_C_1_16,1,PI127826,active,Control,89,120,34,46,28798
PI_C_1_17,1,PI127826,active,Control,85,98,33,38,21452
PI_C_1_18,1,PI127826,active,Control,90,85,35,33,20859
PI_C_1_19,1,PI127826,active,Control,90,94,35,36,23068
PI_C_1_20,1,PI127826,active,Control,84,108,32,42,23088
PI_F_1_1,1,PI127826,active,Fosmidomycin,26,77,10,30,1577
PI_F_1_2,1,PI127826,active,Fosmidomycin,22,88,9,34,1290
PI_F_1_3,1,PI127826,active,Fosmidomycin,25,81,10,31,1534
PI_F_1_4,1,PI127826,active,Fosmidomycin,27,92,10,36,2032
PI_F_1_5,1,PI127826,active,Fosmidomycin,23,68,9,26,1090
PI_F_1_6,1,PI127826,active,Fosmidomycin,20,60,8,23,727
PI_F_1_7,1,PI127826,active,Fosmidomycin,33,90,13,35,2969
PI_F_1_8,1,PI127826,active,Fosmidomycin,19,61,7,24,667
PI_F_1_9,1,PI127826,active,Fosmidomycin,16,81,6,31,628
PI_F_1_10,1,PI127826,active,Fosmidomycin,29,77,11,30,1962
PI_F_1_11,1,PI127826,active,Fosmidomycin,16,72,6,28,558
PI_F_1_12,1,PI127826,active,Fosmidomycin,20,70,8,27,848
PI_F_2_1,2,PI127826,active,Fosmidomycin,30,63,12,24,1718
PI_F_2_2,2,PI127826,active,Fosmidomycin,20,50,8,19,606
PI_F_2_3,2,PI127826,active,Fosmidomycin,20,50,8,19,606
PI_F_2_4,2,PI127826,active,Fosmidomycin,19,48,7,19,525
PI_F_2_5,2,PI127826,active,Fosmidomycin,16,63,6,24,489
PI_F_2_6,2,PI127826,active,Fosmidomycin,30,69,12,27,1881
PI_F_2_7,2,PI127826,active,Fosmidomycin,25,81,10,31,1534
PI_F_2_8,2,PI127826,active,Fosmidomycin,30,98,12,38,2672
PI_F_2_9,2,PI127826,active,Fosmidomycin,24,70,9,27,1222
PI_F_2_10,2,PI127826,active,Fosmidomycin,17,68,7,26,595
PI_M_1_1,1,PI127826,active,Mevastatin,53,97,21,38,8255
PI_M_1_2,1,PI127826,active,Mevastatin,47,99,18,38,6626
PI_M_1_3,1,PI127826,active,Mevastatin,67,97,26,38,13192
PI_M_1_4,1,PI127826,active,Mevastatin,76,101,29,39,17674
PI_M_1_5,1,PI127826,active,Mevastatin,102,93,39,36,29314
PI_M_1_6,1,PI127826,active,Mevastatin,101,115,39,44,35542
PI_M_1_7,1,PI127826,active,Mevastatin,59,98,23,38,10335
PI_M_1_8,1,PI127826,active,Mevastatin,97,121,38,47,34493
PI_M_1_9,1,PI127826,active,Mevastatin,94,127,36,49,33998
PI_M_1_10,1,PI127826,active,Mevastatin,94,116,36,45,31053
PI_M_1_11,1,PI127826,active,Mevastatin,75,90,29,35,15338
PI_M_2_1,2,PI127826,active,Mevastatin,91,93,35,36,23333
PI_M_2_2,2,PI127826,active,Mevastatin,93,107,36,41,28038
PI_M_2_3,2,PI127826,active,Mevastatin,61,82,24,32,9244
PI_M_2_4,2,PI127826,active,Mevastatin,75,96,29,37,16360
PI_M_2_5,2,PI127826,active,Mevastatin,60,75,23,29,8180
PI_M_2_6,2,PI127826,active,Mevastatin,71,114,27,44,17411
PI_M_2_7,2,PI127826,active,Mevastatin,59,106,23,41,11179
303_1_1,1,F2-303,active,Control,106,99,41,38,33701
303_1_2,1,F2-303,active,Control,32,82,12,32,2544
303_1_3,1,F2-303,active,Control,28,63,11,24,1496
303_1_4,1,F2-303,active,Control,76,84,29,32,14700
