"genotype"	"phenotype"	"treatment"	"day"	"metabolite"	"mean_level"	"se"
"PI127826"	"active"	"control"	"14"	"total_MEP_terpenes"	7.12333333333333	2.2490689431654
"PI127826"	"active"	"control"	"14"	"total_MVA_terpenes"	5.21	1.62370974417638
"PI127826"	"active"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.14	0.06
"PI127826"	"active"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.065	0.005
"PI127826"	"active"	"mevastatin"	"14"	"total_MEP_terpenes"	4.7	0.5081666393353
"PI127826"	"active"	"mevastatin"	"14"	"total_MVA_terpenes"	3.24333333333333	0.245651062371903
"73"	"active"	"control"	"14"	"total_MEP_terpenes"	5.45482522433333	0.402494289897329
"73"	"active"	"control"	"14"	"total_MVA_terpenes"	1.36123446266667	0.190370447369335
"73"	"active"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.115803667333333	0.0672772021699085
"73"	"active"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0	0
"73"	"active"	"mevastatin"	"14"	"total_MEP_terpenes"	4.163918631	0.372755574581913
"73"	"active"	"mevastatin"	"14"	"total_MVA_terpenes"	1.17322945066667	0.0635344288125976
"CV"	"lazy"	"control"	"14"	"total_MEP_terpenes"	0.133333333333333	0.0166666666666667
"CV"	"lazy"	"control"	"14"	"total_MVA_terpenes"	0.0333333333333333	0.0202758751009941
"CV"	"lazy"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.0833333333333333	0.0176383420737639
"CV"	"lazy"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.04	0.0115470053837925
"CV"	"lazy"	"mevastatin"	"14"	"total_MEP_terpenes"	0.125	0.025
"CV"	"lazy"	"mevastatin"	"14"	"total_MVA_terpenes"	0.035	0.015
"411"	"lazy"	"control"	"14"	"total_MEP_terpenes"	0.163333333333333	0.0260341655863555
"411"	"lazy"	"control"	"14"	"total_MVA_terpenes"	0.0733333333333333	0.00333333333333333
"411"	"lazy"	"fosmidomycin"	"14"	"total_MEP_terpenes"	0.06	0.00577350269189626
"411"	"lazy"	"fosmidomycin"	"14"	"total_MVA_terpenes"	0.0433333333333333	0.0185592145427667
"411"	"lazy"	"mevastatin"	"14"	"total_MEP_terpenes"	0.17	0.0404145188432738
"411"	"lazy"	"mevastatin"	"14"	"total_MVA_terpenes"	0.103333333333333	0.0176383420737639
