"IDENTIFIER"	"VALUE"
"Solyc09g092470"	6.67004674132977
"Solyc07g052150"	5.93427172313647
"Solyc05g005540"	4.9573782192478
"Solyc04g150101"	4.26221241624114
"Solyc09g014590"	4.19686974894592
"Solyc01g090710"	4.05014298981125
"Solyc02g070950"	3.9904784329827
"Solyc10g049780"	3.95190654272542
"Solyc06g084190"	3.84237645968997
"Solyc01g080790"	3.73989927895353
"Solyc01g086700"	3.65340821450943
"Solyc10g008440"	3.59710570394144
"Solyc02g070970"	3.55446628506854
"Solyc09g011870"	3.5285294474389
"Solyc02g071000"	3.51638118845902
"Solyc04g007010"	3.42542028898987
"Solyc07g052510"	3.36778611654756
"Solyc05g150137"	3.3542564484304
"Solyc10g087030"	3.30570011234281
"Solyc10g150105"	3.27858785603363
"Solyc12g038130"	3.22257924897157
"Solyc01g108780"	3.13604771712091
"Solyc05g047580"	3.10493890100477
"Solyc01g088275"	3.07987363440658
"Solyc12g008650"	3.07759852955437
"Solyc09g090600"	3.0743205244599
"Solyc01g110590"	3.02707975363212
"Solyc04g077380"	3.0021256267362
"Solyc01g110630"	2.96514888289511
"Solyc06g054320"	2.95750221248391
"Solyc02g083190"	2.92611338132256
"Solyc03g043740"	2.92229344433113
"Solyc10g008700"	2.91611720832933
"Solyc03g120380"	2.9010276107724
"Solyc10g080870"	2.9008819989644
"Solyc10g008860"	2.89637457058508
"Solyc02g076920"	2.88000939575282
"Solyc06g062370"	2.86865247263882
"Solyc01g088300"	2.85038384466328
"Solyc12g005480"	2.83300716445609
"Solyc02g089350"	2.81143316318292
"Solyc10g009010"	2.80511366650325
"Solyc01g094090"	2.78471062249207
"Solyc05g054090"	2.78338248476979
"Solyc05g009410"	2.75635580010332
"Solyc04g074340"	2.75007642202699
"Solyc07g062100"	2.71908216529659
"Solyc07g054170"	2.7047269847253
"Solyc02g070980"	2.69959809392531
"Solyc12g015690"	2.68516158159828
"Solyc02g080120"	2.66064200014042
"Solyc09g059170"	2.65259859765468
"Solyc04g054280"	2.63613568296969
"Solyc11g007250"	2.61418547173875
"Solyc06g008057"	2.60996661816498
"Solyc07g053640"	2.58663823420712
"Solyc07g054310"	2.56933141146391
"Solyc12g009420"	2.54920523316847
"Solyc08g068190"	2.54851018205979
"Solyc02g083040"	2.5442921300154
"Solyc03g121170"	2.54043763698628
"Solyc12g009160"	2.5194175448318
"Solyc04g016200"	2.50748924478323
"Solyc02g084210"	2.49613282273095
"Solyc04g005320"	2.48974173126054
"Solyc07g066000"	2.48534116826669
"Solyc02g076990"	2.4803984085606
"Solyc03g115750"	2.45965744897082
"Solyc10g008710"	2.44927060735871
"Solyc05g007010"	2.44497671747723
"Solyc04g078740"	2.41895821595107
"Solyc04g081790"	2.40994047283234
"Solyc01g067510"	2.40985899317406
"Solyc04g007820"	2.40752953568998
"Solyc02g092460"	2.39847528274761
"Solyc11g018530"	2.39431574853733
"Solyc01g094870"	2.38882503531403
"Solyc10g009540"	2.38296639355218
"Solyc08g005700"	2.37944323694104
"Solyc04g150104"	2.37307880607902
"Solyc02g030480"	2.37122079293144
"Solyc03g093060"	2.37027802764186
"Solyc03g059190"	2.36382546490117
"Solyc09g061890"	2.36241021739071
"Solyc02g090970"	2.35963526572791
"Solyc03g110990"	2.35703265473467
"Solyc09g014940"	2.3555152219518
"Solyc07g006730"	2.34542223534137
"Solyc07g053540"	2.34280050854753
"Solyc12g049400"	2.33234579488795
"Solyc08g080290"	2.33187939189031
"Solyc08g007830"	2.33123624205334
"Solyc05g007450"	2.32833455832127
"Solyc05g015060"	2.32758752583784
"Solyc07g008680"	2.32636859093607
"Solyc08g006370"	2.32391518232506
"Solyc01g110570"	2.31607746487887
"Solyc10g076940"	2.31045138110364
"Solyc04g056390"	2.30208083378339
"Solyc02g071310"	2.29998679624852
"Solyc10g007635"	2.29825634100458
"Solyc08g082720"	2.29645733794929
"Solyc09g075400"	2.28674513360146
"Solyc01g007000"	2.27725766401852
"Solyc03g034000"	2.27318123801656
"Solyc01g110555"	2.26877019700396
"Solyc04g079570"	2.26239152669455
"Solyc10g084730"	2.25482509195395
"Solyc10g006920"	2.24788289183352
"Solyc03g006470"	2.2464639823837
"Solyc06g069730"	2.24633405284789
"Solyc01g006540"	2.23568038254488
"Solyc10g008030"	2.23203654982232
"Solyc06g059710"	2.23047064026944
"Solyc03g111815"	2.22648208845435
"Solyc10g048190"	2.21398291832216
"Solyc06g005980"	2.21223420034727
"Solyc04g082140"	2.20224752793704
"Solyc01g099050"	2.19763461438503
"Solyc02g089620"	2.19428374141815
"Solyc02g070755"	2.19027655726812
"Solyc07g065130"	2.18966655078154
"Solyc08g068665"	2.17989877397347
"Solyc10g075110"	2.17855108062745
"Solyc03g005810"	2.17765538040469
"Solyc03g097700"	2.17640274306418
"Solyc10g005740"	2.17199678790519
"Solyc02g091260"	2.17112502835245
"Solyc07g055730"	2.17104578886401
"Solyc07g051940"	2.16791496091725
"Solyc10g084720"	2.16765809241514
"Solyc03g078260"	2.16692015486264
"Solyc07g043070"	2.16503130407208
"Solyc09g082670"	2.15904335746046
"Solyc09g082700"	2.15531353899329
"Solyc02g080160"	2.15453935695326
"Solyc06g076160"	2.14742748545515
"Solyc04g056713"	2.14701083533247
"Solyc04g025755"	2.13657930717328
"Solyc06g083580"	2.12357492728892
"Solyc10g084890"	2.11224695012882
"Solyc10g049660"	2.09959973825766
"Solyc05g056550"	2.09845220348097
"Solyc10g008200"	2.09608633213215
"Solyc01g057320"	2.09534575810349
"Solyc05g054610"	2.0940461775425
"Solyc02g080550"	2.09378589448724
"Solyc01g105000"	2.08974146916082
"Solyc09g075880"	2.07923326862948
"Solyc10g080360"	2.07674394448377
"Solyc04g083150"	2.06947154707448
"Solyc01g104230"	2.06879040372656
"Solyc07g054930"	2.06457753725623
"Solyc05g007950"	2.06280743699687
"Solyc01g105080"	2.05622254750324
"Solyc11g020640"	2.05584093489475
"Solyc05g054060"	2.0528430822996
"Solyc05g012360"	2.05141752769005
"Solyc07g055950"	2.05084812577322
"Solyc08g076800"	2.04927433548833
"Solyc03g093790"	2.04573386701571
"Solyc11g006090"	2.04283948198288
"Solyc08g079850"	2.04122628719744
"Solyc06g063110"	2.03986716315619
"Solyc08g063090"	2.03815710224337
"Solyc08g067030"	2.03121436923288
"Solyc02g067970"	2.02783004422323
"Solyc11g007870"	2.02697125431975
"Solyc03g115890"	2.01577242616993
"Solyc11g005710"	2.01556284235679
"Solyc04g081870"	2.01379864541968
"Solyc03g045150"	2.01166788001483
"Solyc07g016160"	2.01097779117612
"Solyc06g053540"	2.00856117286895
"Solyc03g033510"	2.00680423609637
"Solyc02g090930"	2.00500243905765
"Solyc09g065565"	1.99655643988351
"Solyc07g054870"	1.9961434965588
"Solyc08g083220"	1.99396932299009
"Solyc07g020870"	1.99257801595181
"Solyc03g005900"	1.98161820132131
"Solyc04g005130"	1.9772747260543
"Solyc12g019140"	1.97514234148127
"Solyc09g091800"	1.97176781793856
"Solyc06g069550"	1.97082521013166
"Solyc02g089880"	1.96408119591921
"Solyc02g093280"	1.96008775985441
