IDENTIFIER	VALUE
Solyc00g013180	-1.475053664
Solyc00g014790	-0.15369949
Solyc00g014850	-1.934555878
Solyc00g019750	-1.261549572
Solyc00g019950	-1.074115601
Solyc00g019970	-1.73957298
Solyc00g019980	-2.248348926
Solyc00g019990	-1.51545737
Solyc00g020000	-2.170777018
Solyc00g020010	-1.562469493
Solyc00g020020	-1.632291854
Solyc00g020040	0.296901351
Solyc00g021630	0.051984877
Solyc00g021640	-1.693721193
Solyc00g021660	-1.397492641
Solyc00g022100	-0.382648887
Solyc00g023590	-0.651585951
Solyc00g025400	-1.061859053
Solyc00g047200	0.361831687
Solyc00g049210	-1.330536819
Solyc00g052430	-0.818123775
Solyc00g069880	0.128981113
Solyc00g072800	-0.613150153
Solyc00g094530	-0.928474728
Solyc00g094540	-1.315678942
Solyc00g112190	-0.129622837
Solyc00g118680	-0.886297773
Solyc00g118690	-1.064766434
Solyc00g125980	-2.045960354
Solyc00g125990	-0.782984914
Solyc00g142170	-1.251090721
Solyc00g180440	-0.824117691
Solyc00g244290	-2.23527822
Solyc00g277510	0.638323246
Solyc00g320430	-2.333661822
Solyc00g500002	0.676798958
Solyc00g500020	-0.448965253
Solyc00g500021	0.099162792
Solyc00g500022	-0.520445054
Solyc00g500023	-0.946018345
Solyc00g500024	-0.261429215
Solyc00g500025	0.329677189
Solyc00g500027	-0.247988301
Solyc00g500028	-0.050596838
Solyc00g500030	-0.867263572
Solyc00g500031	-0.601145366
Solyc00g500032	-0.596543619
Solyc00g500034	-0.628197719
Solyc00g500035	-0.023283942
Solyc00g500036	-0.338725499
Solyc00g500037	-0.135704046
Solyc00g500039	-0.423538075
Solyc00g500041	-0.847181072
Solyc00g500042	-0.580065977
Solyc00g500044	-0.423538075
Solyc00g500046	-0.135704046
Solyc00g500047	-0.240956362
Solyc00g500048	-0.848957768
Solyc00g500052	-1.526710092
Solyc00g500053	-0.557009465
Solyc00g500054	-0.052233762
Solyc00g500055	0.848537365
Solyc00g500056	0.277558366
Solyc00g500057	0.085859158
Solyc00g500058	-0.82089527
Solyc00g500059	-0.607410265
Solyc00g500060	-1.110447243
Solyc00g500061	-0.342839604
Solyc00g500062	-0.332888497
Solyc00g500063	-0.957761122
Solyc00g500065	-0.438097004
Solyc00g500066	-1.031457725
Solyc00g500067	-0.448965253
Solyc00g500068	0.099162792
Solyc00g500069	-1.416867189
Solyc00g500071	-0.261429215
Solyc00g500075	-0.867263572
Solyc00g500076	-0.601145366
Solyc00g500077	-0.596543619
Solyc00g500079	-0.023283942
Solyc00g500080	-0.338725499
Solyc00g500081	-0.135704046
Solyc00g500083	-0.423538075
Solyc00g500084	-0.864216089
Solyc00g500085	-0.019387764
Solyc00g500088	-0.507552961
Solyc00g500099	-0.919176521
Solyc00g500100	-1.179837826
Solyc00g500107	-0.270340285
Solyc00g500111	-0.119287611
Solyc00g500113	-0.47365935
Solyc00g500128	-0.135704046
Solyc00g500129	-0.062955978
Solyc00g500130	-0.311714216
Solyc00g500131	-0.848957768
Solyc00g500135	-1.526710092
Solyc00g500136	-0.052233762
Solyc00g500137	0.848537365
Solyc00g500138	0.277558366
Solyc00g500143	-0.904264261
Solyc00g500144	-0.607410265
Solyc00g500146	-0.586403745
Solyc00g500157	-0.496523676
Solyc00g500158	-1.281039646
Solyc00g500167	-1.737059129
Solyc00g500169	-0.849994264
Solyc00g500172	-1.629956135
Solyc00g500182	-1.554589505
Solyc00g500183	-2.009460032
Solyc00g500184	-0.801497229
Solyc00g500185	-0.206958844
Solyc00g500187	-1.598028838
Solyc00g500189	-1.629956135
Solyc00g500190	0.06638436
Solyc00g500191	-0.510092822
Solyc00g500192	-0.402801097
Solyc00g500195	-0.919966801
Solyc00g500196	-0.92077594
Solyc00g500198	-0.135704046
Solyc00g500199	-0.062955978
Solyc00g500200	-0.311714216
Solyc00g500201	-0.848957768
Solyc00g500205	-1.526710092
Solyc00g500206	-0.052233762
Solyc00g500207	0.848537365
Solyc00g500208	0.277558366
Solyc00g500209	0.085859158
Solyc00g500210	-0.82089527
Solyc00g500211	-0.607410265
Solyc00g500223	0.625716599
Solyc00g500226	-0.76916665
Solyc00g500228	-1.424089605
Solyc00g500238	0.035981004
Solyc00g500241	-0.869764572
Solyc00g500243	-0.879264518
Solyc00g500245	-1.396291623
Solyc00g500250	-0.87042695
Solyc00g500251	-1.598028838
Solyc00g500253	-1.629956135
Solyc00g500254	-1.155782428
Solyc00g500256	-0.323328925
Solyc00g500257	-1.514256073
Solyc00g500260	-0.855525883
Solyc00g500261	0.701600422
Solyc00g500262	-0.76916665
Solyc00g500263	-2.656565462
Solyc00g500268	0.928375764
Solyc00g500272	-0.919176521
Solyc00g500273	-1.159250731
Solyc00g500274	-1.179837826
