target_id	annotation	localiSation
Solyc04g039670	alpha chain of ATP-dependent citrate lyaSe complex	cytoSol
Solyc05g005160	alpha chain of ATP-dependent citrate lyaSe complex	cytoSol
Solyc01g101040	alpha chain of ATP-dependent citrate lyaSe complex	cytoSol
Solyc01g059880	beta chain of ATP-dependent citrate lyaSe complex	cytoSol
Solyc12g099260	beta chain of ATP-dependent citrate lyaSe complex	cytoSol
Solyc09g090140	cytoSolic NAD-dependent malate dehydrogenaSe	cytoSol
Solyc01g090710	cytoSolic NAD-dependent malate dehydrogenaSe	cytoSol
Solyc05g050120	cytoSolic NADP-dependent malic enzyme	cytoSol
Solyc08g066360	cytoSolic NADP-dependent malic enzyme	cytoSol
Solyc12g008430	cytoSolic NADP-dependent malic enzyme	cytoSol
Solyc12g044600	cytoSolic NADP-dependent malic enzyme	cytoSol
Solyc03g120990	cytoSolic NADP-dependent malic enzyme	cytoSol
Solyc01g005620	mitochondrial dicarboxylate tranSporter	mitochondria
Solyc08g008420	mitochondrial pyruvate tranSporter	mitochondria
Solyc08g082755	mitochondrial pyruvate tranSporter	mitochondria
Solyc06g071890	mitochondrial pyruvate tranSporter	mitochondria
Solyc10g051120	mitochondrial pyruvate tranSporter	mitochondria
Solyc11g012080	mitochondrial pyruvate tranSporter	mitochondria
Solyc04g005080	Subunit alpha of pyruvate dehydrogenaSe E1 component Subcomplex	mitochondria
Solyc05g006520	Subunit alpha of pyruvate dehydrogenaSe E1 component Subcomplex	mitochondria
Solyc06g072580	Subunit beta of pyruvate dehydrogenaSe E1 component Subcomplex	mitochondria
Solyc05g024160	Subunit beta of pyruvate dehydrogenaSe E1 component Subcomplex	mitochondria
Solyc03g097680	Subunit beta of pyruvate dehydrogenaSe E1 component Subcomplex	mitochondria
Solyc07g006790	component E2 of mitochondrial pyruvate dehydrogenaSe complex	mitochondria
Solyc11g007720	component E2 of mitochondrial pyruvate dehydrogenaSe complex	mitochondria
Solyc05g053300	component E3 of mitochondrial pyruvate dehydrogenaSe complex	mitochondria
Solyc12g099100	component E3 of mitochondrial pyruvate dehydrogenaSe complex	mitochondria
Solyc12g098930	pyruvate dehydrogenaSe kinaSe	mitochondria
Solyc01g057210	pyruvate dehydrogenaSe kinaSe	mitochondria
