target_id	annotation	localisation
Solyc11g010450	ATP-dependent phosphofructokinase	plastid
Solyc04g014270	ATP-dependent phosphofructokinase	plastid
Solyc02g084440	"fructose-1,6-bisphosphate aldolase"	plastid
Solyc02g062340	"fructose-1,6-bisphosphate aldolase"	plastid
Solyc05g008600	"fructose-1,6-bisphosphate aldolase"	plastid
Solyc01g110360	"fructose-1,6-bisphosphate aldolase"	plastid
Solyc10g054870	triosephosphate isomerase	plastid
Solyc01g111120	triosephosphate isomerase	plastid
Solyc10g005510	glyceraldehyde 3-phosphate dehydrogenase	plastid
Solyc07g066610	phosphoglycerate kinase	plastid
Solyc04g072800	phosphoglycerate mutase	plastid
Solyc04g054820	phosphoglycerate mutase	plastid
Solyc03g114500	enolase	plastid
Solyc01g106780	pyruvate kinase	plastid
Solyc03g007810	pyruvate kinase	plastid
Solyc08g077180	pyruvate kinase	plastid
Solyc09g082970	pyruvate kinase	plastid
Solyc12g095880	ATP-dependent phosphofructokinase	cytosol
Solyc04g072580	ATP-dependent phosphofructokinase	cytosol
Solyc08g066100	ATP-dependent phosphofructokinase	cytosol
Solyc07g045160	ATP-dependent phosphofructokinase	cytosol
Solyc03g093520	ATP-dependent phosphofructokinase	cytosol
Solyc07g049280	pyrophosphate-dependent phosphofructokinase	cytosol
Solyc02g081160	pyrophosphate-dependent phosphofructokinase	cytosol
Solyc04g082880	pyrophosphate-dependent phosphofructokinase	cytosol
Solyc12g095760	pyrophosphate-dependent phosphofructokinase	cytosol
Solyc07g065900	aldolase	cytosol
Solyc10g083570	aldolase	cytosol
Solyc09g009260	aldolase	cytosol
Solyc06g005490	triosephosphate isomerase	cytosol
Solyc04g011510	triosephosphate isomerase	cytosol
Solyc05g014470	NAD-dependent glyceraldehyde 3-phosphate dehydrogenase	cytosol
Solyc05g005820	NAD-dependent glyceraldehyde 3-phosphate dehydrogenase	cytosol
Solyc06g071920	NAD-dependent glyceraldehyde 3-phosphate dehydrogenase	cytosol
Solyc03g111010	NAD-dependent glyceraldehyde 3-phosphate dehydrogenase	cytosol
Solyc07g005390	NADP-dependent glyceraldehyde 3-phosphate dehydrogenase	cytosol
Solyc07g066600	phosphoglycerate kinase	cytosol
Solyc10g045100	phosphoglycerate mutase	cytosol
Solyc01g098590	phosphoglycerate mutase	cytosol
Solyc08g081390	phosphoglycerate mutase	cytosol
Solyc10g045430	phosphoglycerate mutase	cytosol
Solyc01g098580	phosphoglycerate mutase	cytosol
Solyc06g076650	enolase	cytosol
Solyc04g008740	pyruvate kinase	cytosol
Solyc01g049650	pyruvate kinase	cytosol
