gene	annotation	pathway	F2-151	F2-411	F2-455	Elite	F1	PI127826	F2-73	F2-127
Solyc04g015100	AACT	MVA	3	1	1	1	2	3	2	3
Solyc05g017760	AACT	MVA	2	2	3	1	2	3	2	2
Solyc07g045350	AACT	MVA	1	3	2	1	2	3	3	3
Solyc08g007790	HMGS	MVA	3	3	1	1	2	3	2	3
Solyc08g080170	HMGS	MVA	3	3	1	1	2	3	2	2
Solyc12g056450	HMGS	MVA	1	3	3	1	1	3	1	1
Solyc02g038740	HMGR	MVA	1	1	1	1	2	3	1	2
Solyc02g082260	HMGR	MVA	2	1	3	1	2	3	1	1
Solyc03g032020	HMGR	MVA	2	3	2	1	2	3	2	2
Solyc01g098840	MVK	MVA	2	3	3	1	2	3	3	3
Solyc08g076140	pMVK	MVA	2	3	2	1	2	3	1	1
Solyc06g066310	pMVK	MVA	2	2	2	1	2	3	3	3
Solyc04g009650	MDC	MVA	3	1	1	1	2	3	1	1
Solyc11g007020	MDC	MVA	1	2	1	1	2	3	2	3
Solyc05g055760	IDI2	MVA	1	3	3	1	2	3	3	2
Solyc08g075390	Nudix	MVA	2	3	2	1	2	3	2	1
Solyc04g005520	IPK	MVA	2	1	2	1	2	3	1	1
Solyc01g067890	DXS	MEP	2	2	2	1	2	1	2	3
Solyc11g010850	DXS	MEP	1	1	1	1	2	3	2	3
Solyc08g066950	DXS	MEP	1	3	2	1	2	3	1	1
Solyc03g114340	DXR	MEP	2	2	2	1	2	3	2	2
Solyc01g102820	MCT	MEP	2	2	2	1	2	3	3	3
Solyc01g009010	CMK	MEP	2	3	3	1	2	3	2	2
Solyc08g081570	MDS	MEP	1	3	1	1	2	3	1	1
Solyc11g069380	HDS	MEP	1	2	1	1	2	3	1	1
Solyc01g109300	HDR	MEP	2	2	3	1	2	3	3	3
Solyc04g056390	IDI1	MEP	2	2	2	1	2	3	3	3
Solyc08g005680	zFPS/NDPS	MEP	3	3	3	3	2	3	3	3
Solyc08g005677	ZIS/PHS1	MEP	3	3	3	3	2	3	3	3
