"target_id"	"annotation"	"structure"	"localisation"	"log2FoldChange"	"padj"
"Solyc06g059910"	"TPS10"	"functional"	"cytosol"	NA	NA
"Solyc06g059920"	"TPS10"	"functional"	"cytosol"	NA	NA
"Solyc06g059930"	"TPS12"	"functional"	"cytosol"	0.408805098151451	0.999925131801308
"Solyc09g092470"	"TPS14"	"functional"	"cytosol"	2.93015016636185	0.999925131801308
"Solyc07g008680"	"TPS16"	"functional"	"cytosol"	2.65048271220491	0.999925131801308
"Solyc07g008690"	"TPS16"	"functional"	"cytosol"	0.971779350450183	0.999925131801308
"Solyc12g006570"	"TPS17"	"functional"	"cytosol"	2.24550455389517	0.999925131801308
"Solyc08g005720"	"TPS18"	"functional"	"mitochondria"	0.277749268551553	0.999925131801308
"Solyc08g005670"	"TPS19"	"functional"	"plastid"	2.43832642488453	0.999925131801308
"Solyc08g005677"	"TPS20"	"functional"	"plastid"	2.09671126727694	0.999925131801308
"Solyc08g005640"	"TPS21"	"functional"	"plastid"	-0.17770861285054	0.999925131801308
"Solyc07g066670"	"TPS24"	"functional"	"plastid"	NA	NA
"Solyc07g066675"	"TPS24"	"functional"	"plastid"	NA	NA
"Solyc02g079890"	"TPS25"	"functional"	"cytosol"	NA	NA
"Solyc02g079910"	"TPS27"	"functional"	"cytosol"	NA	NA
"Solyc00g154480"	"TPS27"	"functional"	"cytosol"	NA	NA
"Solyc04g054380"	"TPS28"	"functional"	"cytosol"	NA	NA
"Solyc01g105870"	"TPS3"	"functional"	"plastid"	-6.77659524879287	NA
"Solyc01g101170"	"TPS31"	"functional"	"cytosol"	3.78244481974374	0.999925131801308
"Solyc01g101180"	"TPS32"	"functional"	"cytosol"	NA	NA
"Solyc01g101190"	"TPS33"	"functional"	"cytosol"	NA	NA
"Solyc01g101210"	"TPS35"	"functional"	"cytosol"	NA	NA
"Solyc06g060180"	"TPS36"	"functional"	"mitochondria"	NA	NA
"Solyc10g005410"	"TPS37"	"functional"	"cytosol"	2.63545705540258	0.999925131801308
"Solyc02g079840"	"TPS38"	"functional"	"cytosol"	NA	NA
"Solyc10g005390"	"TPS39"	"functional"	"cytosol"	0.97794933517811	0.999925131801308
"Solyc01g105880"	"TPS4"	"functional"	"plastid"	-0.498835492892869	0.999925131801308
"Solyc06g084240"	"TPS40"	"functional"	"plastid"	-1.56651764596684	0.999925131801308
"Solyc08g005710"	"TPS41"	"functional"	"mitochondria"	1.6594993363702	0.999925131801308
"Solyc03g006550"	"TPS46"	"functional"	"cytosol"	1.3364070899314	0.999925131801308
"Solyc03g007730"	"TPS47"	"functional"	"cytosol"	NA	NA
"Solyc04g051620"	"TPS48"	"functional"	"cytosol"	NA	NA
"Solyc01g105890"	"TPS5"	"functional"	"plastid"	0.561880639482906	0.999925131801308
"Solyc07g052120"	"TPS51"	"functional"	"cytosol"	NA	NA
"Solyc07g052130"	"TPS51"	"functional"	"cytosol"	NA	NA
"Solyc07g052140"	"TPS52"	"functional"	"cytosol"	NA	NA
"Solyc07g052150"	"TPS52"	"functional"	"cytosol"	2.58927339950467	0.999925131801308
"Solyc01g105920"	"TPS7"	"functional"	"plastid"	-0.512378621618378	0.999925131801308
"Solyc01g105960"	"TPS8"	"functional"	"cytosol"	0.159213565872576	0.999925131801308
"Solyc06g059930"	"TPS9"	"functional"	"cytosol"	0.408805098151451	0.999925131801308
"Solyc01g101190"	"TPS34"	"pseudogene"	""	NA	NA
"Solyc01g101220"	"TPS30"	"pseudogene"	""	NA	NA
"Solyc01g105850"	"TPS1"	"pseudogene"	""	1.58724213779161	0.999925131801308
"Solyc01g105860"	"TPS1"	"pseudogene"	""	1.78123036587886	0.999925131801308
"Solyc01g105900"	"TPS6"	"pseudogene"	""	0.00525253727232826	0.999925131801308
"Solyc01g105910"	"TPS2"	"pseudogene"	""	NA	NA
"Solyc01g105930"	"TPS22"	"pseudogene"	""	1.57445253784973	0.999925131801308
"Solyc01g105940"	"TPS22"	"pseudogene"	""	-0.341961635299804	0.999925131801308
"Solyc01g105950"	"TPS22"	"pseudogene"	""	NA	NA
"Solyc02g079900"	"TPS26"	"pseudogene"	""	NA	NA
"Solyc02g079895"	"TPS26"	"pseudogene"	""	NA	NA
"Solyc03g112175"	"TPS49"	"pseudogene"	""	NA	NA
"Solyc04g005100"	"TPS50"	"pseudogene"	""	-1.67717446107582	0.999925131801308
"Solyc05g026590"	"TPS43"	"pseudogene"	""	0.0757636275493497	0.999925131801308
"Solyc05g026600"	"TPS43"	"pseudogene"	""	-0.263993893717855	0.999925131801308
"Solyc06g059885"	"TPS23"	"pseudogene"	""	NA	NA
"Solyc06g059880"	"TPS23"	"pseudogene"	""	-1.0509318223553	0.999925131801308
"Solyc06g059930"	"TPS11"	"pseudogene"	""	0.408805098151451	0.999925131801308
"Solyc06g060010"	"TPS13"	"pseudogene"	""	-0.972431088431507	0.999925131801308
"Solyc06g060013"	"TPS13"	"pseudogene"	""	NA	NA
"Solyc07g051940"	"TPS15"	"pseudogene"	""	1.19153269483575	0.999925131801308
"Solyc09g065230"	"TPS44"	"pseudogene"	""	NA	NA
"Solyc10g005420"	"TPS42"	"pseudogene"	""	NA	NA
"Solyc10g052745"	"TPS53"	"pseudogene"	""	NA	NA
"Solyc12g019240"	"TPS29"	"pseudogene"	""	NA	NA
