IDENTIFIER	VALUE
Solyc00g500023	-0.437679292
Solyc00g500061	-0.038833644
Solyc00g500062	-0.392343061
Solyc00g500063	-0.834260456
Solyc00g500064	-0.88333482
Solyc00g500065	0.474467082
Solyc00g500066	0.518260639
Solyc00g500074	-0.496515794
Solyc00g500103	1.7814139
Solyc00g118690	1.436193625
Solyc00g023600	0.417820307
Solyc00g023590	0.43376139
Solyc00g023580	1.921872751
Solyc00g023570	1.424176986
Solyc00g014850	2.244745522
Solyc00g500183	0.81336181
Solyc00g500184	0.538065502
Solyc00g500185	0.335424312
Solyc00g014790	0.746582211
Solyc00g094540	1.694400916
Solyc00g094530	1.699071201
Solyc00g094520	1.905758694
Solyc00g500193	0.260041592
Solyc00g500228	1.136863039
Solyc00g020040	-0.113462493
Solyc00g020030	1.378414352
Solyc00g020020	1.344360002
Solyc00g020010	1.321910551
Solyc00g020000	1.398278763
Solyc00g019990	2.025643405
Solyc00g019980	1.930237853
Solyc00g019970	1.862746876
Solyc00g019950	1.267099944
Solyc00g500250	0.929055215
Solyc00g021650	1.207950713
Solyc00g021640	1.727522491
Solyc00g021630	-0.414477171
Solyc00g500254	1.05725069
Solyc00g181240	-0.091085729
Solyc00g181250	0.655612803
Solyc00g500353	0.38414997
Solyc00g500373	0.156251755
Solyc01g005000	-0.344435236
Solyc01g005010	0.590256032
Solyc01g005020	-0.400852237
Solyc01g005030	-0.249721428
Solyc01g005040	0.91599919
Solyc01g005060	0.777203415
Solyc01g005080	0.074758235
Solyc01g005100	-0.054514373
Solyc01g005110	-0.200078961
Solyc01g005120	0.699631025
Solyc01g005130	-0.199503673
Solyc01g005140	1.048791694
Solyc01g005210	-0.271972612
Solyc01g005180	1.172811314
Solyc01g005220	0.232646019
Solyc01g005230	2.338490803
Solyc01g005240	0.218038505
Solyc01g005250	0.084224178
Solyc01g005253	-0.722473744
Solyc01g005257	-0.27896902
Solyc01g005280	-1.090618431
Solyc01g005290	0.26825003
Solyc01g005300	-0.32992511
Solyc01g005320	-1.284385874
Solyc01g005330	-0.504692608
Solyc01g005340	-0.662952789
Solyc01g005350	1.197397642
Solyc01g005360	0.920785259
Solyc01g005370	-0.774739603
Solyc01g005380	0.129021433
Solyc01g005400	1.0699888
Solyc01g005410	1.110051774
Solyc01g005420	0.019456354
Solyc01g005430	-0.295768026
Solyc01g005440	-0.129223252
Solyc01g005450	-0.913558103
Solyc01g005460	-0.193077014
Solyc01g005470	-1.267360958
Solyc01g005480	-0.257893259
Solyc01g005490	-0.123193401
Solyc01g005500	1.272963757
Solyc01g005510	-2.632630248
Solyc01g005520	-0.40371255
Solyc01g005530	0.060064858
Solyc01g005540	-0.753881631
Solyc01g005550	-0.005030559
Solyc01g005560	-0.911293637
Solyc01g005570	-0.233446115
Solyc01g005580	-0.56073368
Solyc01g005590	0.663618694
Solyc01g005600	-0.150349589
Solyc01g005620	-0.148514537
