Sequence_ID	annotation
Solyc10g005840	Farnesyl pyrophosphate synthase 
Solyc10g005820	Farnesyl pyrophosphate synthase 
Solyc06g066310	Phosphomevalonate kinase 
Solyc03g032010	Hydroxy-methylglutaryl-coenzyme A reductase 
Solyc08g005660	Undecaprenyl pyrophosphate synthase 
Solyc11g007020	Diphosphomevalonate decarboxylase-like protein 
Solyc01g109300	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 
Solyc03g114340	1-deoxy-D-xylulose-5-phosphate reductoisomerase 
Solyc07g045350	Acetyl-CoA C-acetyltransferase protein 
Solyc04g079960	Geranylgeranyl pyrophosphate synthase 2 
Solyc08g081570	2-C-methyl-D-erythritol 2 4-cyclodiphosphate synthase 
Solyc01g009010	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase 
Solyc03g032020	Hydroxy-methylglutaryl-coenzyme A reductase 
Solyc11g069380	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase 
Solyc05g055760	Isopentenyl-diphosphate delta-isomerase 
Solyc11g010850	1-deoxy-D-xylulose 5-phosphate synthase 2 
Solyc08g005680	Undecaprenyl pyrophosphate synthase 
Solyc02g085700	Geranylgeranyl pyrophosphate synthase 
Solyc08g075390	Isopentenyl-diphosphate delta-isomerase family protein 
Solyc01g102820	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 
Solyc08g007790	Hydroxymethylglutaryl-CoA synthase 
Solyc08g080170	Hydroxymethylglutaryl-CoA synthase 
Solyc09g008920	Geranylgeranyl pyrophosphate synthase 
Solyc05g017760	Acetyl-CoA C-acetyltransferase 
Solyc12g056450	Hydroxymethylglutaryl-CoA synthase 
Solyc08g023470	Solanesyl diphosphate synthase 
Solyc01g067890	1-deoxy-D-xylulose 5-phosphate synthase 1 
Solyc07g061990	Solanesyl diphosphate synthase 
Solyc02g085710	Geranylgeranyl pyrophosphate synthase 
Solyc02g038740	3-hydroxy-3-methylglutaryl coenzyme A reductase 
Solyc04g056390	Isopentenyl-diphosphate delta-isomerase 
Solyc01g098840	Mevalonate kinase 
Solyc08g066950	1-deoxy-D-xylulose 5-phosphate synthase 3 
Solyc12g015860	Farnesyl pyrophosphate synthase 
Solyc06g076920	Undecaprenyl pyrophosphate synthase 
Solyc02g082260	Hydroxy-methylglutaryl-coenzyme A reductase 
Solyc08g076140	Phosphomevalonate kinase 
Solyc04g015100	Acetyl-CoA C-acetyltransferase protein 
Solyc04g009650	Diphosphomevalonate decarboxylase-like protein 
Solyc02g085720	Geranylgeranyl pyrophosphate synthase 
Solyc00g136560	Undecaprenyl pyrophosphate synthase 
Solyc10g085150	Undecaprenyl pyrophosphate synthase 
Solyc03g025560	Undecaprenyl pyrophosphate synthase 
Solyc10g085140	Undecaprenyl pyrophosphate synthase 
