Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Elite_2017_fastp	37.0563	0.966301	9237576046.0	0.420304	96.88581279139457	0.8195598302229542
Elite_2021_fastp	45.7833	0.961217	1454353187.0	0.42144	96.21196982136688	4.097348373564027
F2-127_fastp	19.235	0.890017	6911862096.0	0.420262	96.73193343315457	0.9805033212836991
F2-151_fastp	22.707	0.881596	6215916091.0	0.419968	96.65133266083731	0.9329136246236529
F2-28_1_fastp	43.7903	0.952685	1442940808.0	0.433165	99.53678741654343	
F2-28_2_fastp	46.4656	0.957261	1449261033.0	0.419936	99.5409567255726	
F2-28_3_fastp	51.500299999999996	0.928861	1524151382.0	0.437434	99.05324022983764	
F2-28_4_fastp	48.511700000000005	0.967761	1539954605.0	0.418932	93.88094219827568	6.348507236875058
F2-28_fastp	55.2157	0.950748	6045501308.0	0.427991	99.42438412635494	
F2-411_fastp	28.4613	0.892228	7944898862.0	0.422779	96.82910606705659	0.8884540543418458
F2-445_fastp	25.3141	0.894188	7544270059.0	0.427957	96.77786240608543	0.8073173921364064
F2-73_fastp	25.2492	0.892305	7582764106.0	0.420101	96.74777040592389	0.9202921726534175
PI127826_2017_fastp	69.24369999999999	0.951623	9245933912.0	0.416458	95.15459753134485	0.8582095298566508
PI127826_2021_fastp	43.3092	0.96234	1377621595.0	0.440434	96.16374278195164	3.8425274045157485
PI127826_F1_fastp	34.0403	0.967229	6237895781.0	0.4241	95.95506358838111	0.9118216104236654
