Geneid	Elite_2017	Elite_2020	PI127826_2020	PI127826_2017	F2-73	F2-127	F2-28_concat	F2-151	F2-411	F2-445	F1
Solyc00g005000.2.1	0	0	0	0	4	0	0	0	2	0	0
Solyc00g005020.1.1	0	0	1	0	0	0	0	0	0	0	0
Solyc00g005040.2.1	122	23	5	10	64	29	40	2	46	0	70
Solyc00g005050.2.1	2783	646	683	3336	1582	1471	2345	1217	1514	1761	2979
Solyc00g005060.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005070.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005080.1.1	0	3	3	0	0	0	15	0	0	0	0
Solyc00g005090.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005100.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005110.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005120.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005130.1.1	0	0	3	0	0	0	4	0	0	0	0
Solyc00g005140.1.1	0	0	0	0	0	0	1	0	0	0	0
Solyc00g005150.1.1	0	4	17	0	0	0	47	0	0	0	4
Solyc00g005160.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005170.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005180.1.1	21	0	0	0	0	2	3	0	0	0	0
Solyc00g005280.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005420.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005430.1.1	0	0	0	0	0	0	1	0	0	0	0
Solyc00g005440.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005450.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005460.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005470.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005480.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005490.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005840.2.1	2280	412	522	1686	520	806	2981	699	815	1097	1898
Solyc00g005850.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005860.1.1	0	10	1	4	4	1	14	0	0	4	1
Solyc00g005870.1.1	0	0	6	16	6	2	16	1	5	0	18
Solyc00g005880.1.1	0	0	0	8	2	0	0	0	1	0	5
Solyc00g005890.2.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005900.1.1	0	0	0	0	0	0	0	0	0	0	0
Solyc00g005980.1.1	0	0	0	0	0	0	0	0	0	0	0
