Geneid	PI127826_F1	Elite_02	PI127826	F2-127	F2-151	F2-28	F2-411	F2-445	F2-73
mRNA:Solyc00g500001.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500002.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500003.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500004.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500005.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500006.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500007.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500008.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500009.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500010.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500011.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500012.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500013.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500014.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500015.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500016.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500017.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500018.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g014290.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g005280.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500019.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500020.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500021.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500022.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g180440.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500023.1.1	0	6	0	16	9	55	55	33	36
mRNA:Solyc00g500024.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500025.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500026.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500027.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500028.1.1	0	0	0	0	1	0	0	0	0
mRNA:Solyc00g500029.1.1	0	0	0	0	0	0	2	0	1
mRNA:Solyc00g500030.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500031.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500032.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500033.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500034.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500035.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500036.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500037.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500038.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500039.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500040.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500041.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500042.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500043.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500044.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500045.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500046.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500047.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g277510.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500048.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500049.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500050.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500051.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500052.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500053.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500054.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500055.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500056.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500057.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500058.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500059.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500060.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500061.1.1	3	5	0	5	13	25	15	23	19
mRNA:Solyc00g500062.1.1	32	125	28	97	92	263	209	185	202
mRNA:Solyc00g500063.1.1	2582	10704	3961	52597	59514	241803	115431	103773	147159
mRNA:Solyc00g500064.1.1	139	963	249	36378	38454	164944	75450	68372	97407
mRNA:Solyc00g500065.1.1	33	95	172	18	63	47	114	172	37
mRNA:Solyc00g500066.1.1	13	54	47	5	26	41	38	90	16
mRNA:Solyc00g500067.1.1	1	6	5	4	3	10	8	11	3
mRNA:Solyc00g500068.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500069.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500070.1.1	0	0	0	0	0	0	0	1	0
mRNA:Solyc00g500071.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500072.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500073.1.1	0	0	0	0	6	5	5	6	7
mRNA:Solyc00g500074.1.1	0	0	0	16	9	31	24	19	19
mRNA:Solyc00g500075.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500076.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500077.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500078.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500079.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500080.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500081.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500082.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500083.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500084.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500085.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500086.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500087.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500088.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500089.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500090.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500091.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g011670.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g011660.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500092.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500093.1.1	0	5	0	0	0	0	0	0	0
mRNA:Solyc00g500094.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500095.1.1	0	0	0	0	0	0	0	4	0
mRNA:Solyc00g500096.1.1	0	0	2	0	0	0	0	0	0
mRNA:Solyc00g011560.1.1	2	0	14	3	0	1	4	7	5
mRNA:Solyc00g500097.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500098.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500099.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500100.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500101.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500102.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g153980.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g309530.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g164580.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g210860.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g025400.2.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g022070.1.1	0	0	0	0	0	0	0	2	0
mRNA:Solyc00g022080.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g022090.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g022100.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500103.1.1	0	2	2	8	4	2	19	70	6
mRNA:Solyc00g072800.2.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500104.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500105.1.1	0	0	0	0	2	0	0	0	0
mRNA:Solyc00g500106.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500107.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500108.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g281110.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500109.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500110.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500111.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500112.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g142160.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g142170.2.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500113.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500114.1.1	0	0	0	0	1	0	0	0	0
mRNA:Solyc00g500115.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500116.1.1	0	0	0	0	0	0	0	1	0
mRNA:Solyc00g500117.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500118.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500119.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500120.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500121.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g015600.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500122.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g007330.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g007340.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g007350.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500123.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500124.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500125.1.1	0	0	0	8	4	10	4	0	2
mRNA:Solyc00g500126.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500127.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500128.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500129.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500130.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500131.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500132.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500133.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500134.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500135.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500136.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500137.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500138.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500139.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500140.1.1	0	0	0	0	0	2	2	0	0
mRNA:Solyc00g500141.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500142.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500143.1.1	0	0	0	0	4	0	2	18	4
mRNA:Solyc00g500144.1.1	0	0	0	0	0	0	0	4	0
mRNA:Solyc00g500145.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500146.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500147.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500148.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500149.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500150.1.1	0	0	0	0	0	3	0	0	3
mRNA:Solyc00g500151.1.1	0	3	0	10	5	106	4	15	10
mRNA:Solyc00g500152.1.1	0	6	0	9	6	114	2	15	11
mRNA:Solyc00g500153.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500154.1.1	0	0	0	0	1	0	3	5	0
