gene	F2-28_concat	Elite_2020	PI127826_2020
Solyc00g005000.2.1	0	0	0
Solyc00g005020.1.1	0	0	1.76954059706144
Solyc00g005040.2.1	16.4966078135364	31.5376376764876	8.84770298530719
Solyc00g005050.2.1	967.113633068568	885.796258217868	1208.59622779296
Solyc00g005060.1.1	0	0	0
Solyc00g005070.1.1	0	0	0
Solyc00g005080.1.1	6.18622793007613	4.11360491432446	5.30862179118431
Solyc00g005090.1.1	0	0	0
Solyc00g005100.1.1	0	0	0
Solyc00g005110.1.1	0	0	0
Solyc00g005120.1.1	0	0	0
Solyc00g005130.1.1	1.64966078135364	0	5.30862179118431
Solyc00g005140.1.1	0.412415195338409	0	0
Solyc00g005150.1.1	19.3835141809052	5.48480655243262	30.0821901500444
Solyc00g005160.1.1	0	0	0
Solyc00g005170.1.1	0	0	0
Solyc00g005180.1.1	1.23724558601523	0	0
Solyc00g005280.1.1	0	0	0
Solyc00g005420.1.1	0	0	0
Solyc00g005430.1.1	0.412415195338409	0	0
Solyc00g005440.1.1	0	0	0
Solyc00g005450.1.1	0	0	0
Solyc00g005460.1.1	0	0	0
Solyc00g005470.1.1	0	0	0
Solyc00g005480.1.1	0	0	0
Solyc00g005490.1.1	0	0	0
Solyc00g005840.2.1	1229.4096973038	564.93507490056	923.70019166607
Solyc00g005850.1.1	0	0	0
Solyc00g005860.1.1	5.77381273473772	13.7120163810815	1.76954059706144
Solyc00g005870.1.1	6.59864312541454	0	10.6172435823686
Solyc00g005880.1.1	0	0	0
Solyc00g005890.2.1	0	0	0
Solyc00g005900.1.1	0	0	0
Solyc00g005980.1.1	0	0	0
Solyc00g006010.1.1	0	0	0
Solyc00g006020.1.1	0	0	0
Solyc00g006050.1.1	0	0	0
Solyc00g006090.1.1	0	0	0
Solyc00g006170.1.1	0	0	0
Solyc00g006250.1.1	0	0	0
Solyc00g006470.1.1	60375.110106371	40783.6503222508	147760.178935824
Solyc00g006480.1.1	0	0	0
Solyc00g006490.2.1	1064.85603436377	883.053854941652	998.020896742651
Solyc00g006500.1.1	0	0	0
Solyc00g006510.1.1	0	0	0
Solyc00g006520.1.1	0	0	0
Solyc00g006530.1.1	0	0	0
Solyc00g006540.1.1	0	0	0
Solyc00g006550.1.1	0	0	0
Solyc00g006560.1.1	0	0	0
Solyc00g006570.1.1	0	0	0
Solyc00g006590.1.1	2.88690636736886	0	5.30862179118431
Solyc00g006600.1.1	0.824830390676818	0	0
Solyc00g006630.1.1	2.06207597669204	0	0
Solyc00g006650.1.1	0	0	0
Solyc00g006660.1.1	0	0	0
Solyc00g006670.2.1	26679.551401637	23442.063205097	64225.4759703449
Solyc00g006680.1.1	698.218925707926	471.693363509205	1318.30774481077
Solyc00g006690.2.1	35249.5391607691	25039.513113493	95693.2164078884
Solyc00g006700.1.1	0	0	0
Solyc00g006800.2.1	2966.09008487384	2817.81936631226	3567.39384367586
Solyc00g006810.2.1	643.780119923256	608.813527320021	569.792072253783
Solyc00g006820.2.1	1067.3305255358	1072.27968100058	465.389177027158
Solyc00g006830.2.1	693.682358559204	710.282448540024	629.956452553872
Solyc00g006840.2.1	0.412415195338409	0	0
Solyc00g006850.1.1	0	0	0
Solyc00g006860.1.1	0	0	0
Solyc00g006870.1.1	0	0	0
Solyc00g006880.1.1	0	0	0
Solyc00g006890.1.1	0.412415195338409	0	0
Solyc00g006900.1.1	1.64966078135364	6.85600819054077	3.53908119412288
Solyc00g007000.1.1	0	0	0
Solyc00g007010.2.1	506.858275070904	453.867742213799	461.850095833035
Solyc00g007020.1.1	0	0	0
Solyc00g007030.1.1	0	0	0
Solyc00g007040.1.1	0	0	0
Solyc00g007050.1.1	0	0	0
Solyc00g007060.2.1	461.492603583679	475.80696842353	506.088610759571
Solyc00g007070.2.1	2247.66281459433	2277.56592089765	2247.31655826803
Solyc00g007080.2.1	19.7959293762436	20.5680245716223	17.6954059706144
Solyc00g007090.2.1	315.085209238544	290.694747278929	336.212713441673
Solyc00g007100.2.1	469.328492295109	419.587701261095	437.076527474175
Solyc00g007110.2.1	11.5476254694754	9.59841146675708	14.1563247764915
Solyc00g007120.2.1	150.119131103181	127.521752344058	111.481057614871
Solyc00g007130.2.1	11.5476254694754	16.4544196572979	15.9258653735529
Solyc00g007140.1.1	1.64966078135364	6.85600819054077	0
Solyc00g007150.2.1	7.01105832075295	31.5376376764876	7.07816238824575
Solyc00g007160.1.1	0.412415195338409	1.37120163810815	0
Solyc00g007170.1.1	0.824830390676818	2.74240327621631	0
Solyc00g007180.1.1	0	0	0
Solyc00g007190.2.1	13.1972862508291	12.3408147429734	7.07816238824575
Solyc00g007200.2.1	451.594638895558	353.770022631904	509.627691953694
Solyc00g007210.1.1	0	0	0
Solyc00g007220.2.1	80.8333782863281	115.180937601085	67.2425426883346
Solyc00g007230.1.1	0	0	0
Solyc00g007240.1.1	0.412415195338409	1.37120163810815	1.76954059706144
Solyc00g007250.1.1	1.23724558601523	0	3.53908119412288
Solyc00g007260.2.1	272.19402892335	372.966845565418	253.044305379786
Solyc00g007270.2.1	2583.78119879513	3462.28413622309	2357.02807528583
Solyc00g007290.1.1	12.3724558601523	0	30.0821901500444
Solyc00g007300.2.1	432.623539909991	729.479271473538	281.356954932769
Solyc00g007310.1.1	0	0	0
Solyc00g007320.1.1	0	0	0
Solyc00g007330.1.1	0	0	0
Solyc00g007340.1.1	0	0	0
Solyc00g007350.1.1	0	0	0
Solyc00g007450.1.1	0	0	0
Solyc00g007550.1.1	0	0	0
Solyc00g007560.1.1	0	0	0
Solyc00g007570.1.1	0	0	3.53908119412288
Solyc00g007580.1.1	0	0	0
Solyc00g007590.1.1	0	0	0
Solyc00g007600.1.1	1.64966078135364	1.37120163810815	0
Solyc00g007610.1.1	0	0	0
Solyc00g007910.1.1	0	0	0
Solyc00g007920.1.1	0	0	0
Solyc00g007930.1.1	0	0	0
Solyc00g007940.1.1	0	0	0
Solyc00g007950.1.1	0	0	0
Solyc00g007960.1.1	0	0	0
Solyc00g007970.1.1	0	0	0
Solyc00g007980.1.1	0	0	0
Solyc00g007990.1.1	0	0	0
Solyc00g008000.1.1	0	0	0
Solyc00g008010.1.1	0	0	0
Solyc00g008020.1.1	0	0	0
Solyc00g008030.1.1	0	0	0
Solyc00g008040.1.1	0	0	0
Solyc00g008050.1.1	0	0	0
Solyc00g008060.1.1	0	0	0
Solyc00g008070.1.1	0	0	0
Solyc00g008080.1.1	0	0	0
Solyc00g008090.1.1	0	0	0
Solyc00g008100.1.1	0	0	0
Solyc00g008110.1.1	0	0	0
Solyc00g008120.1.1	0	0	0
Solyc00g008130.1.1	0	0	0
Solyc00g008140.1.1	0	0	0
Solyc00g008150.1.1	0	0	0
Solyc00g008160.1.1	0	0	0
Solyc00g008260.1.1	0	0	0
Solyc00g008270.1.1	0	0	0
Solyc00g008570.2.1	15059.340857782	11158.8389309242	39917.2967885119
Solyc00g008580.1.1	27969.5861326555	19543.7369479555	61302.1949039994
Solyc00g008680.2.1	2352.82868940562	1948.47752775169	2433.11832095948
Solyc00g008690.1.1	0	0	0
Solyc00g008800.1.1	0	0	0
Solyc00g008900.1.1	0	0	0
Solyc00g008910.1.1	0	0	0
Solyc00g008920.1.1	0	0	0
Solyc00g009020.2.1	3874.64076020435	3847.59179653148	3721.3438756202
Solyc00g009030.1.1	3.71173675804568	4.11360491432446	3.53908119412288
Solyc00g009040.2.1	8.66071910210658	12.3408147429734	7.07816238824575
Solyc00g009050.1.1	2.47449117203045	2.74240327621631	1.76954059706144
Solyc00g009060.2.1	233.427000561539	361.997232460553	299.052360903383
Solyc00g009070.1.1	0.824830390676818	0	0
Solyc00g009080.2.1	134.85976887566	161.801793296762	182.262681497328
Solyc00g009090.2.1	32.1683852363959	5.48480655243262	54.8557585089046
Solyc00g009100.2.1	318.79694599659	285.209940726496	355.677660009349
Solyc00g009110.2.1	1923.092055863	983.151574523547	2015.50674005298
Solyc00g009120.2.1	258.171912281844	1179.23340877301	281.356954932769
Solyc00g009130.2.1	35.8801219944416	126.15055070595	21.2344871647372
Solyc00g009140.2.1	692.445112973188	817.23617631246	465.389177027158
Solyc00g009240.1.1	0	0	0
Solyc00g009440.1.1	0	0	0
Solyc00g009540.1.1	0	0	0
Solyc00g009650.1.1	0	0	0
Solyc00g009660.1.1	0	0	0
Solyc00g009760.2.1	3926.19265962165	2943.96991701821	9559.05830532589
Solyc00g009770.1.1	0	0	1.76954059706144
