sample,genotype,phenotype,experimental_date,width_px,lenght_px,width_um,lenght_um,volume_um
MM_1,CV,lazy,2018_08_02,12,35,4.642166344,13.53965184,152.6958704
MM_2,CV,lazy,2018_08_02,18,29,6.963249516,11.21856867,284.6687298
MM_3,CV,lazy,2018_08_02,17,39,6.576402321,15.08704062,341.4752292
MM_4,CV,lazy,2018_08_02,18,15,6.963249516,5.80270793,147.2424464
MM_5,CV,lazy,2018_08_02,16,36,6.189555126,13.92649903,279.2153058
MM_6,CV,lazy,2018_08_02,27,63,10.44487427,24.37137331,1391.441119
MM_7,CV,lazy,2018_08_02,27,38,10.44487427,14.70019342,839.2819447
445_1,445,lazy,2018_01_15,,,,,760.4542524
445_2,445,lazy,2018_01_15,,,,,603.1004707
445_3,445,lazy,2018_01_15,,,,,699.1534475
445_4,445,lazy,2018_01_15,,,,,436.2767422
445_5,445,lazy,2018_01_15,,,,,916.5738812
445_6,445,lazy,2018_01_15,,,,,495.825543
411_1,411,lazy,2018_01_15,,,,,1972
411_2,411,lazy,2018_01_15,,,,,902
411_3,411,lazy,2018_01_15,,,,,1496
411_4,411,lazy,2018_01_15,,,,,503
411_5,411,lazy,2018_01_15,,,,,746
411_6,411,lazy,2018_01_15,,,,,1003
151_1,151,lazy,2018_01_15,,,,,2899.15373
151_2,151,lazy,2018_01_15,,,,,4070.416861
151_3,151,lazy,2018_01_15,,,,,5889.118948
151_4,151,lazy,2018_01_15,,,,,4724.16982
151_5,151,lazy,2018_01_15,,,,,3774.524933
151_6,151,lazy,2018_01_15,,,,,5357.393537
151_7,151,lazy,2018_01_15,,,,,2440.271705
PI_1,PI127826,active,2018_08_02,122,110,47.19535783,42.55319149,49603.13231
PI_2,PI127826,active,2018_08_02,84,108,32.49516441,41.7794971,23087.6156
PI_3,PI127826,active,2018_08_02,125,127,48.35589942,49.12959381,60120.21186
PI_4,PI127826,active,2018_08_02,104,117,40.23210832,45.26112186,38339.75168
PI_5,PI127826,active,2018_08_02,117,105,45.26112186,40.61895551,43546.95354
PI_6,PI127826,active,2018_08_02,84,107,32.49516441,41.3926499,22873.84138
PI_7,PI127826,active,2018_08_02,98,100,37.91102515,38.68471954,29097.04641
PI_8,PI127826,active,2018_08_02,117,129,45.26112186,49.9032882,53500.54291
PI_9,PI127826,active,2018_08_02,104,102,40.23210832,39.45841393,33424.3989
PI_10,PI127826,active,2018_08_02,99,99,38.29787234,38.29787234,29396.95443
PI_11,PI127826,active,2018_08_02,100,87,38.68471954,33.655706,26358.21572
PI_12,PI127826,active,2018_08_02,106,106,41.00580271,41.00580271,36083.97317
PI_13,PI127826,active,2018_08_02,98,108,37.91102515,41.7794971,31424.81012
PI_14,PI127826,active,2018_08_02,102,97,39.45841393,37.52417795,30575.16667
PI_15,PI127826,active,2018_08_02,92,97,35.58994197,37.52417795,24873.91491
73_1,73,active,2018_08_02,87,100,33.655706,38.68471954,22931.64768
73_2,73,active,2018_08_02,86,92,33.2688588,35.58994197,20614.912
73_3,73,active,2018_08_02,80,88,30.94777563,34.04255319,17063.15758
73_4,73,active,2018_08_02,95,130,36.75048356,50.2901354,35545.72022
73_5,73,active,2018_08_02,50,111,19.34235977,42.94003868,8407.361911
73_6,73,active,2018_08_02,56,127,21.66344294,49.12959381,12066.367
73_7,73,active,2018_08_02,57,76,22.05029014,29.40038685,7481.006964
73_8,73,active,2018_08_02,94,96,36.36363636,37.13733075,25699.44211
73_9,73,active,2018_08_02,32,91,12.37911025,35.20309478,2823.176981
73_10,73,active,2018_08_02,49,84,18.95551257,32.49516441,6110.379747
73_11,73,active,2018_08_02,59,95,22.82398453,36.75048356,10019.00017
73_12,73,active,2018_08_02,32,111,12.37911025,42.94003868,3443.655439
73_13,73,active,2018_08_02,37,110,14.31334623,42.55319149,4562.395064
73_14,73,active,2018_08_02,73,114,28.23984526,44.10058027,18405.48759
127_1,127,active,2018_08_02,91,85,35.20309478,32.88201161,21325.46284
127_2,127,active,2018_08_02,85,100,32.88201161,38.68471954,21889.43777
127_3,127,active,2018_08_02,96,104,37.13733075,40.23210832,29038.39181
127_4,127,active,2018_08_02,47,84,18.18181818,32.49516441,5621.752961
127_5,127,active,2018_08_02,101,84,39.07156673,32.49516441,25960.8429
127_6,127,active,2018_08_02,90,100,34.81624758,38.68471954,24540.40774
127_7,127,active,2018_08_02,101,87,39.07156673,33.655706,26888.01586
127_8,127,active,2018_08_02,91,91,35.20309478,35.20309478,22830.78963
127_9,127,active,2018_08_02,71,104,27.46615087,40.23210832,15883.52139
28_1,28,active,2018_08_02,92,94,35.58994197,36.36363636,24104.61857
28_2,28,active,2018_08_02,75,106,29.01353965,41.00580271,18064.46681
28_3,28,active,2018_08_02,70,103,27.07930368,39.84526112,15290.7948
28_4,28,active,2018_08_02,59,104,22.82398453,40.23210832,10968.16861
28_5,28,active,2018_08_02,65,113,25.1450677,43.71373308,14464.44959
28_6,28,active,2018_08_02,44,90,17.0212766,34.81624758,5278.914376
28_7,28,active,2018_08_02,83,107,32.10831721,41.3926499,22332.46787
28_8,28,active,2018_08_02,77,88,29.78723404,34.04255319,15807.41583
28_9,28,active,2018_08_02,63,90,24.37137331,34.81624758,10822.31981
28_10,28,active,2018_08_02,67,97,25.91876209,37.52417795,13192.22637
28_11,28,active,2018_08_02,92,103,35.58994197,39.84526112,26412.50759
F1_1,F1,lazy,2018_01_15,,,,,3704.962793
F1_2,F1,lazy,2018_01_15,,,,,1598.201697
F1_3,F1,lazy,2018_01_15,,,,,1847.58116
F1_4,F1,lazy,2018_01_15,,,,,1382.721569
F1_5,F1,lazy,2018_01_15,,,,,3255.248371
F1_6,F1,lazy,2018_01_15,,,,,1664.050652
F1_7,F1,lazy,2018_01_15,,,,,2092.034776
F1_8,F1,lazy,2018_01_15,,,,,3491.507024
F1_9,F1,lazy,2018_01_15,,,,,1915.002666
F1_10,F1,lazy,2018_01_15,,,,,3793.800017
F1_11,F1,lazy,2018_01_15,,,,,2552.76462
F1_hab_1,F1_hab,active,2018_01_15,,,,,23374.10735
F1_hab_2,F1_hab,active,2018_01_15,,,,,46449.26346
F1_hab_3,F1_hab,active,2018_01_15,,,,,32141.5443
F1_hab_4,F1_hab,active,2018_01_15,,,,,38269.7262
F1_hab_5,F1_hab,active,2018_01_15,,,,,14232.93681
F1_hab_6,F1_hab,active,2018_01_15,,,,,27093.32014
F1_hab_7,F1_hab,active,2018_01_15,,,,,34397.17312
F1_hab_8,F1_hab,active,2018_01_15,,,,,30371.50626
F1_hab_9,F1_hab,active,2018_01_15,,,,,34156.26795
