Geneid	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15
Solyc01g009010	2677.1389788649	6632.12031528602	3464.4394705059	8542.84541115694	2407.09020793252	22964.014803655	18365.6211821736	16907.7616949903	20824.5986916937	19449.6429667067
Solyc01g067890	8129.06894339432	9209.74937281766	11903.5546241825	9543.29417005202	8471.63556018356	11413.4615719471	11793.202842179	16776.8938131257	10085.1989077865	15790.6820539054
Solyc01g098840	2995.8898689844	3829.75135772049	2441.81874847032	4939.43535221289	2184.0074769914	6252.77383756306	5623.90336609275	4129.71111715096	4298.86378633278	4645.56151013011
Solyc01g102820	3848.3488968955	5402.93065795777	4073.43920944173	5822.34259773106	2947.58386160158	10631.5743938201	8688.79237551295	9510.96155523274	9685.27683935514	9206.58140952083
Solyc01g109300	82525.7723627106	113250.563502796	91918.22203022	139705.715387875	69901.3212757246	317264.954498215	272463.890362585	253109.542783829	285842.806164821	240556.390030108
Solyc02g038740	1081.54203757309	1004.44975729436	1336.88952929529	254.822822893454	570.10031240507	19422.8675244108	11830.7482265627	19032.060763286	13033.8780392061	18850.2429465644
Solyc02g062400	11385.3641638443	6852.2736867478	8440.77795159856	10500.6742828243	13159.1270177364	8421.8427254728	8256.03241867025	6771.95208409401	7844.44152735149	7199.56357056743
Solyc02g082260	1642.2733722149	3834.33788629261	2064.36362017426	1728.12942567884	1056.20033723355	2521.09238712594	2887.0424518136	4319.56170633487	1907.68795627875	2614.0266040623
Solyc02g088190	609.250256259229	862.267371558625	992.690359439417	441.453622759082	655.477653876361	1617.21686768632	1039.41432556739	1246.00969211964	1575.81232934165	1711.96761747288
Solyc03g032020	4573.06190333289	5682.70890085711	6362.69624856772	5134.14152322655	6419.13673013583	23202.1825176462	29931.5756451887	20796.012354053	20181.1419905459	20634.9163492731
Solyc03g114340	23665.5646415694	38824.9643629987	33269.2608235575	44823.6934523428	17494.0926782464	85430.1781117659	66732.9685961474	58717.2851363361	60838.2938847796	65031.0978129624
Solyc04g005520	898.521295269408	330.230057192665	717.497303346915	646.926955303451	189.344910521008	428.701885184089	373.477770973834	269.108602144182	471.549901583296	727.903268466247
Solyc04g009650	974.677577301812	1843.78448599238	1210.1011877421	1510.09440468198	1527.15276922035	2418.85453916876	2920.63569047263	2088.356481023	2091.53272803528	1609.67226847821
