Treatment,Leaf,Replicate,Gland_horizontal,Gland_vertical,Cavity_horizontal,Cavity_vertical
Control,Old,1,60.544,58.819,27.669,49.28
Control,Old,1,64.169,59.225,46.554,44.72
Control,Old,1,62.963,63.964,47.002,36.148
Control,Old,1,59.629,60.675,45.69,43.723
Control,Old,1,57.451,63.641,33.801,52.719
Control,Old,1,56.01,55.576,46.798,44.831
Control,Old,1,56.073,58.343,43.882,46.096
Control,Old,1,58.774,58.592,45.415,49.922
Control,Old,1,58.674,57.36,37.049,46.325
Control,Old,1,61.432,62.576,37.754,47.54
Control,New,1,67.398,60.777,45.716,50.826
Control,New,1,62.114,61.329,40.075,44.663
Control,New,1,61.063,56.845,34.568,42.118
Control,New,1,52.834,51.385,34.6,42.82
Control,New,1,58.935,52.223,42.643,43.211
Control,New,1,65.135,67.138,47.951,54.712
Control,New,1,58.935,54.773,43.687,46.129
Control,New,1,60.693,58.172,45.56,43.942
Control,New,1,59.535,57.538,42.191,47.312
Control,New,1,56.267,60.202,44.71,50.788
Control,Old,2,52.633,52.09,28.209,39.605
Control,Old,2,55.643,55.495,44.396,43.687
Control,Old,2,55.018,54.204,44.911,49.881
Control,Old,2,56.525,59.2,46.325,49.884
Control,Old,2,61.432,61.901,48.96,49.748
Control,Old,2,52.261,44.235,31.201,36.231
Control,Old,2,56.073,50.674,36.204,41.603
Control,Old,2,52.358,42.806,33.254,36.756
Control,Old,2,48.851,45.111,28.263,29.681
Control,Old,2,60.745,62.691,46.93,50.192
Control,New,2,51.818,46.798,29.541,37.986
Control,New,2,51.164,46.46,19.798,34.078
Control,New,2,46.047,43.473,5.215,30.549
Control,New,2,46.13,47.508,22.147,32.567
Control,New,2,51.287,46.047,21.402,36.194
Control,New,2,56.88,51.262,26.845,36.895
Control,New,2,53.55,51.463,39.299,40.602
Control,New,2,55.105,51.27,34.269,39.407
Control,New,2,53.45,49.908,32.616,37.009
Control,New,2,48.575,45.043,22.093,35.667
Control,Old,3,59.13,55.257,46.455,44.398
Control,Old,3,52.001,47.153,39.907,39.635
Control,Old,3,53.955,46.129,35.297,36.633
Control,Old,3,59.13,53.238,39.423,43.22
Control,Old,3,48.314,39.222,35.203,31.379
Control,Old,3,58.846,57.513,45.809,45.003
Control,Old,3,56.928,54.431,45.387,47.865
Control,Old,3,53.539,47.445,27.53,36.453
Control,Old,3,61.973,58.075,39.577,45.615
Control,Old,3,64.292,58.325,44.518,45.9
Control,New,3,65.458,59.629,35.728,44.747
Control,New,3,64.071,58.715,38.386,49.382
Control,New,3,68.178,60.49,28.461,46.109
Control,New,3,63.67,54.541,43.852,43.906
Control,New,3,54.542,52.406,14.961,42.899
Control,New,3,60.6,55.819,38.62,44.795
Control,New,3,60.537,55.68,26.211,42.409
Control,New,3,61.491,58.701,28.432,47.662
Control,New,3,65.315,56.053,30.391,49.395
Control,New,3,62.792,60.571,40.948,46.673
Control,Old,4,56.975,47.761,34.903,39.107
Control,Old,4,60.626,51.271,42.869,48.789
Control,Old,4,57.908,44.031,33.488,42.326
Control,Old,4,64.965,63.321,39.253,54.104
Control,Old,4,58.941,56.716,33.272,46.252
Control,Old,4,62.992,55.17,28.766,45.598
Control,Old,4,59.721,54.286,41.518,43.039
Control,Old,4,58.69,53.959,27.366,38.364
Control,Old,4,61.706,53.664,40.237,43.571
Control,Old,4,58.528,48.637,36.535,39.178
Control,New,4,56.808,48.986,20.222,32.117
Control,New,4,56.335,49.576,39.817,36.411
Control,New,4,52.953,40.655,18.089,33.354
Control,New,4,55.819,46.202,38.528,38.215
Control,New,4,54.871,49.023,41.202,39.724
Control,New,4,51.334,44.004,39.107,38.075
Control,New,4,50.785,49.618,42.296,44.748
Control,New,4,54.309,42.553,20.873,33.094
Control,New,4,51.164,42.72,21.095,37.603
Control,New,4,53.089,42.477,19.122,33.845
Control,Old,5,55.74,53.238,40.245,42.468
Control,Old,5,58.243,52.182,42.317,40.401
Control,Old,5,54.153,54.115,40.579,40.931
Control,Old,5,63.253,55.572,42.164,45.731
Control,Old,5,53.602,47.689,37.573,39.501
Control,Old,5,55.373,51.34,38.762,41.589
Control,Old,5,56.989,52.009,42.68,42.005
Control,Old,5,58.382,48.896,36.715,41.551
Control,Old,5,51.877,47.059,37.282,35.961
Control,Old,5,59.569,55.695,40.08,43.721
Control,New,5,61.59,50.109,39.04,40.579
Control,New,5,60.883,55.448,46.513,47.865
Control,New,5,54.291,44.565,36.194,39.015
Control,New,5,59.506,54.71,43.26,44.548
Control,New,5,60.242,50.658,44.097,41.429
Control,New,5,52.09,45.123,33.598,34.894
Control,New,5,52.589,45.764,36.254,36.578
Control,New,5,58.911,52.325,50.24,45.598
Control,New,5,60.47,48.549,45.455,40.377
Control,New,5,53.004,44.05,37.629,34.862
Fosmidomycin,Old,1,55.035,48.931,34.937,41.921
Fosmidomycin,Old,1,60.027,58.114,49.36,48.683
Fosmidomycin,Old,1,64.523,68.888,37.85,51.864
Fosmidomycin,Old,1,64.956,65.21,40.882,53.272
Fosmidomycin,Old,1,60.575,56.584,27.355,49.28
Fosmidomycin,Old,1,61.754,56.291,49.115,47.894
Fosmidomycin,Old,1,59.871,60.708,44.247,32.641
Fosmidomycin,Old,1,64.541,54.805,35.303,42.899
Fosmidomycin,Old,1,56.438,54.402,45.155,41.862
Fosmidomycin,Old,1,63.482,62.086,52.245,47.662
Fosmidomycin,New,1,59.627,59.506,48.076,45.461
Fosmidomycin,New,1,47.078,41.435,9.015,33.712
Fosmidomycin,New,1,44.936,42.503,9.69,29.253
Fosmidomycin,New,1,58.115,49.94,32.161,39.383
Fosmidomycin,New,1,50.777,46.642,27.143,37.629
Fosmidomycin,New,1,50.691,47.498,10.4,27.942
Fosmidomycin,New,1,48.734,43.121,9.246,31
Fosmidomycin,New,1,45.58,40.043,25.926,30.165
Fosmidomycin,New,1,45.362,42.524,9.335,29.48
Fosmidomycin,New,1,43.258,40.433,8.71,28.295
Fosmidomycin,Old,2,53.191,44.861,34.095,35.913
Fosmidomycin,Old,2,56.813,49.567,45.058,42.503
Fosmidomycin,Old,2,54.269,45.364,40.727,34.886
Fosmidomycin,Old,2,54.269,45.836,40.882,41.691
Fosmidomycin,Old,2,55.426,46.183,39.93,37.217
Fosmidomycin,Old,2,47.663,40.424,35.443,32.31
Fosmidomycin,Old,2,53.687,42.68,39.698,34.6
Fosmidomycin,Old,2,48.188,42.917,35.433,36.403
Fosmidomycin,Old,2,49.736,40.149,34.978,34.056
Fosmidomycin,Old,2,53.106,43.411,41.475,37.209
Fosmidomycin,New,2,37.603,29.142,9.049,17.16
Fosmidomycin,New,2,39.394,32.763,12.115,21.286
Fosmidomycin,New,2,43.509,32.705,12.165,21.159
Fosmidomycin,New,2,45.355,34.163,20.189,23.656
Fosmidomycin,New,2,47.767,35.055,13.654,26.665
Fosmidomycin,New,2,51.493,38.142,19.146,29.245
