attribute,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15
                                 Started job on |,01/05/2019 18:51,01/05/2019 20:22,01/05/2019 18:23,01/05/2019 19:25,01/05/2019 19:07,01/05/2019 20:11,01/05/2019 19:46,01/05/2019 19:42,01/05/2019 20:07,01/05/2019 19:24
                             Started mapping on |,01/05/2019 18:51,01/05/2019 20:22,01/05/2019 18:23,01/05/2019 19:25,01/05/2019 19:07,01/05/2019 20:11,01/05/2019 19:47,01/05/2019 19:42,01/05/2019 20:07,01/05/2019 19:24
                                    Finished on |,01/05/2019 19:06,01/05/2019 20:31,01/05/2019 18:51,01/05/2019 19:36,01/05/2019 19:19,01/05/2019 20:27,01/05/2019 20:03,01/05/2019 19:58,01/05/2019 20:21,01/05/2019 19:42
"       Mapping speed, Million of reads per hour |",168.45,74.82,159.1,215.51,175.74,105.88,122.7,125.61,128.36,123.3
                          Number of input reads |,43282482,10931916,73229749,36755590,37588353,28528051,34525544,34646610,29060389,36990059
                      Average input read length |,300,299,299,299,299,298,298,296,300,299
                                    UNIQUE READS:,,,,,,,,,,
                   Uniquely mapped reads number |,39407676,5763782,61192897,33702719,34671193,20953804,24649441,25902311,19573428,27088061
                        Uniquely mapped reads % |,91.05%,52.72%,83.56%,91.69%,92.24%,73.45%,71.39%,74.76%,67.35%,73.23%
                          Average mapped length |,300.53,299.64,300.11,299.29,299.67,298.41,298.32,296.42,300.17,299.17
                       Number of splices: Total |,36886406,5291597,56572522,30187934,31523231,20695588,23705661,24761112,19562609,27304471
            Number of splices: Annotated (sjdb) |,34847492,4981069,53459703,28342617,29766494,19608760,22380342,23391497,18608314,25931009
                       Number of splices: GT/AG |,36405121,5222998,55781057,29813162,31101465,20419997,23388432,24417852,19306004,26930449
                       Number of splices: GC/AG |,384834,53393,640655,285790,337465,200916,226701,248309,190284,281128
                       Number of splices: AT/AC |,12207,1987,18498,10921,12079,7750,8805,8323,6877,10643
               Number of splices: Non-canonical |,84244,13219,132312,78061,72222,66925,81723,86628,59444,82251
"                      Mismatch rate per base, % |",0.28%,0.28%,0.28%,0.26%,0.28%,0.78%,0.77%,0.76%,0.78%,0.77%
                         Deletion rate per base |,0.01%,0.01%,0.01%,0.01%,0.01%,0.06%,0.06%,0.06%,0.06%,0.06%
                        Deletion average length |,1.81,1.75,1.77,1.78,1.79,2.74,2.75,2.77,2.74,2.79
                        Insertion rate per base |,0.01%,0.02%,0.01%,0.02%,0.01%,0.04%,0.04%,0.04%,0.04%,0.04%
                       Insertion average length |,1.47,1.43,1.46,1.34,1.47,2.95,2.92,2.91,3.07,2.98
                             MULTI-MAPPING READS:,,,,,,,,,,
        Number of reads mapped to multiple loci |,1256818,183741,3657320,893672,1030116,820826,1128576,1126399,1488933,1424162
             % of reads mapped to multiple loci |,2.90%,1.68%,4.99%,2.43%,2.74%,2.88%,3.27%,3.25%,5.12%,3.85%
        Number of reads mapped to too many loci |,29338,6272,103090,29531,22648,10074,10933,14373,13452,22071
             % of reads mapped to too many loci |,0.07%,0.06%,0.14%,0.08%,0.06%,0.04%,0.03%,0.04%,0.05%,0.06%
                                  UNMAPPED READS:,,,,,,,,,,
  Number of reads unmapped: too many mismatches |,895942,134865,1355687,683846,768346,4960637,5851215,5581543,4353588,5795649
       % of reads unmapped: too many mismatches |,2.07%,1.23%,1.85%,1.86%,2.04%,17.39%,16.95%,16.11%,14.98%,15.67%
            Number of reads unmapped: too short |,288879,141747,658372,223974,240235,1103821,1342356,1311773,1096307,1326531
                 % of reads unmapped: too short |,0.67%,1.30%,0.90%,0.61%,0.64%,3.87%,3.89%,3.79%,3.77%,3.59%
                Number of reads unmapped: other |,1403829,4701509,6262383,1221848,855815,678889,1543023,710211,2534681,1333585
                     % of reads unmapped: other |,3.24%,43.01%,8.55%,3.32%,2.28%,2.38%,4.47%,2.05%,8.72%,3.61%
                                  CHIMERIC READS:,,,,,,,,,,
                       Number of chimeric reads |,0,0,0,0,0,0,0,0,0,0
                            % of chimeric reads |,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
