Sample	command
S01_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S01_fastp.html --json /scratch/mgalland/temp/fastp/S01_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S01_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S01_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S01_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S01_R2_trimmed.fq.gz 
S02_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S02_fastp.html --json /scratch/mgalland/temp/fastp/S02_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S02_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S02_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S02_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S02_R2_trimmed.fq.gz 
S03_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S03_fastp.html --json /scratch/mgalland/temp/fastp/S03_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S03_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S03_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S03_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S03_R2_trimmed.fq.gz 
S04_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S04_fastp.html --json /scratch/mgalland/temp/fastp/S04_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S04_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S04_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S04_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S04_R2_trimmed.fq.gz 
S05_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S05_fastp.html --json /scratch/mgalland/temp/fastp/S05_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S05_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S05_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S05_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S05_R2_trimmed.fq.gz 
S06_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S06_fastp.html --json /scratch/mgalland/temp/fastp/S06_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S06_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S06_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S06_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S06_R2_trimmed.fq.gz 
S07_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S07_fastp.html --json /scratch/mgalland/temp/fastp/S07_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S07_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S07_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S07_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S07_R2_trimmed.fq.gz 
S08_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S08_fastp.html --json /scratch/mgalland/temp/fastp/S08_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S08_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S08_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S08_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S08_R2_trimmed.fq.gz 
S09_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S09_fastp.html --json /scratch/mgalland/temp/fastp/S09_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S09_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S09_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S09_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S09_R2_trimmed.fq.gz 
S10_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S10_fastp.html --json /scratch/mgalland/temp/fastp/S10_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S10_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S10_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S10_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S10_R2_trimmed.fq.gz 
S11_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S11_fastp.html --json /scratch/mgalland/temp/fastp/S11_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S11_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S11_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S11_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S11_R2_trimmed.fq.gz 
S12_fastp	fastp --thread 10 --html /scratch/mgalland/temp/fastp/S12_fastp.html --json /scratch/mgalland/temp/fastp/S12_fastp.json --qualified_quality_phred 30 --in1 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S12_R1.fastq.gz --in2 /zfs/omics/personal/mgallan1/gls/marc/MAD1205-002-007/S12_R2.fastq.gz --out1 /scratch/mgalland/temp/trimmed/S12_R1_trimmed.fq.gz --out2 /scratch/mgalland/temp/trimmed/S12_R2_trimmed.fq.gz 
