Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
S01_fastp	93.0016	0.933235	12918444247.0	0.42514	96.47680681209401	3.129421853410082
S02_fastp	89.9389	0.937119	9290136240.0	0.415416	96.51264229931135	4.857959474310821
S03_fastp	91.53909999999999	0.933101	9839857282.0	0.422239	96.12203758287585	3.7337699727721296
S04_fastp	92.5816	0.944937	10817474107.0	0.415574	97.26580041927326	8.99883584623183
S05_fastp	94.0419	0.939804	13400932493.0	0.423885	96.77368249696083	3.196299956107187
S06_fastp	92.5788	0.938228	12202609158.0	0.425005	96.91165549290992	3.0721852808772208
S07_fastp	68.8167	0.935326	3065593464.0	0.418888	96.18670288682868	3.8367280643227564
S08_fastp	93.4161	0.939196	20630544490.0	0.434694	96.54693043981423	3.681315565666423
S09_fastp	90.4474	0.940168	10338865067.0	0.417662	96.2744292934013	4.7655902613488585
S10_fastp	92.6756	0.937192	10554100377.0	0.422406	96.46131098077043	4.316626224193608
S11_fastp	91.5864	0.941565	8018724134.0	0.414909	95.33430507671645	5.97221501884226
S12_fastp	93.319	0.942736	9715391603.0	0.417622	96.00142099328498	6.5807693873379
S13_fastp	93.4446	0.94288	9692256648.0	0.415992	95.80113819016957	9.548259934554645
S14_fastp	89.498	0.94328	8231458288.0	0.434006	97.14883356434567	3.296537395816291
S15_fastp	92.0146	0.94208	10431266831.0	0.423827	96.66865552721822	5.1172996084050215
S16_fastp	92.6742	0.942224	11143306489.0	0.431499	96.34740451394906	6.254828301589253
S18_fastp	94.5936	0.942476	2860573390.0	0.423162	90.00155431008258	8.75964127855059
S19_fastp	93.2507	0.938931	6594789784.0	0.428819	95.57475173010447	7.2460769870716275
S20_fastp	94.3279	0.941688	8366525100.0	0.420789	94.2083218384799	8.29580883349257
S21_fastp	88.8418	0.941666	10572271940.0	0.421128	97.23304002176799	6.287904301119387
S22_fastp	91.1622	0.942177	10446432539.0	0.41712	96.65758691162853	8.111135766070884
S23_fastp	93.9429	0.94242	12426912110.0	0.422345	96.73757779672701	4.883620740217178
S24_fastp	93.1824	0.93817	9963727150.0	0.420948	96.09680231451881	4.667621072977143
S25_fastp	92.5638	0.934458	18702242009.0	0.433566	96.28805239972671	4.21800910764501
S26_fastp	92.7986	0.943837	23238999163.0	0.423503	96.87648084934133	3.9035861080535272
S27_fastp	93.6156	0.948222	19123471600.0	0.426188	97.48412801571843	2.995092890309588
S28_fastp	86.45049999999999	0.943122	9931302922.0	0.420446	96.76982067109287	7.5341393318421295
S29_fastp	91.0096	0.942583	6303836230.0	0.410378	90.88733923559438	11.458187890668093
S31_fastp	93.1681	0.939247	8771648729.0	0.416729	96.0883036608436	5.30237212461249
S33_fastp	92.4757	0.936467	8703391467.0	0.428118	95.76538050748475	5.9994068587605875
S34_fastp	92.4924	0.935128	9125478160.0	0.420867	96.11271219767801	3.42277264832884
S35_fastp	92.9659	0.941458	3966807192.0	0.413015	96.13748553853927	5.656519965171087
