Geneid	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15
mRNA:Solyc01g009010.3.1	4359	1446	8334	9521	3496	19766	18588	18346	17444	23006
mRNA:Solyc01g067890.4.1	13236	2008	28635	10636	12304	9824	11936	18204	8448	18678
mRNA:Solyc01g098840.3.1	4878	835	5874	5505	3172	5382	5692	4481	3601	5495
mRNA:Solyc01g102820.4.1	6266	1178	9799	6489	4281	9151	8794	10320	8113	10890
mRNA:Solyc01g109300.3.1	134371	24692	221117	155702	101523	273082	275763	274640	239440	284542
mRNA:Solyc02g038740.4.1	1761	219	3216	284	828	16718	11974	20651	10918	22297
mRNA:Solyc02g062400.3.1	18538	1494	20305	11703	19112	7249	8356	7348	6571	8516
mRNA:Solyc02g082260.3.1	2674	836	4966	1926	1534	2170	2922	4687	1598	3092
mRNA:Solyc02g088190.4.1	992	188	2388	492	952	1392	1052	1352	1320	2025
mRNA:Solyc03g032020.4.1	7446	1239	15306	5722	9323	19971	30294	22565	16905	24408
mRNA:Solyc03g114340.3.1	38533	8465	80032	49956	25408	73533	67541	63712	50962	76922
mRNA:Solyc04g005520.3.1	1463	72	1726	721	275	369	378	292	395	861
mRNA:Solyc04g009650.4.1	1587	402	2911	1683	2218	2082	2956	2266	1752	1904
mRNA:Solyc04g015100.3.1	11788	2222	19789	17629	9613	5724	6370	8475	7537	7186
mRNA:Solyc04g056390.3.1	40726	6717	53858	51171	29595	99898	111157	97662	89310	99816
mRNA:Solyc05g017760.4.1	3693	759	6422	2900	2994	8593	7042	8196	7335	9597
mRNA:Solyc05g055760.3.1	4761	614	6206	3908	4299	2690	2252	4862	3740	4674
mRNA:Solyc06g066310.3.1	133	36	130	224	408	5757	4490	3162	4294	4722
mRNA:Solyc07g045350.4.1	2168	184	1751	1256	1717	24271	18223	27288	20002	31090
mRNA:Solyc08g005050.4.1	71134	7911	110379	78801	71709	37650	36491	31328	28198	35123
mRNA:Solyc08g005680.4.1	7744	5713	10708	55025	4114	348043	372661	354993	267851	427730
mRNA:Solyc08g007790.3.1	1111	83	461	465	710	84	9	62	175	34
mRNA:Solyc08g066950.3.1	1452	174	1554	1646	1146	808	538	450	569	767
mRNA:Solyc08g075390.4.1	3556	544	4856	4110	2658	2630	3513	1848	1987	2882
mRNA:Solyc08g076140.3.1	2084	202	2572	2703	1932	955	1233	1185	1764	1769
mRNA:Solyc08g080170.3.1	12252	2814	19492	18733	9375	31804	29094	29278	28345	35202
mRNA:Solyc08g081570.3.1	9258	1683	17092	15534	8125	16594	16163	15794	16475	15766
mRNA:Solyc10g086250.2.1	1158	50	1227	166	1404	162	82	90	94	128
mRNA:Solyc11g007020.2.1	6917	1046	7284	6383	4788	19968	18258	15492	15795	21070
mRNA:Solyc11g010850.2.1	101118	24370	172113	165257	83885	189459	207165	189795	160856	207052
mRNA:Solyc11g069380.2.1	111500	24127	211339	152756	76886	172017	180081	156053	147293	188695
mRNA:Solyc12g015860.2.1	6368	2137	11209	16642	5166	10674	12053	13207	9763	10666
mRNA:Solyc12g056450.2.1	690	42	1206	256	618	272	138	266	122	314
mRNA:Solyc12g099900.1.1	5961	1001	10829	4393	5404	8913	9531	6616	6240	6573
