"Sequence_ID"	"Functional.annotation"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CV"	"F1"	"F1_hab"	"F2_127"	"F2_151"	"F2_28"	"F2_411"	"F2_445"	"F2_73"	"PI127826"
"Solyc02g092860"	"Cytochrome P450"	5574.20565963337	-6.98351790333781	1.31658624381331	-5.30426163584318	1.13129959399219e-07	0.000134029230846128	49	162	38563	82	93	16242	81	53	112	28
"Solyc07g055540"	"Cytochrome P450"	1673.27112499354	1.13190858968271	0.280791428955148	4.03113654107838	5.55077835070866e-05	0.0101451508694949	1897	3038	861	1574	2053	1006	2048	2514	918	866
"Solyc07g055460"	"Cytochrome P450"	128.962320481704	5.04429299017114	1.26781792395577	3.9787203626466	6.92871750025991e-05	0.0113843380241497	16	19	0	3	396	9	447	297	25	0
"Solyc04g071150"	"Cytochrome P450"	31.5536084413592	1.51884620952206	0.412611043717031	3.681060486989	0.000232265891197052	0.0240935724002104	65	42	5	17	40	21	56	37	14	27
"Solyc06g084820"	"cytochrome P450"	927.778413910679	1.41371382016603	0.385200262246651	3.67007491615051	0.000242479392839009	0.0244762831067538	2498	1345	294	330	660	702	1640	987	797	430
"Solyc07g055530"	"Cytochrome P450"	177.84365000379	1.32580520511856	0.383810864809655	3.45431911047143	0.000551684169806686	0.0418128305129579	182	207	72	115	352	82	287	217	156	79
"Solyc10g007880"	"Cytochrome P450"	54.7318250687282	1.21069193803854	0.371163978577247	3.26187886733888	0.00110676426087088	0.0638801628518041	68	88	21	27	98	45	69	57	46	27
"Solyc07g064450"	"Cytochrome P450"	70.2460711573319	-1.81922068750472	0.594499528776742	-3.06008768627285	0.00221272197674176	0.0918973647536107	23	68	102	60	20	29	21	27	122	259
"Solyc04g079730"	"cytochrome P450"	224.328218529005	-1.64563846889699	0.544771671667478	-3.02078568780916	0.00252119739985588	0.0965458684743229	104	70	449	383	136	161	68	156	87	677
"Solyc03g111280"	"Cytochrome P450"	68.222085542947	-2.74555531523117	0.916492017494714	-2.9957220170191	0.00273795905853847	0.100492576679251	3	34	266	7	8	47	33	12	42	261
"Solyc04g071780"	"Cytochrome P450"	64.9437595976677	3.73907506489312	1.24901379442474	2.99362191321133	0.00275687343092999	0.10074224176986	1	413	28	4	91	2	30	77	0	12
"Solyc03g095310"	"Cytochrome P450"	20.8305504156861	2.13637924640907	0.716607850956949	2.98123896292257	0.00287084679763059	0.101952343141853	18	47	6	11	22	14	75	11	2	6
"Solyc01g080900"	"Cytochrome P450"	47.9870476079154	1.59455271178928	0.578957327677027	2.75418003290012	0.00588393918365785	0.141938875538355	81	89	5	23	67	44	53	75	38	9
"Solyc01g008670"	"Cytochrome P450"	191196.765678779	-1.54215951828999	0.568102260631893	-2.7145808512972	0.00663596998638464	0.149096933762271	70678	179786	384911	95940	52849	98609	121520	77152	175386	752718
"Solyc07g006140"	"Cytochrome P450"	14.7801252933643	1.6395903923693	0.620908052853686	2.64063315789473	0.00827512668614418	0.164627233508945	51	18	8	10	12	12	21	17	3	3
"Solyc02g080330"	"Cytochrome P450"	3783.50525451116	-1.83111982059644	0.696251803979104	-2.6299677934499	0.00853929575929539	0.166510361800769	2024	1423	12327	1506	719	3251	1111	3193	894	13056
"Solyc04g079660"	"Cytochrome P450"	177.214344806843	2.51601413066736	0.986971427299209	2.54922691891121	0.0107962026625306	0.18463296556226	15	635	32	18	15	163	293	571	16	45
"Solyc10g080870"	"Cytochrome P450"	5192.47445091116	-1.86340476944162	0.733228572101401	-2.5413695542458	0.0110419140753682	0.186643366477704	3489	1338	708	5561	1368	4385	2815	2550	3132	30864
"Solyc10g051020"	"Cytochrome P450"	278.860992019622	2.06027313391747	0.834110216829331	2.47002505466136	0.013510358930148	0.203016141200022	146	856	5	134	338	173	285	618	199	19
"Solyc03g111920"	"Cytochrome P450"	42.8420940091644	-2.17924019959065	0.932084755818962	-2.33802793789487	0.019385798905933	0.240824687291695	4	13	25	22	12	7	34	14	40	294
"Solyc07g055470"	"Cytochrome P450"	273.278216121042	1.58730833728624	0.68644248018213	2.31236903762874	0.0207573551217147	0.24853620414351	148	503	24	189	542	233	536	276	195	32
"Solyc01g008640"	"Cytochrome P450"	328.669135405564	-2.87974143404626	1.27593904981167	-2.25695846088519	0.0240106704948288	0.264297840761115	1	306	2176	37	50	31	37	11	55	623
"Solyc04g078370"	"Cytochrome P450"	141.332414435881	-2.72923842076414	1.21466697807489	-2.2469026243635	0.0246462509661529	0.266716258748359	89	28	656	350	1	20	0	80	67	105
"Solyc04g011940"	"Cytochrome P450"	21.0228471062841	3.61812729129433	1.63753392914108	2.20949760301585	0.0271400489492249	0.277439828268417	0	6	0	11	11	1	15	153	3	0
"Solyc09g092640"	"Cytochrome P450"	78.8575024319913	1.91204436362776	0.871555438605764	2.19382988038773	0.0282476418410003	0.281600716492878	88	420	7	61	45	29	97	10	50	15
"Solyc10g007900"	"Cytochrome P450"	273.640593112495	1.72656001096976	0.790121023465531	2.18518424354403	0.0288753403297307	0.285312517528245	682	632	23	63	112	450	642	179	29	96
"Solyc09g098610"	"cytochrome P450"	809.003660388662	1.89123072794886	0.890112859031433	2.12470891613315	0.0336109090214371	0.30482738197927	5755	1090	229	262	91	715	197	280	347	179
"Solyc06g051750"	"Cytochrome P450"	522.92722177086	1.1514479335747	0.546139140559622	2.10834171745103	0.035001441886113	0.309516292660527	662	612	102	294	719	636	683	917	491	93
"Solyc03g120060"	"Cytochrome P450"	10.0046412232975	2.15658954168004	1.02323222176618	2.10762473640402	0.0350634621696349	0.309516368667528	38	10	0	6	5	6	12	22	6	0
"Solyc07g062510"	"Cytochrome P450"	5808.84791296661	-1.67152710919499	0.799499521171905	-2.09071683588362	0.0365534548801323	0.313574035576135	5069	7087	12499	2072	608	3827	1648	713	2194	26980
"Solyc04g051190"	"Cytochrome P450"	1644.90012946477	-0.857908020844506	0.423197366820374	-2.02720547930215	0.0426414030390179	0.334212028619327	2417	1186	2597	680	666	1772	1126	809	2067	3891
"Solyc04g011690"	"Cytochrome P450"	3184.8006171556	-1.02029044189575	0.516740213747636	-1.97447462912966	0.0483277995146933	0.352742790880592	509	2424	2444	2905	1655	3679	2998	2794	3471	9936
"Solyc04g079640"	"Cytochrome P450"	1445.35414684126	1.73369194568263	0.885763932264053	1.95728442142731	0.0503140380491445	0.358521366409067	2098	2045	93	287	212	2503	2837	4229	414	126
"Solyc03g112010"	"Cytochrome P450"	313.532635185165	1.169087537423	0.603143752245788	1.93832321576727	0.0525838017437584	0.366231861773515	684	999	293	92	92	121	329	231	102	399
"Solyc09g092560"	"Cytochrome P450"	3122.13767607136	2.60278399730334	1.36465880260288	1.9072782092776	0.0564845704401196	0.377813813597173	23151	4421	2	1236	596	3172	1833	985	35	12
"Solyc09g098030"	"Cytochrome P450"	6104.42311744048	1.05802430621428	0.55700399302632	1.89949142099648	0.0574998935371317	0.381580956226661	22406	9369	2846	5687	1935	6720	5009	6442	2272	2286
"Solyc11g027770"	"Cytochrome P450 monooxygenase "	450.82870593646	1.26656682395526	0.67487390141674	1.87674589474626	0.0605529291611691	0.389450060634364	608	177	39	419	359	418	757	1283	303	135
"Solyc10g078280"	"Cytochrome P450 gene"	320.111707344039	-0.58154499703556	0.314434892218297	-1.84949257041048	0.0643867196259141	0.399819326559815	369	183	265	222	242	451	337	180	467	567
"Solyc09g014900"	"Cytochrome P450"	3291.56671860593	-0.859884845957615	0.465976599833035	-1.84533911416522	0.0649882240144688	0.401891462243322	4628	1944	7208	1228	1521	3782	2926	1316	3001	6686
"Solyc10g085500"	"Cytochrome P450"	112.55703452866	1.76853831511207	0.967099907521873	1.828702806563	0.0674441418091284	0.407700574247229	310	131	42	0	318	98	22	87	35	95
"Solyc02g082070"	"Cytochrome P450"	104.326729820086	1.7446903543087	0.970757322841341	1.79724665810618	0.0722964703358637	0.418607873054861	37	495	3	133	132	59	100	54	30	7
"Solyc02g065190"	"Cytochrome P450"	43.2105249599149	-1.95251092170618	1.09073329676584	-1.79009014164656	0.0734394213757503	0.420518546493794	0	34	57	116	3	90	2	49	56	18
"Solyc04g005370"	"Cytochrome P450"	271.978570042993	3.61206002800616	2.02698151436166	1.7819896246778	0.0747509236909826	0.423996834848041	2619	360	9	19	1	22	11	0	148	0
"Solyc01g094750"	"Cytochrome P450"	1401.88769991858	-1.08999849976181	0.612552254932517	-1.7794375761165	0.0751680505718469	0.424791080962436	1483	538	2547	647	85	2454	1322	1293	1456	2742
"Solyc05g047680"	"Cytochrome P450"	34.0423289286403	1.98910018170418	1.12073823334234	1.77481246068687	0.0759288581811204	0.425780548388173	20	18	7	6	9	42	33	186	14	0
"Solyc03g111300"	"Cytochrome P450"	28.0862970033566	-2.13477026374464	1.20463535849106	-1.77212983887397	0.0763730067916079	0.426612039404389	0	36	68	2	2	22	9	7	9	147
"Solyc07g062500"	"Cytochrome P450"	2010.47600309151	-0.99677363606766	0.569542597229187	-1.75013008845509	0.0800958689163977	0.434238441548196	430	2580	2098	2873	966	766	2122	694	3965	3801
"Solyc06g076800"	"Cytochrome P450"	587.382293297836	2.08078708054437	1.20865020405322	1.72157922413485	0.0851457693954297	0.444673218906076	3	201	23	834	457	44	1227	2679	98	68
"Solyc04g005360"	"Cytochrome P450"	44.0051746764715	3.15841834220468	1.90146791681199	1.66104214237814	0.0967049831756381	0.467030502313584	315	145	6	14	0	10	0	0	13	0
"Solyc11g051200"	"Cytochrome P450 like_TBP "	22.3851610220121	0.975144893624826	0.602888116630597	1.61745582094848	0.10577992470004	0.485269303333676	60	11	16	8	12	16	20	52	13	25
"Solyc11g007540"	"Cytochrome P450"	8323.49551683053	-1.15662289689736	0.715427811977176	-1.61668707524926	0.105945845219886	0.485537067219237	9285	3504	15365	3485	1363	3613	7724	5383	2543	37015
"Solyc11g056670"	"Cytochrome P450"	2104.16561501713	1.58793346844218	0.9865314129871	1.60961267683723	0.107482439002178	0.487603283377031	10442	5190	1059	277	150	966	2146	40	832	2410
"Solyc09g092580"	"Cytochrome P450"	4488.97008265878	-1.14863026864706	0.735604666057819	-1.56147768175899	0.118411085730622	0.505667395724433	5037	6067	9142	1854	874	5138	3017	141	5539	10293
"Solyc01g008110"	"Cytochrome P450"	6303.4733204405	0.828743479053158	0.536676939467466	1.54421294843692	0.122536753018103	0.512314693617665	27251	4455	4420	3451	2534	6213	5766	4737	4978	3845
"Solyc03g111950"	"Cytochrome P450"	1187.68231913775	1.41941806421283	0.921021643422925	1.54113432007704	0.123284098567049	0.513120197043601	7309	2088	1176	372	60	777	314	261	482	440
"Solyc02g069600"	"Cytochrome P450"	64.236797326581	1.48479564676112	0.964015459838932	1.54021974607046	0.123506798266658	0.513236088388403	323	38	5	27	39	79	85	39	56	1
"Solyc00g009760"	"Cytochrome P450 monooxygenase "	6527.18214677009	0.724080296174669	0.474810208608458	1.52498889671466	0.127261867099509	0.519499515094604	8139	2904	2802	6933	5039	4916	8271	16292	5927	3928
"Solyc08g079280"	"cytochrome P450"	7241.03172914153	1.21837463172617	0.806022302710786	1.51158922976272	0.130638393282075	0.524651245812579	36996	12899	1702	5842	691	3990	1394	5548	5956	4286
"Solyc10g078220"	"Cytochrome P450"	115.877032438861	2.07897746824854	1.42000667896631	1.464061753401	0.143177076194123	0.542852616663247	4	887	8	70	4	124	102	3	18	1
"Solyc09g098010"	"Cytochrome P450"	24.044089890733	1.88087310062796	1.29690755361836	1.45027538422484	0.146981740593496	0.547968782313216	183	18	0	12	1	9	17	3	3	31
"Solyc10g087040"	"cytochrome P450"	15.7092972219884	-1.88492214821334	1.32713922228624	-1.42028968518179	0.155523362854787	0.561300448590869	0	12	69	0	3	30	17	2	19	5
"Solyc05g055400"	"Cytochrome P450"	7336.45126453851	-0.745739555221907	0.526557831841752	-1.41625384739511	0.156701195304622	0.562453794770567	8743	2602	11706	2569	2823	8339	7119	7068	4663	21310
"Solyc04g078900"	"Cytochrome P450"	150.375012048345	1.35748282001761	0.960615800761244	1.41313813383235	0.157615112670066	0.5639902699423	114	456	39	251	91	85	368	90	29	1
"Solyc04g078290"	"Cytochrome P450"	1407.53769958942	-0.553439712062665	0.392189145054228	-1.41115509962965	0.158198886221365	0.564532412585656	680	1035	2003	2456	1290	1318	869	1704	976	1621
"Solyc04g079680"	"Cytochrome P450"	360.369907068611	0.653822352200172	0.464920877600919	1.40630886608926	0.159632428536505	0.566080630832428	645	303	137	173	264	517	401	648	133	511
"Solyc10g083690"	"Cytochrome P450"	802.466245060303	1.17735249879466	0.848507201283965	1.38755746210885	0.165271842099817	0.573849940716781	256	3533	77	1033	309	430	545	1104	730	111
"Solyc04g080100"	"Cytochrome P450"	758.445251040013	0.563692542715641	0.407846288521706	1.38212007459678	0.166934835579765	0.575972760108033	1925	1039	650	442	289	1021	827	771	473	520
"Solyc02g090300"	"Cytochrome P450"	15.7311760125923	-0.97653728484159	0.727676920145392	-1.34199293368611	0.17959828684564	0.594213885853581	8	5	34	9	16	20	16	7	4	42
"Solyc03g111930"	"Cytochrome P450"	141.824720848391	-0.889033400309687	0.676354477510891	-1.31444890197444	0.188695183026345	0.603847043808801	34	56	98	127	87	60	264	53	300	363
"Solyc08g079310"	"Cytochrome P450"	100.613060650396	1.92682388399124	1.48820035790339	1.29473418935726	0.195411941409782	0.611529716777888	46	133	2	97	17	4	1	583	95	0
"Solyc03g026140"	"Cytochrome P450"	218.443957787741	-0.480170257611634	0.372531355638384	-1.28893917342554	0.1974192339187	0.612562719555399	117	257	150	261	147	419	179	215	271	178
"Solyc04g076380"	"Cytochrome P450 NADPH-reductase "	14539.5765559247	0.251677633673424	0.198409550927791	1.26847539595017	0.204628231711482	0.621241479936633	17661	14164	12757	9690	13884	11567	15918	18190	13124	21002
"Solyc08g080390"	"Cytochrome P450"	286.898736582826	1.06007781841686	0.841400048099002	1.25989750156531	0.207706340154085	0.625229970161602	524	698	17	350	278	232	180	331	293	9
"Solyc10g007860"	"Cytochrome P450 ent-kaurenoic acid oxidase "	43.6299383191463	-2.31347685171281	1.85382094771458	-1.24795053943311	0.212049170797792	0.630646610658026	74	7	256	0	0	3	1	4	0	114
"Solyc06g076160"	"Cytochrome P450"	573.319102952318	1.59516974022534	1.2896900909382	1.23686283350825	0.216138010198149	0.635480114820399	3666	842	31	800	13	458	445	38	90	2
"Solyc04g071820"	"Cytochrome P450"	4447.21491831907	0.967328586911102	0.82165062361975	1.17729915745645	0.23907612309568	0.657172917858687	23309	3890	4368	413	2047	4413	2645	1420	656	6064
"Solyc10g083700"	"Cytochrome P450"	198.550574255353	0.974552719240026	0.830152029824375	1.17394487302067	0.240417107172166	0.657887297546692	291	596	15	212	44	274	177	280	143	17
"Solyc03g112040"	"Cytochrome P450"	48.1987642305322	-1.13851388142754	0.980410674468506	-1.1612622251841	0.245535276414976	0.661105321090506	0	43	103	13	14	32	66	28	35	168
"Solyc04g071800"	"Cytochrome P450"	700.792606349821	0.585967068073767	0.505540521482334	1.15909020775547	0.246419416921457	0.66120271280674	602	1237	439	276	246	769	1314	931	985	335
"Solyc08g075320"	"Cytochrome P450"	104.510544957263	-1.62347173404335	1.40307960625788	-1.15707742226635	0.247240730103495	0.661365280407567	1	20	7	700	91	16	112	18	2	14
"Solyc02g084930"	"Cytochrome P450"	30.3146848600197	1.21370390431139	1.05066395097545	1.15517802165437	0.248017533035333	0.661499850792886	15	89	7	47	7	20	88	21	14	0
"Solyc02g014730"	"Cytochrome P450"	135.35244195789	1.38169219034381	1.19478967051819	1.15643131543359	0.247504778705371	0.661499850792886	4	26	6	277	100	19	247	561	42	11
"Solyc03g096980"	"Cytochrome P450"	1469.5470594867	-0.371915366786263	0.326518648988787	-1.13903254205561	0.254689581463899	0.667333544261712	2757	1494	1631	1183	697	2092	793	1072	1700	1819
"Solyc02g092250"	"Cytochrome P450"	228.553196338645	-0.525555366005051	0.471527952559159	-1.11457944996191	0.265030680608442	0.676092545387129	225	180	102	489	202	218	272	73	243	297
"Solyc05g016330"	"Cytochrome P450"	563.188786541976	-0.316600330332151	0.292600233702989	-1.08202350464807	0.279242083899553	0.688353180274418	821	770	747	433	333	699	418	291	618	671
"Solyc11g027670"	"Cytochrome P450 like_TBP "	26.8969574501992	1.14535978666322	1.0633362471184	1.07713791358764	0.281418657356209	0.689111487490617	24	6	2	30	33	32	35	82	18	0
"Solyc02g084740"	"Cytochrome P450"	249.06413755111	0.549688877895117	0.516509269374547	1.06423816664655	0.287220821155203	0.693468165116976	519	330	151	362	96	239	320	300	178	61
"Solyc11g066580"	"Cytochrome P450"	618.725162007829	0.570131001616453	0.537549856008391	1.06061046290663	0.28886696563584	0.695071661834608	964	137	407	384	898	878	1169	533	539	297
"Solyc10g078230"	"Cytochrome P450"	13.2485991445835	1.51673811599674	1.43038787497032	1.06036840953242	0.288977028091339	0.69509351985499	12	52	0	0	7	26	15	16	9	0
"Solyc00g068970"	"Cytochrome P450 like_TBP "	1169.80786272821	0.77597194733274	0.7559471751211	1.02648964487291	0.304660842156521	0.706337347000462	5031	1811	1184	544	316	313	403	728	266	2251
"Solyc03g122350"	"Cytochrome P450"	469.862246195316	0.864266419821968	0.84815159488556	1.01899993472108	0.308202997518268	0.707623893594473	115	747	198	857	442	192	136	1504	306	44
"Solyc05g047530"	"Cytochrome P450"	63.0858911419416	0.521605863729431	0.515103374603322	1.01262365856391	0.311239954893405	0.709644101695414	47	168	45	90	39	51	51	76	35	36
"Solyc03g114940"	"Cytochrome P450"	201.411874269772	1.2140444046969	1.21466338760944	0.999490407862085	0.317557183456514	0.713964462605486	19	437	6	332	128	188	529	300	61	0
"Solyc04g054260"	"Cytochrome P450"	87.5869525155625	1.00077256282922	1.00986494663027	0.990996435878494	0.32168732062009	0.717178604129699	65	242	12	143	61	101	145	86	28	0
"Solyc04g054220"	"Cytochrome P450"	868.316615989176	2.23697382167611	2.33259893540411	0.959004905525504	0.337556273928126	0.726762417608429	5607	1592	0	0	73	1567	841	127	19	0
"Solyc02g065230"	"Cytochrome P450"	116.290078148906	0.853223491529487	0.893622699936134	0.954791649306207	0.339683071212547	0.728082509343038	177	501	134	52	20	43	26	82	10	197
"Solyc01g108210"	"Cytochrome P450"	142.3006253443	0.479490814311964	0.506947474991244	0.945839239696867	0.344230588022255	0.73052046161789	378	239	182	72	111	122	84	75	53	184
"Solyc09g092670"	"Cytochrome P450"	11.2296796717194	0.608084557514009	0.654820775584523	0.928627465998165	0.353082182719394	0.736357813896038	15	5	4	10	19	13	14	14	3	16
"Solyc02g065220"	"Cytochrome P450"	2406.60071959128	-0.681857531213249	0.766123195023429	-0.890010295527466	0.373460357866745	0.750786131618625	4227	3497	7622	1592	324	3937	1035	1036	1054	499
"Solyc01g008650"	"Cytochrome P450"	91.4785128711171	-1.06001181304241	1.19799978186742	-0.884818035100213	0.376254780728441	0.752457476779967	1	179	383	168	27	23	84	14	18	5
"Solyc08g062950"	"Cytochrome P450"	25.0016117926281	0.94321597705588	1.07513430900757	0.877300602495462	0.380323385080644	0.75474570058354	87	29	1	13	17	53	15	29	19	0
"Solyc07g025370"	"Cytochrome P450"	453.485079373658	1.83833743944336	2.1507256524052	0.854752179752687	0.392688356810213	0.764172392921611	1276	586	251	0	1074	759	0	630	7	0
"Solyc07g014670"	"Cytochrome P450"	1095.68605824568	-0.584409525403807	0.705940046695087	-0.827845832149296	0.40775781490777	0.775877296160093	236	786	373	3670	728	829	792	1726	930	557
"Solyc08g005610"	"Cytochrome P450"	666.828460074741	-0.506564393938924	0.621558141681612	-0.814991164894768	0.415077367382877	0.77972247806608	381	210	1281	314	710	417	454	908	253	1858
"Solyc02g089160"	"Cytochrome P450"	48.0402424489675	0.456649789864861	0.571698581233164	0.798759704597936	0.424429759815759	0.784951529330828	43	50	49	67	42	57	92	53	14	13
"Solyc06g074420"	"Cytochrome P450"	13.3267636768884	0.874550399901069	1.11361185640353	0.785327845489609	0.432261373710401	0.789752549999039	26	32	25	13	12	5	21	0	1	2
