target_id	name	pathway
Solyc01g067890	DXS1	MEP
Solyc11g010850	DXS2	MEP
Solyc08g066950	DXS3	MEP
Solyc03g114340	DXR	MEP
Solyc01g102820	MCT	MEP
Solyc01g009010	CMK	MEP
Solyc08g081570	MDS	MEP
Solyc11g069380	HDS	MEP
Solyc01g109300	HDR	MEP
Solyc04g056390	IDI1	MEP
Solyc08g005680	NDPS/zFPS	MEP
Solyc04g015100	AACT1	MVA
Solyc05g017760	AACT2	MVA
Solyc07g045350	AACT3	MVA
Solyc08g007790	HMGS2	MVA
Solyc08g080170	HMGS3	MVA
Solyc12g056450	HMGS1	MVA
Solyc02g038740	HMGR3	MVA
Solyc02g082260	HMGR4	MVA
Solyc03g032010	HMGR2	MVA
Solyc03g032020	HMGR1	MVA
Solyc01g098840	MVK	MVA
Solyc08g076140	PMK1	MVA
Solyc06g066310	PMK2	MVA
Solyc04g009650	MDC1	MVA
Solyc11g007020	MDC2	MVA
Solyc05g055760	IDI2	MVA
Solyc08g075390	Nudix	MVA
Solyc04g005520	IPK	MVA
Solyc12g015860	FPS	MVA
