target_id	functional_annotation
Solyc00g005000	Aspartic proteinase nepenthesin I 
Solyc00g005020	Unknown Protein 
Solyc00g005040	Potassium channel 
Solyc00g005050	Arabinogalactan protein 
Solyc00g005060	Unknown Protein 
Solyc00g005070	Unknown Protein 
Solyc00g005080	Ycf2 
Solyc00g005090	Unknown Protein 
Solyc00g005100	Unknown Protein 
Solyc00g005110	Unknown Protein 
Solyc00g005120	Unknown Protein 
Solyc00g005130	Ulp1 protease family C-terminal catalytic domain containing protein 
Solyc00g005140	Unknown Protein 
Solyc00g005150	HAT dimerisation domain-containing protein-like 
Solyc00g005160	Retrovirus-related Pol polyprotein from transposon TNT 1-94 
Solyc00g005170	Unknown Protein 
Solyc00g005180	Unknown Protein 
Solyc00g005280	Unknown Protein 
Solyc00g005420	Unknown Protein 
Solyc00g005430	Unknown Protein 
Solyc00g005440	40S ribosomal protein S9 
Solyc00g005450	Unknown Protein 
Solyc00g005460	Unknown Protein 
Solyc00g005470	40S ribosomal protein S9 
Solyc00g005480	Ubiquitin carrier protein 
Solyc00g005490	Unknown Protein 
Solyc00g005840	Thioredoxin family protein 
Solyc00g005850	Unknown Protein 
Solyc00g005860	Unknown Protein 
Solyc00g005870	Mutator-like transposase 
Solyc00g005880	Unknown Protein 
Solyc00g005890	Unknown Protein 
Solyc00g005900	"Oxygen-evolving enhancer protein 1, chloroplastic "
Solyc00g005980	Zinc finger CCHC-type 
Solyc00g006010	Unknown Protein 
Solyc00g006020	Endonuclease/exonuclease/phosphatase 
Solyc00g006050	Unknown Protein 
Solyc00g006090	Endonuclease/exonuclease/phosphatase 
Solyc00g006170	Zinc finger CCHC-type 
Solyc00g006250	Unknown Protein 
Solyc00g006470	Unknown Protein 
Solyc00g006480	Glucosyltransferase-12 
Solyc00g006490	Serine/threonine-protein phosphatase 6 regulatory subunit 3 
Solyc00g006500	Unknown Protein 
Solyc00g006510	Unknown Protein 
Solyc00g006520	Unknown Protein 
Solyc00g006530	Unknown Protein 
Solyc00g006540	Unknown Protein 
Solyc00g006550	UDP-glucosyltransferase family 1 protein 
Solyc00g006560	Glucosyltransferase-12 
Solyc00g006570	Unknown Protein 
Solyc00g006590	Unknown Protein 
Solyc00g006600	HAT family dimerisation domain containing protein 
Solyc00g006630	Unknown Protein 
Solyc00g006650	Unknown Protein 
Solyc00g006660	Unknown Protein 
Solyc00g006670	Unknown Protein 
Solyc00g006680	Plant senescence-associated protein 
Solyc00g006690	Unknown Protein 
Solyc00g006700	Unknown Protein 
Solyc00g006800	Transaldolase 
