target_id	length	eff_length	est_counts	tpm
Solyc00g500001.1.1	681	437.583	0	0
Solyc00g500002.1.1	816	570.544	38	1.4012
Solyc00g500003.1.1	1665	1419.07	0	0
Solyc00g500004.1.1	821	575.533	0	0
Solyc00g500005.1.1	252	76.2861	0	0
Solyc00g500006.1.1	180	36.3774	0	0
Solyc00g500007.1.1	507	273.781	0	0
Solyc00g500008.1.1	498	265.748	0	0
Solyc00g500009.1.1	327	126.835	0	0
Solyc00g500010.1.1	692	448.396	0	0
Solyc00g500011.1.1	8288	8042.07	0	0
Solyc00g500012.1.1	3985	3739.07	0	0
Solyc00g500013.1.1	627	385.613	0	0
Solyc00g500014.1.1	5324	5078.07	0	0
Solyc00g500015.1.1	5552	5306.07	0	0
Solyc00g500016.1.1	369	158.105	0	0
Solyc00g500017.1.1	372	160.36	0	0
Solyc00g500018.1.1	1417	1171.07	0	0
Solyc00g014290.1.1	327	126.835	0	0
Solyc00g005280.1.1	411	191.396	0	0
Solyc00g500019.1.1	372	160.36	0	0
Solyc00g500020.1.1	1305	1059.07	53.9569	1.07183
Solyc00g500021.1.1	324	124.604	126.489	21.3562
Solyc00g500022.1.1	810	564.578	61.0485	2.27486
Solyc00g180440.1.1	252	76.2861	28	7.72177
Solyc00g500023.1.1	1023	777.072	111.403	3.01606
Solyc00g500024.1.1	1527	1281.07	162.5	2.66861
Solyc00g500025.1.1	195	43.7389	77.6553	37.3515
Solyc00g500026.1.1	207	49.8469	4.17233	1.76094
Solyc00g500027.1.1	702	458.096	111	5.09766
Solyc00g500028.1.1	450	223.872	17.5223	1.64663
Solyc00g500029.1.1	273	89.7206	0	0
Solyc00g500030.1.1	417	196.316	8.5	0.910895
Solyc00g500031.1.1	771	525.892	16.5	0.660073
Solyc00g500032.1.1	357	148.835	4	0.565405
Solyc00g500033.1.1	507	273.781	0	0
Solyc00g500034.1.1	1059	813.072	31	0.802116
Solyc00g500035.1.1	429	206.248	10.1122	1.03148
Solyc00g500036.1.1	402	184.169	52.0186	5.94219
Solyc00g500037.1.1	6624	6378.07	24.0254	0.0792477
Solyc00g500038.1.1	216	54.8306	0	0
Solyc00g500039.1.1	501	268.493	328.215	25.7176
Solyc00g500040.1.1	567	328.885	0	0
Solyc00g500041.1.1	1092	846.072	30	0.745965
Solyc00g500042.1.1	3097	2851.07	17.1092	0.126248
Solyc00g500043.1.1	1848	1602.07	0	0
Solyc00g500044.1.1	501	268.493	328.215	25.7176
Solyc00g500045.1.1	216	54.8306	0	0
Solyc00g500046.1.1	6624	6378.07	24.0254	0.0792477
Solyc00g500047.1.1	885	639.169	104.194	3.4295
Solyc00g277510.1.1	201	46.6883	293.727	132.355
Solyc00g500048.1.1	1356	1110.07	6.4	0.121292
Solyc00g500049.1.1	294	103.549	5.47046	1.11143
Solyc00g500050.1.1	1524	1278.07	0	0
Solyc00g500051.1.1	1101	855.072	14.8826	0.366167
Solyc00g500052.1.1	4974	4728.07	0	0
Solyc00g500053.1.1	675	431.758	0	0
Solyc00g500054.1.1	2331	2085.07	314.667	3.17493
Solyc00g500055.1.1	378	164.985	51	6.50325
Solyc00g500056.1.1	2205	1959.07	119.333	1.28149
Solyc00g500057.1.1	1962	1716.07	170	2.0841
Solyc00g500058.1.1	390	174.543	14.5	1.74771
Solyc00g500059.1.1	258	80.1301	3	0.787645
Solyc00g500060.1.1	1130	884.072	4	0.0951868
Solyc00g500061.1.1	477	247.223	31	2.63802
Solyc00g500062.1.1	765	519.986	44	1.78019
Solyc00g500063.1.1	4149	3903.07	1986	10.7048
Solyc00g500064.1.1	1497	1251.07	0	0
Solyc00g500065.1.1	1176	930.072	84	1.90006
Solyc00g500066.1.1	348	142.052	31	4.59113
Solyc00g500067.1.1	1305	1059.07	53.9569	1.07183
Solyc00g500068.1.1	324	124.604	126.489	21.3562
Solyc00g500069.1.1	189	40.8477	0	0
Solyc00g500070.1.1	402	184.169	4.59706	0.525132
Solyc00g500071.1.1	1527	1281.07	162.5	2.66861
Solyc00g500072.1.1	207	49.8469	4.17233	1.76094
Solyc00g500073.1.1	759	514.059	0	0
Solyc00g500074.1.1	273	89.7206	0	0
Solyc00g500075.1.1	417	196.316	8.5	0.910895
Solyc00g500076.1.1	771	525.892	16.5	0.660073
Solyc00g500077.1.1	357	148.835	4	0.565405
Solyc00g500078.1.1	507	273.781	0	0
Solyc00g500079.1.1	429	206.248	10.1122	1.03148
Solyc00g500080.1.1	402	184.169	52.0186	5.94219
Solyc00g500081.1.1	6624	6378.07	24.0254	0.0792477
Solyc00g500082.1.1	216	54.8306	0	0
Solyc00g500083.1.1	501	268.493	328.215	25.7176
