target_id	length	eff_length	est_counts	tpm
Solyc00g500001.1.1	681	435.248	0	0
Solyc00g500002.1.1	816	568.075	0	0
Solyc00g500003.1.1	1665	1416.47	0	0
Solyc00g500004.1.1	821	573.03	0	0
Solyc00g500005.1.1	252	76.4827	0	0
Solyc00g500006.1.1	180	37.0225	0	0
Solyc00g500007.1.1	507	272.393	0	0
Solyc00g500008.1.1	498	264.375	0	0
Solyc00g500009.1.1	327	126.117	0	0
Solyc00g500010.1.1	692	446	0	0
Solyc00g500011.1.1	8288	8039.47	0	0
Solyc00g500012.1.1	3985	3736.47	0	0
Solyc00g500013.1.1	627	383.169	0	0
Solyc00g500014.1.1	5324	5075.47	0	0
Solyc00g500015.1.1	5552	5303.47	0	0
Solyc00g500016.1.1	369	157.277	0	0
Solyc00g500017.1.1	372	159.564	0	0
Solyc00g500018.1.1	1417	1168.47	0	0
Solyc00g014290.1.1	327	126.117	0	0
Solyc00g005280.1.1	411	190.289	0	0
Solyc00g500019.1.1	372	159.564	0	0
Solyc00g500020.1.1	1305	1056.47	20.9864	0.620694
Solyc00g500021.1.1	324	124.049	144.458	36.3865
Solyc00g500022.1.1	810	562.154	22	1.22282
Solyc00g180440.1.1	252	76.4827	12	4.90243
Solyc00g500023.1.1	1023	774.465	129	5.20453
Solyc00g500024.1.1	1527	1278.47	82.5	2.01632
Solyc00g500025.1.1	195	44.2482	22.2204	15.691
Solyc00g500026.1.1	207	50.3991	1.8898	1.17162
Solyc00g500027.1.1	702	455.665	62	4.25148
Solyc00g500028.1.1	450	222.724	23.1854	3.25269
Solyc00g500029.1.1	273	89.7993	8.93562	3.10918
Solyc00g500030.1.1	417	195.22	5	0.800277
Solyc00g500031.1.1	771	523.544	13.8683	0.827686
Solyc00g500032.1.1	357	148.131	7	1.47654
Solyc00g500033.1.1	507	272.393	0	0
Solyc00g500034.1.1	1059	810.465	17	0.655403
Solyc00g500035.1.1	429	205.028	7.90263	1.20435
Solyc00g500036.1.1	402	183.066	26.3177	4.49196
Solyc00g500037.1.1	6624	6375.47	15.9588	0.0782134
Solyc00g500038.1.1	216	55.379	0	0
Solyc00g500039.1.1	501	267.01	370.73	43.3835
Solyc00g500040.1.1	567	326.697	0	0
Solyc00g500041.1.1	1092	843.465	38.3966	1.42239
Solyc00g500042.1.1	3097	2848.47	21.7514	0.238599
Solyc00g500043.1.1	1848	1599.47	0	0
Solyc00g500044.1.1	501	267.01	370.73	43.3835
Solyc00g500045.1.1	216	55.379	0	0
Solyc00g500046.1.1	6624	6375.47	15.9588	0.0782134
Solyc00g500047.1.1	885	636.658	87.7934	4.30874
Solyc00g277510.1.1	201	47.2549	313.52	207.306
Solyc00g500048.1.1	1356	1107.47	5.6	0.157998
Solyc00g500049.1.1	294	103.668	2.75	0.828859
Solyc00g500050.1.1	1524	1275.47	5.94709e-06	1.4569e-07
Solyc00g500051.1.1	1101	852.465	30.2731	1.10962
Solyc00g500052.1.1	4974	4725.47	13.0264	0.086134
Solyc00g500053.1.1	675	429.361	3	0.21832
Solyc00g500054.1.1	2331	2082.47	143	2.14562
Solyc00g500055.1.1	378	164.146	18.6667	3.55329
Solyc00g500056.1.1	2205	1956.47	58.6667	0.936943
Solyc00g500057.1.1	1962	1713.47	85.6181	1.56129
Solyc00g500058.1.1	390	173.599	9.5	1.7099
Solyc00g500059.1.1	258	80.106	2.33333	0.910135
Solyc00g500060.1.1	1130	881.465	8.62856	0.305863
Solyc00g500061.1.1	477	245.862	15	1.90632
Solyc00g500062.1.1	765	517.575	40	2.4148
Solyc00g500063.1.1	4149	3900.47	1285	10.2939
Solyc00g500064.1.1	1497	1248.47	0	0
Solyc00g500065.1.1	1176	927.465	20	0.673793
Solyc00g500066.1.1	348	141.499	20	4.41643
Solyc00g500067.1.1	1305	1056.47	20.9864	0.620694
Solyc00g500068.1.1	324	124.049	144.458	36.3865
Solyc00g500069.1.1	189	41.2536	0	0
Solyc00g500070.1.1	402	183.066	0	0
Solyc00g500071.1.1	1527	1278.47	82.5	2.01632
Solyc00g500072.1.1	207	50.3991	1.8898	1.17162
Solyc00g500073.1.1	759	511.637	0	0
Solyc00g500074.1.1	273	89.7993	8.93562	3.10918
Solyc00g500075.1.1	417	195.22	5	0.800277
Solyc00g500076.1.1	771	523.544	13.8683	0.827686
Solyc00g500077.1.1	357	148.131	7	1.47654
Solyc00g500078.1.1	507	272.393	0	0
Solyc00g500079.1.1	429	205.028	7.90263	1.20435
Solyc00g500080.1.1	402	183.066	26.3177	4.49196
Solyc00g500081.1.1	6624	6375.47	15.9588	0.0782134
Solyc00g500082.1.1	216	55.379	0	0
Solyc00g500083.1.1	501	267.01	370.73	43.3835
Solyc00g500084.1.1	1219	970.465	5.21751	0.167988
Solyc00g500085.1.1	537	299.448	5	0.521726
Solyc00g500086.1.1	1071	822.465	0	0
Solyc00g500087.1.1	1626	1377.47	11.0401	0.250431
Solyc00g500088.1.1	3005	2756.47	0	0
Solyc00g500089.1.1	18682	18433.5	0	0
Solyc00g500090.1.1	834	585.914	0	0
Solyc00g500091.1.1	728	481.123	0	0
Solyc00g011670.1.1	183	38.3915	0	0
Solyc00g011660.1.1	933	684.592	0	0
Solyc00g500092.1.1	1097	848.465	0	0
Solyc00g500093.1.1	603	360.503	0	0
Solyc00g500094.1.1	1359	1110.47	0	0
