target_id	length	eff_length	est_counts	tpm
Solyc00g500001.1.1	681	257.014	0	0
Solyc00g500002.1.1	816	385.139	0	0
Solyc00g500003.1.1	1665	1233.59	0	0
Solyc00g500004.1.1	821	390.12	0	0
Solyc00g500005.1.1	252	52.4783	0	0
Solyc00g500006.1.1	180	33.8522	0	0
Solyc00g500007.1.1	507	130.12	0	0
Solyc00g500008.1.1	498	125.645	0	0
Solyc00g500009.1.1	327	70.4421	0	0
Solyc00g500010.1.1	692	266.8	0	0
Solyc00g500011.1.1	8288	7856.59	0	0
Solyc00g500012.1.1	3985	3553.59	0	0
Solyc00g500013.1.1	627	211.316	0	0
Solyc00g500014.1.1	5324	4892.59	0	0
Solyc00g500015.1.1	5552	5120.59	0	0
Solyc00g500016.1.1	369	79.9041	0	0
Solyc00g500017.1.1	372	80.7635	0	0
Solyc00g500018.1.1	1417	985.589	0	0
Solyc00g014290.1.1	327	70.4421	0	0
Solyc00g005280.1.1	411	90.6598	0	0
Solyc00g500019.1.1	372	80.7635	0	0
Solyc00g500020.1.1	1305	873.589	75.42	2.22564
Solyc00g500021.1.1	324	69.7302	173.306	64.0719
Solyc00g500022.1.1	810	379.184	176	11.9657
Solyc00g180440.1.1	252	52.4783	100	49.1242
Solyc00g500023.1.1	1023	591.589	3125.71	136.208
Solyc00g500024.1.1	1527	1095.59	146	3.43542
Solyc00g500025.1.1	195	37.8808	25.1421	17.1103
Solyc00g500026.1.1	207	40.8481	5.42895	3.42625
Solyc00g500027.1.1	702	275.944	71	6.63303
Solyc00g500028.1.1	450	103.881	28.1682	6.99036
Solyc00g500029.1.1	273	57.7843	2.04836	0.913843
Solyc00g500030.1.1	417	92.5445	83.5	23.2601
Solyc00g500031.1.1	771	341.125	184.231	13.9227
Solyc00g500032.1.1	357	77.1243	251	83.8992
Solyc00g500033.1.1	507	130.12	0	0
Solyc00g500034.1.1	1059	627.589	2426.94	99.6919
Solyc00g500035.1.1	429	96.1889	189.261	50.7238
Solyc00g500036.1.1	402	88.4538	849.207	247.499
Solyc00g500037.1.1	6624	6192.59	25.2156	0.104972
Solyc00g500038.1.1	216	43.4177	0	0
Solyc00g500039.1.1	501	127.135	218.64	44.3342
Solyc00g500040.1.1	567	166.323	0	0
Solyc00g500041.1.1	1092	660.589	239.223	9.3357
Solyc00g500042.1.1	3097	2665.59	5810.55	56.1952
Solyc00g500043.1.1	1848	1416.59	6.57461	0.119647
Solyc00g500044.1.1	501	127.135	218.64	44.3342
Solyc00g500045.1.1	216	43.4177	0	0
Solyc00g500046.1.1	6624	6192.59	25.2156	0.104972
