target_id	length	eff_length	est_counts	tpm
Solyc00g500001.1.1	681	428.815	0	0
Solyc00g500002.1.1	816	561.007	0	0
Solyc00g500003.1.1	1665	1409.18	0	0
Solyc00g500004.1.1	821	565.969	0	0
Solyc00g500005.1.1	252	76.2878	0	0
Solyc00g500006.1.1	180	36.5307	0	0
Solyc00g500007.1.1	507	268.594	0	0
Solyc00g500008.1.1	498	260.738	0	0
Solyc00g500009.1.1	327	125.906	0	0
Solyc00g500010.1.1	692	439.394	0	0
Solyc00g500011.1.1	8288	8032.18	0	0
Solyc00g500012.1.1	3985	3729.18	0	0
Solyc00g500013.1.1	627	377.271	0	0
Solyc00g500014.1.1	5324	5068.18	0	0
Solyc00g500015.1.1	5552	5296.18	0	0
Solyc00g500016.1.1	369	156.001	0	0
Solyc00g500017.1.1	372	158.287	0	0
Solyc00g500018.1.1	1417	1161.18	0	0
Solyc00g014290.1.1	327	125.906	0	0
Solyc00g005280.1.1	411	187.853	0	0
Solyc00g500019.1.1	372	158.287	0	0
Solyc00g500020.1.1	1305	1049.18	59.5	1.12099
Solyc00g500021.1.1	324	123.783	269.64	43.0584
Solyc00g500022.1.1	810	555.054	120	4.27348
Solyc00g180440.1.1	252	76.2878	49	12.6963
Solyc00g500023.1.1	1023	767.184	155.676	4.01104
Solyc00g500024.1.1	1527	1271.18	432.495	6.72524
Solyc00g500025.1.1	195	43.993	129.82	58.3302
Solyc00g500026.1.1	207	50.439	1.07845	0.422636
Solyc00g500027.1.1	702	449.097	239.437	10.5387
Solyc00g500028.1.1	450	219.908	36.3175	3.26445
Solyc00g500029.1.1	273	89.3807	5.17087	1.14355
Solyc00g500030.1.1	417	192.695	8.5	0.871936
Solyc00g500031.1.1	771	516.564	27.7298	1.06111
Solyc00g500032.1.1	357	147.253	32.5	4.36271
Solyc00g500033.1.1	507	268.594	0	0
Solyc00g500034.1.1	1059	803.184	78	1.91962
Solyc00g500035.1.1	429	202.365	0	0
Solyc00g500036.1.1	402	180.715	77.048	8.42756
Solyc00g500037.1.1	6624	6368.18	33.1533	0.102908
Solyc00g500038.1.1	216	55.3594	0	0
Solyc00g500039.1.1	501	263.297	1180.78	88.6459
Solyc00g500040.1.1	567	321.772	0	0
Solyc00g500041.1.1	1092	836.184	93.9703	2.22139
Solyc00g500042.1.1	3097	2841.18	72	0.50092
Solyc00g500043.1.1	1848	1592.18	0	0
Solyc00g500044.1.1	501	263.297	1180.78	88.6459
Solyc00g500045.1.1	216	55.3594	0	0
Solyc00g500046.1.1	6624	6368.18	33.1533	0.102908
Solyc00g500047.1.1	885	629.465	258.877	8.12939
Solyc00g277510.1.1	201	47.0968	856.476	359.467
Solyc00g500048.1.1	1356	1100.18	43.8	0.786945
Solyc00g500049.1.1	294	103.26	17.5566	3.36081
Solyc00g500050.1.1	1524	1268.18	4.76545e-07	7.42775e-09
Solyc00g500051.1.1	1101	845.184	0.99998	0.0233871
Solyc00g500052.1.1	4974	4718.18	21.6327	0.0906298
Solyc00g500053.1.1	675	422.951	33.7516	1.57739
Solyc00g500054.1.1	2331	2075.18	627.119	5.9735
Solyc00g500055.1.1	378	162.163	89	10.8486
Solyc00g500056.1.1	2205	1949.18	232.333	2.3561
Solyc00g500057.1.1	1962	1706.18	338.496	3.9216
Solyc00g500058.1.1	390	171.222	30	3.46336
Solyc00g500059.1.1	258	79.9434	19	4.69793
Solyc00g500060.1.1	1130	874.184	22.6455	0.512052
Solyc00g500061.1.1	477	242.668	28	2.28077
Solyc00g500062.1.1	765	510.632	66	2.55488
Solyc00g500063.1.1	4149	3893.18	5246	26.6354
Solyc00g500064.1.1	1497	1241.18	0	0
Solyc00g500065.1.1	1176	920.184	50	1.07407
Solyc00g500066.1.1	348	140.776	61	8.56516
Solyc00g500067.1.1	1305	1049.18	59.5	1.12099
Solyc00g500068.1.1	324	123.783	269.64	43.0584
Solyc00g500069.1.1	189	41.0465	16.3243	7.86128
Solyc00g500070.1.1	402	180.715	0	0
Solyc00g500071.1.1	1527	1271.18	432.495	6.72524
Solyc00g500072.1.1	207	50.439	1.07845	0.422636
Solyc00g500073.1.1	759	504.734	4.10465	0.160749
Solyc00g500074.1.1	273	89.3807	5.17087	1.14355
Solyc00g500075.1.1	417	192.695	8.5	0.871936
Solyc00g500076.1.1	771	516.564	27.7298	1.06111
Solyc00g500077.1.1	357	147.253	32.5	4.36271
Solyc00g500078.1.1	507	268.594	0	0
