genotype,plant,clipcage,survival
LA1777,1,A,0
LA1777,2,A,0
LA1777,3,A,0
LA1777,1,B,0
LA1777,2,B,0
LA1777,3,B,6.666666667
F1,1,A,33.33333333
F1,2,A,66.66666667
F1,3,A,16.66666667
F1,1,B,13.33333333
F1,2,B,57.14285714
F1,3,B,0
Cultivar,1,A,55.55555556
Cultivar,2,A,44.44444444
Cultivar,3,A,60
Cultivar,1,B,57.14285714
Cultivar,2,B,72.22222222
Cultivar,3,B,44.44444444
PI127826,1,A,0
PI127826,2,A,0
PI127826,3,A,0
PI127826,1,B,0
PI127826,2,B,16.66666667
PI127826,3,B,0
PI127826 x LA1777,1,A,0
PI127826 x LA1777,2,A,0
PI127826 x LA1777,3,A,0
PI127826 x LA1777,1,B,0
PI127826 x LA1777,2,B,0
PI127826 x LA1777,3,B,0
