"target_id"	"annotation"	"localisation"	"log2FoldChange"	"padj"
"Solyc12g015860"	"FPPS1"	"cytosol"	-0.00197967840602322	0.999925131801308
"Solyc11g011240"	"GGPPS1"	"plastid"	-0.725547902257852	0.999925131801308
"Solyc04g079960"	"GGPPS2"	"plastid"	0.188963409776377	0.999925131801308
"Solyc07g061990"	"SPPS"	"plastid"	-0.211691521968064	0.999925131801308
"Solyc08g023470"	"DPPS"	"cytosol"	0.289295577961085	0.999925131801308
"Solyc02g085700"	"GGPPS3"	"plastid"	0.131183448012448	0.999925131801308
"Solyc02g085710"	"TPT1"	"mitochondria"	-0.0121524391460729	0.999925131801308
"Solyc02g085720"	"TPT2"	"mitochondria"	0.506398695481119	0.999925131801308
"Solyc07g064660"	"SSU I"	"plastid"	NA	NA
"Solyc09g008920"	"SSU II"	"plastid"	0.279087874077382	0.999925131801308
"Solyc08g005680"	"NDPS/zFPS"	"plastid"	1.24871874759835	0.999925131801308
