gene	annotation
Solyc00g007330	Zinc finger transcription factor 1
Solyc00g198360	Zinc finger transcription factor 4
Solyc00g007450	Zinc finger transcription factor 2
Solyc00g012540	Zinc finger transcription factor 3
Solyc00g160580	B3 domain-containing transcription factor VRN1-like (AHRD V3.11 *-* XP_004234716.1)
Solyc01g005630	Ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G3BR89_CAPCH)
Solyc01g005660	R2R3MYB transcription factor 5
Solyc01g006930	Nuclear transcription factor Y subunit A-4 (AHRD V3.3 *** A0A2G2XTD6_CAPBA)
Solyc01g007760	Transcription factor E2FA (AHRD V3.3 *** A0A2G2XS87_CAPBA)
Solyc01g008170	Zinc finger transcription factor  5
Solyc01g008230	TCP transcription factor 15 (AHRD V3.11 *** tr|G3BGV5|G3BGV5_SOLLC)
Solyc01g008490	Nuclear transcription factor Y subunit A-7 (AHRD V3.3 *** A0A2G2XP63_CAPBA)
Solyc01g008730	BZIP transcription factor (AHRD V3.3 *** E9N3N2_9POAL)
Solyc01g008910	Transcription factor GRAS (AHRD V3.3 *** A0A200QIE7_9MAGN)
Solyc01g009650	MYB transcription factor (AHRD V3.3 *-* B4FNQ6_MAIZE)
Solyc01g009840	Transcription factor GRAS (AHRD V3.3 *-* A0A2U1QPG0_ARTAN)
Solyc01g010130	bHLH transcription factor 001
Solyc01g010910	MYB transcription factor (AHRD V3.3 *-* A0A0U3IU11_MESCR)
Solyc01g011390	basic-leucine zipper transcription factor A (AHRD V3.3 *-* XP_021809091.1)
Solyc01g013995	B3 domain-containing transcription factor VRN1-like isoform .1
Solyc01g014534	ethylene-responsive transcription factor CRF2 isoform X2 (AHRD V3.11 *-* XP_004228492.1)
Solyc01g150000	Ethylene-responsive transcription factor CRF4 (AHRD V3.11 *-* tr|A0A2G3DF40|A0A2G3DF40_CAPCH)
Solyc01g150003	Ethylene-responsive transcription factor CRF4 (AHRD V3.11 *** tr|A0A2G3DF40|A0A2G3DF40_CAPCH)
Solyc01g014561	Ethylene-responsive transcription factor CRF4 (AHRD V3.11 *-* tr|A0A2G3DF40|A0A2G3DF40_CAPCH)
Solyc01g014562	Ethylene-responsive transcription factor (AHRD V3.11 *** tr|A0A2G3AHW6|A0A2G3AHW6_CAPAN)
Solyc01g160750	Ethylene-responsive transcription factor (AHRD V3.11 *-* tr|A0A2G2ZQC4|A0A2G2ZQC4_CAPAN)
Solyc01g014566	Ethylene-responsive transcription factor CRF6 (AHRD V3.11 *-* tr|A0A2G2W6M7|A0A2G2W6M7_CAPBA)
Solyc01g014623	Ethylene-responsive transcription factor CRF4 (AHRD V3.11 *-* tr|A0A2G3DF40|A0A2G3DF40_CAPCH)
Solyc01g160790	Ethylene-responsive transcription factor (AHRD V3.11 *-* tr|A0A2G3AHW6|A0A2G3AHW6_CAPAN)
Solyc01g160800	Ethylene-responsive transcription factor (AHRD V3.11 *-* tr|A0A2G3AHY4|A0A2G3AHY4_CAPAN)
Solyc01g160780	ethylene-responsive transcription factor CRF2 isoform X2 (AHRD V3.11 --* XP_004228492.1)
Solyc01g014850	Zinc finger transcription factor  7
Solyc01g014910	transcription factor bHLH95-like (AHRD V3.3 *** A0A2I4FIQ6_9ROSI)
Solyc01g160840	transcription factor bHLH95-like (AHRD V3.11 *** tr|A0A2I4FIQ6|A0A2I4FIQ6_9ROSI)
Solyc01g160850	B3 domain-containing transcription factor VRN1 (AHRD V3.11 *-* XP_025885043.1)
Solyc01g014960	transcription factor bHLH95-like (AHRD V3.3 *** A0A2I4EEI6_9ROSI)
Solyc01g160890	transcription factor bHLH95-like (AHRD V3.11 *-* tr|A0A2I4FIQ6|A0A2I4FIQ6_9ROSI)
Solyc01g016414	TCP transcription factor.1
Solyc01g016770	MYB transcription factor (AHRD V3.3 *-* C0PK93_MAIZE)
Solyc01g016780	transcription factor MYB86-like (AHRD V3.3 *-* XP_004232612.1)
Solyc01g020160	transcription factor bHLH95-like (AHRD V3.3 *-* XP_019067769.1)
Solyc01g160230	transcription factor bHLH95-like (AHRD V3.11 *-* XP_025884797.1)
Solyc01g020170	bHLH transcription factor 074
Solyc01g020180	transcription factor bHLH95-like (AHRD V3.3 *-* A0A2I4FIQ6_9ROSI)
Solyc01g161590	Ethylene-responsive transcription factor (AHRD V3.11 *** tr|A0A2G2V6C6|A0A2G2V6C6_CAPBA)
Solyc01g020520	Membrane-bound transcription factor site-2 protease (AHRD V3.3 *** A0A200QAL7_9MAGN)
Solyc01g161660	Ethylene-responsive transcription factor (AHRD V3.11 *** tr|A0A2G2V6C6|A0A2G2V6C6_CAPBA)
Solyc01g049680	Transcription factor Pur-alpha.1
Solyc01g049690	Transcription factor Pur-alpha 1 (AHRD V3.11 *-* tr|A0A1U8F1B9|A0A1U8F1B9_CAPAN)
Solyc01g049910	Membrane-bound transcription factor site-2 protease (AHRD V3.3 *** A0A200QAL7_9MAGN)
Solyc01g057080	Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2X462_CAPBA)
