"target_id"	"annotation"	"localisation"	"log2FoldChange"	"padj"
"Solyc12g015860"	"FPPS1"	"cytosol"	-0.579124693741796	0.997375668264609
"Solyc11g011240"	"GGPPS1"	"plastid"	1.22858186781783	0.984010694294132
"Solyc04g079960"	"GGPPS2"	"plastid"	-0.738745079917388	0.960193751478127
"Solyc07g061990"	"SPPS"	"plastid"	0.866133067543033	0.79435841115746
"Solyc08g023470"	"DPPS"	"cytosol"	-0.557734757667169	0.846470550909911
"Solyc02g085700"	"GGPPS3"	"plastid"	-0.807893569854256	0.841025280688867
"Solyc02g085710"	"TPT1"	"mitochondria"	0.0615693666255685	0.998227020487924
"Solyc02g085720"	"TPT2"	"mitochondria"	-1.05093157758895	0.955073615908498
"Solyc07g064660"	"SSU I"	"plastid"	NA	NA
"Solyc09g008920"	"SSU II"	"plastid"	-0.383044935066677	0.991959304384883
"Solyc08g005680"	"NDPS/zFPS"	"plastid"	1.32702660002064	NA
