gene	seqid	start	end	log2ratio_P28
Solyc00g011880.2.1	SL2.50ch00	10330624	10333554	-4.74449859895641
Solyc00g023700.2.1	SL2.50ch00	12150776	12151749	3.58865675135421
Solyc00g025400.2.1	SL2.50ch00	12277862	12279315	3.64176808781377
Solyc00g026160.2.1	SL2.50ch00	12327999	12331963	-4.31823384425431
Solyc00g062710.1.1	SL2.50ch00	14234648	14234953	3.65904607924561
Solyc00g072400.2.1	SL2.50ch00	14656061	14657444	-4.43371106167425
Solyc00g082550.1.1	SL2.50ch00	15075527	15076036	3.82131750814448
Solyc00g136260.1.1	SL2.50ch00	16968583	16968993	4.14937170582869
Solyc00g172410.1.1	SL2.50ch00	18067959	18070197	-6.52117390292459
Solyc00g186050.1.1	SL2.50ch00	18451355	18451940	-5.00628983793958
Solyc00g188850.2.1	SL2.50ch00	18529692	18531197	5.67793697059951
Solyc00g257110.2.1	SL2.50ch00	20272521	20276002	-3.54062626559076
Solyc00g272810.1.1	SL2.50ch00	20641054	20641779	-5.75317090097087
Solyc00g282510.1.1	SL2.50ch00	20863680	20865858	4.12967590448776
Solyc00g318130.1.1	SL2.50ch00	21643710	21645220	6.69718120813238
Solyc01g005060.2.1	SL2.50ch01	58680	61050	4.32562234552041
Solyc01g005120.2.1	SL2.50ch01	104191	107414	4.20793932525924
Solyc01g005160.2.1	SL2.50ch01	137781	139489	-4.23577168406234
Solyc01g005350.2.1	SL2.50ch01	248118	249519	-4.94196328088653
Solyc01g005360.2.1	SL2.50ch01	257315	258835	-4.73327134353316
Solyc01g005470.2.1	SL2.50ch01	322628	324932	3.80658607542393
Solyc01g005740.2.1	SL2.50ch01	493944	494430	4.45655321534686
Solyc01g005750.1.1	SL2.50ch01	495070	495397	4.17269415102353
Solyc01g006060.2.1	SL2.50ch01	737473	738211	4.84163749252408
Solyc01g006290.2.1	SL2.50ch01	884779	887621	4.03025275298414
Solyc01g006410.2.1	SL2.50ch01	1024950	1025645	7.78832909619057
Solyc01g006420.2.1	SL2.50ch01	1030375	1030860	6.60795988974983
Solyc01g006440.1.1	SL2.50ch01	1047474	1051067	-6.03095189217384
Solyc01g006580.2.1	SL2.50ch01	1182743	1185478	5.97310133036168
Solyc01g007010.2.1	SL2.50ch01	1571358	1572717	-4.04929883698084
Solyc01g007020.2.1	SL2.50ch01	1576697	1578207	-5.93675530231954
Solyc01g007030.2.1	SL2.50ch01	1583240	1584704	-3.96875942248129
Solyc01g007970.1.1	SL2.50ch01	2153668	2157136	4.44663774648178
Solyc01g008210.2.1	SL2.50ch01	2350183	2350964	-5.1999709626345
Solyc01g008220.2.1	SL2.50ch01	2351732	2354922	-5.09584142291787
Solyc01g008390.1.1	SL2.50ch01	2487446	2489973	9.20924316180609
