Orthogroup	ITAG4.0_proteins	Solanum_habrochaites_PI127826_protein_Dovetails_2021
OG0000004	Solyc08g015810.2.1	ANN29156-RA, ANN24494-RA, ANN02975-RA, ANN02672-RA
OG0000009	Solyc07g018325.1.1	ANN38432-RA
OG0000009	Solyc08g066355.1.1, Solyc04g016185.1.1, Solyc05g150150.1.1, Solyc10g084605.1.1, Solyc05g018775.1.1, Solyc04g005015.1.1, Solyc08g065385.1.1, Solyc07g032683.1.1, Solyc00g500160.1.1, Solyc00g500002.1.1, Solyc00g500223.1.1	ANN17925-RA
OG0000009	Solyc10g150107.1.1, Solyc10g150132.1.1, Solyc08g016775.1.1, Solyc03g079887.1.1, Solyc07g043485.1.1, Solyc09g065665.1.1, Solyc12g062207.1.1, Solyc07g009137.1.1, Solyc03g077985.1.1, Solyc09g064915.1.1, Solyc11g065935.1.1, Solyc11g039573.1.1, Solyc10g049605.1.1, Solyc03g043735.1.1, Solyc01g058685.1.1, Solyc10g049476.1.1, Solyc08g062435.1.1, Solyc03g093645.1.1, Solyc07g017975.1.1, Solyc01g080075.1.1, Solyc12g042565.1.1, Solyc04g015975.1.1, Solyc09g059993.1.1, Solyc09g065373.1.1, Solyc09g055805.1.1, Solyc01g057113.1.1, Solyc07g032623.1.1, Solyc09g059157.1.1, Solyc04g150118.1.1, Solyc01g016545.1.1, Solyc05g047647.1.1, Solyc10g047767.1.1, Solyc10g008445.1.1, Solyc10g046935.1.1, Solyc01g067173.1.1, Solyc07g045455.1.1, Solyc01g066905.1.1, Solyc11g062065.1.1, Solyc07g018437.1.1, Solyc10g048015.1.1, Solyc03g095375.1.1, Solyc09g015037.1.1, Solyc12g035527.1.1, Solyc06g007545.1.1, Solyc07g040905.1.1, Solyc06g050925.1.1, Solyc08g065695.1.1, Solyc03g059207.1.1, Solyc06g043145.1.1, Solyc09g015615.1.1, Solyc12g026475.1.1, Solyc03g150146.1.1, Solyc05g050555.1.1, Solyc05g018435.1.1, Solyc04g026045.1.1, Solyc12g014545.1.1, Solyc08g065623.1.1, Solyc04g048945.1.1, Solyc02g150117.1.1, Solyc09g011865.1.1, Solyc10g017725.1.1, Solyc06g009815.1.1	ANN35676-RA
OG0000010	Solyc08g150120.1.1, Solyc00g006650.1.1, Solyc03g046591.1.1	ANN17253-RA
OG0000022	Solyc11g007915.1.1	ANN34212-RA, ANN38078-RA, ANN31869-RA, ANN31954-RA, ANN37287-RA, ANN37775-RA
OG0000022	Solyc04g051765.1.1	ANN26889-RA, ANN23837-RA, ANN08800-RA
OG0000022	Solyc03g025117.1.1	ANN30214-RA
OG0000022	Solyc04g049773.1.1	ANN27038-RA
OG0000022	Solyc11g044235.1.1	ANN02647-RA
OG0000022	Solyc06g062295.1.1	ANN39910-RA, ANN38652-RA, ANN13751-RA, ANN33217-RA, ANN39756-RA, ANN34100-RA, ANN18030-RA, ANN26008-RA, ANN15898-RA, ANN38827-RA, ANN28509-RA, ANN10506-RA, ANN22787-RA, ANN21574-RA, ANN25182-RA, ANN13065-RA, ANN02762-RA, ANN33860-RA, ANN40172-RA, ANN06700-RA, ANN23917-RA, ANN13118-RA, ANN34079-RA, ANN02897-RA, ANN39551-RA, ANN11653-RA
OG0000022	Solyc10g050227.1.1	ANN16176-RA, ANN03469-RA, ANN22997-RA, ANN31720-RA, ANN36412-RA, ANN06132-RA, ANN09284-RA, ANN08238-RA, ANN02247-RA, ANN29087-RA, ANN32438-RA, ANN35059-RA, ANN13017-RA
OG0000024	Solyc12g045033.1.1, Solyc06g008535.1.1, Solyc09g018237.1.1, Solyc02g076635.1.1, Solyc04g081055.1.1, Solyc06g150139.1.1, Solyc09g015535.1.1, Solyc01g010705.1.1, Solyc05g014375.1.1	ANN24311-RA
OG0000024	Solyc01g066205.1.1, Solyc03g093773.1.1, Solyc10g039387.1.1, Solyc08g080105.1.1, Solyc09g065335.1.1, Solyc07g052985.1.1, Solyc04g054855.1.1, Solyc03g096605.1.1, Solyc11g010245.1.1, Solyc09g014935.1.1, Solyc05g054205.1.1, Solyc08g068145.1.1, Solyc05g050213.1.1	ANN03963-RA, ANN15553-RA
OG0000024	Solyc06g031714.1.1, Solyc09g008507.1.1, Solyc02g062565.1.1, Solyc07g020925.1.1, Solyc05g050003.1.1, Solyc01g057133.1.1, Solyc01g058007.1.1, Solyc07g042557.1.1, Solyc03g096705.1.1, Solyc12g035523.1.1, Solyc12g013655.1.1, Solyc10g085895.1.1, Solyc05g048755.1.1, Solyc12g019235.1.1, Solyc11g032025.1.1, Solyc10g086635.1.1, Solyc04g150120.1.1, Solyc12g042625.1.1, Solyc06g009785.1.1, Solyc09g065525.1.1, Solyc00g500337.1.1, Solyc00g500336.1.1, Solyc12g019917.1.1, Solyc03g044915.1.1, Solyc08g016767.1.1, Solyc03g093935.1.1, Solyc01g105763.1.1, Solyc07g008673.1.1, Solyc04g025915.1.1, Solyc01g058245.1.1, Solyc06g061225.1.1, Solyc01g017565.1.1, Solyc07g016005.1.1, Solyc01g089853.1.1	ANN36664-RA
